word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,136939,1,0
AGAIN,136732,1,0
ALL,136730,0,0
ALL GONE,136998,1,1
ANIMAL,136869,0,0
ANOTHER,136734,0,0
APPLE,136977,0,0
ARM,137035,1,0
ASLEEP,137000,0,0
AUNT,136812,0,0
AWAY,136708,0,0
BAA BAA,136845,1,0
BABY,136813,1,1
BABYSITTER,136829,0,0
BACK (PLACE),136710,0,0
BAD,137002,1,0
BALL,136959,1,1
BALLOON,136961,1,1
BANANA,136979,0,0
BASKET,136773,1,0
BATH,136833,1,0
BATH (FURNITURE),136695,1,0
BATHROOM,136697,1,0
BEACH,136741,1,0
BEAR,136871,0,0
BED,136699,1,0
BEDROOM,136701,1,0
BEE,136873,0,0
BELLY BUTTON,137037,0,0
BIB,137075,0,0
BICYCLE,136941,1,0
BIG,137004,0,0
BIRD,136875,1,0
BISCUIT,136981,1,0
BITE,136862,1,0
BLANKET,136774,1,0
BLOCK,136963,1,0
BLOW,136864,1,0
BLUE,137006,0,0
BOAT,136943,1,0
BOOK,136965,1,0
BOOTS,137077,1,0
BOTTLE,136775,0,0
BOWL,136776,1,1
BOX,136777,1,0
BOY,136814,0,0
BREAD,136983,1,0
BREAK,136866,0,0
BREAKFAST,136834,1,0
BRING,136868,1,0
BROKEN,137008,0,0
BROOM,136778,1,0
BROTHER,136815,0,0
BRUSH (OBJECT),136779,1,0
BUBBLES,136967,0,0
BUCKET,136743,1,0
BUMP,136870,0,0
BUS,136949,1,0
BUTTER,136985,0,0
BUTTERFLY,136879,0,0
BUTTON,137079,0,0
BYE BYE,136835,1,1
CAKE,136987,0,0
CALL,136872,1,0
CAR,136951,1,1
CAREFUL,137010,1,0
CARROTS,136989,0,0
CARRY,136874,1,0
CAT,136881,1,1
CATCH,136876,1,0
CEREAL,136991,1,0
CHAIR,136703,1,0
CHASE,136748,1,0
CHEEK,137039,1,0
CHEESE,136993,1,0
CHICKEN,136995,0,0
CHICKEN (ANIMAL),136883,0,0
CHILD,136816,0,0
CHIPS,136997,0,0
CHOO CHOO,136847,1,0
CHURCH,136745,0,0
CLEAN,137012,1,0
CLEAN (ACTION),136878,1,0
CLOCK,136780,0,0
CLOSE,136964,1,0
COAT,137081,1,0
COCKADOODLEDOO,136849,0,0
COFFEE,136999,0,0
COLD,137014,1,1
COMB (OBJECT),136781,0,0
COOKER,136705,0,0
COT,136707,1,0
COW,136885,1,0
CRY,136880,0,0
CUDDLE,136882,1,1
CUP,136782,1,0
CUT,136884,0,0
DADDY,136817,1,1
DANCE,136886,0,0
DARK,137016,0,0
DAY,137088,0,0
DEER,136887,0,0
DINNER,136836,1,0
DIRTY,137018,1,0
DISH,136783,0,0
DOCTOR,136818,0,0
DOG,136889,1,1
DOLL,136969,1,0
DON'T,136837,1,0
DONKEY,136891,0,0
DOOR,136709,1,1
DOWN,136712,1,0
DRAW,136888,0,0
DRAWER,136711,0,0
DRESS (OBJECT),137083,0,0
DRINK,137001,1,1
DRINK (ACTION),136890,1,1
DRIVE,136892,0,0
DROP,136894,1,0
DRY (DESCRIPTION),137020,0,0
DUCK,136893,1,0
DUMMY,136784,0,0
EAR,137041,1,0
EAT,136896,1,0
EGG,137003,0,0
ELEPHANT,136895,0,0
EMPTY,137022,1,0
EYE,137043,1,0
FACE,137045,1,0
FALL,136898,0,0
FAST,137024,0,0
FEED,136900,1,0
FIND,136902,1,0
FINE,137026,0,0
FINGER,137047,1,0
FINISH,136904,0,0
FIRE ENGINE,136953,1,0
FISH,136897,1,0
FISH (FOOD),137005,1,0
FLOWER,136747,1,0
FOOD,137007,1,0
FOOT,137049,1,0
FORK,136785,0,0
FRIDGE,136725,0,0
FRIEND,136819,0,0
FROG,136899,0,0
GARAGE,136713,0,0
GARDEN,136749,0,0
GENTLE,137028,1,0
GET,136906,1,0
GIRAFFE,136901,0,0
GIRL,136823,0,0
GIVE,136908,1,0
GLASS,136786,0,0
GLASSES,137085,0,0
GO,136910,1,0
GOOD,137030,1,0
GOODNIGHT,136842,1,1
GOOSE,136903,0,0
GRANDMA,136824,1,0
GRANDPA,136825,1,0
GREEN,137032,0,0
GRR,136851,1,0
HAIR,137055,1,0
HAMMER,136787,0,0
HAND,137057,1,0
HAPPY,137034,0,0
HARD,137036,0,0
HAT,137087,1,0
HAVE,136912,0,0
HEAD,137059,1,0
HEAR,136914,0,0
HELLO,136838,1,1
HELP,136916,1,0
HER,137104,0,0
HI,136839,1,0
HIGH CHAIR,136715,0,0
HIS,136688,0,0
HIT,136918,1,0
HOOVER,136788,0,0
HORSE,136905,1,1
HOT,137038,1,0
HOUSE,136751,1,0
HOW,137076,0,0
HUG,136920,1,0
HUNGRY,137040,0,0
HURRY,136922,0,0
HURT,137042,1,0
I,136690,0,0
ICE CREAM,137009,1,0
IN,136714,1,0
INSIDE,136716,1,0
IT,136692,0,0
JACKET,137089,1,0
JAM,137011,0,0
JEANS,137091,0,0
JUG,136789,0,0
JUICE,137013,1,0
JUMP,136924,0,0
JUMPER,137093,1,0
KEY,136790,0,0
KICK,136926,1,0
KISS,136928,1,0
KITCHEN,136717,1,0
KITTEN,136907,0,0
KNEE,137061,0,0
KNOW,136930,0,0
LADY,136826,0,0
LAMB,136909,0,0
LAMP,136791,0,0
LATER,137090,0,0
LEG,137063,1,0
LIGHT (OBJECT),136792,1,0
LIKE,136932,0,0
LION,136911,1,0
LITTLE (DESCRIPTION),137044,0,0
LIVING ROOM,136719,1,0
LOOK,136934,1,0
LORRY,136945,1,0
LOVE,136936,1,0
LUNCH,136840,1,0
MAKE,136938,0,0
MAN,136827,0,0
ME,136694,1,1
MEAT,137015,0,0
MEDICINE,136793,0,0
MEOW,136853,1,1
MILK,137017,1,1
MINE,136696,1,1
MONEY,136794,0,0
MONKEY,136913,1,0
MOO,136855,1,1
MOON,136752,0,0
MORE,136736,1,1
MORNING,137092,0,0
MOTORCYCLE,136947,1,0
MOUSE,136915,0,0
MOUTH,137073,1,0
MUG,136795,0,0
MUMMY,136828,1,1
MY,136698,0,0
NAIL (BODY PART),137065,0,0
NAP,136841,1,0
NAPPY,137095,1,0
NASTY,137046,0,0
NAUGHTY,137048,1,0
NECKLACE,137097,0,0
NICE,137050,0,0
NIGHT,137094,1,1
NO,136843,1,1
NONE,136738,0,0
NOSE,137067,1,0
NOT,136740,0,0
NOW,137096,0,0
OFF,136718,1,0
OLD,137052,0,0
ON,136720,1,0
OPEN,136940,1,0
ORANGE (FOOD),137019,0,0
OTHER,136742,0,0
OUCH,136857,1,1
OUT,136722,0,0
OUTSIDE,136760,1,0
OWL,136917,0,0
PAPER,136796,0,0
PARK,136761,0,0
PARTY,136762,0,0
PASTA,137021,0,0
PATTYCAKE,136844,0,0
PEAS,137023,0,0
PEEKABOO,136846,1,1
PEN,136971,1,0
PENGUIN,136919,0,0
PENNY,136797,0,0
