word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,66649,1,0
AGAIN,66860,1,0
ALL,66858,0,0
ALL GONE,66708,1,1
ANIMAL,66579,0,0
ANOTHER,66862,0,0
APPLE,66687,1,1
ARM,66745,1,0
ASLEEP,66710,0,0
AUNT,66522,0,0
AWAY,66836,0,0
BAA BAA,66555,1,1
BABY,66523,1,1
BABYSITTER,66539,0,0
BACK (PLACE),66838,0,0
BAD,66712,0,0
BALL,66669,1,1
BALLOON,66671,1,1
BANANA,66689,1,1
BASKET,66483,1,1
BATH,66543,1,0
BATH (FURNITURE),66823,1,0
BATHROOM,66825,0,0
BEACH,66869,0,0
BEAR,66581,1,1
BED,66827,1,1
BEDROOM,66829,1,0
BEE,66583,1,1
BELLY BUTTON,66747,1,0
BIB,66785,0,0
BICYCLE,66651,1,0
BIG,66714,0,0
BIRD,66585,1,1
BISCUIT,66691,1,1
BITE,66572,1,0
BLANKET,66484,1,0
BLOCK,66673,1,0
BLOW,66574,1,0
BLUE,66716,0,0
BOAT,66653,0,0
BOOK,66675,1,1
BOOTS,66787,1,0
BOTTLE,66485,1,1
BOWL,66486,1,0
BOX,66487,1,0
BOY,66524,0,0
BREAD,66693,1,0
BREAK,66576,0,0
BREAKFAST,66544,1,0
BRING,66578,1,0
BROKEN,66718,0,0
BROOM,66488,1,0
BROTHER,66525,1,1
BRUSH (OBJECT),66489,1,0
BUBBLES,66677,1,1
BUCKET,66871,1,0
BUMP,66580,1,1
BUS,66659,1,0
BUTTER,66695,0,0
BUTTERFLY,66589,1,0
BUTTON,66789,0,0
BYE BYE,66545,1,1
CAKE,66697,1,1
CALL,66582,0,0
CAR,66661,1,0
CAREFUL,66720,1,0
CARROTS,66699,0,0
CARRY,66584,0,0
CAT,66591,1,1
CATCH,66586,1,0
CEREAL,66701,1,0
CHAIR,66831,1,0
CHASE,66876,0,0
CHEEK,66749,1,1
CHEESE,66703,1,1
CHICKEN,66705,1,0
CHICKEN (ANIMAL),66593,1,1
CHILD,66526,0,0
CHIPS,66707,0,0
CHOO CHOO,66557,1,1
CHURCH,66873,0,0
CLEAN,66722,1,0
CLEAN (ACTION),66588,1,0
CLOCK,66490,0,0
CLOSE,66674,1,0
COAT,66791,1,1
COCKADOODLEDOO,66559,1,0
COFFEE,66709,0,0
COLD,66724,1,0
COMB (OBJECT),66491,1,0
COOKER,66833,0,0
COT,66835,1,0
COW,66595,1,1
CRY,66590,1,0
CUDDLE,66592,1,0
CUP,66492,1,1
CUT,66594,1,0
DADDY,66527,1,1
DANCE,66596,1,0
DARK,66726,1,0
DAY,66798,0,0
DEER,66597,1,0
DINNER,66546,1,0
DIRTY,66728,1,1
DISH,66493,1,0
DOCTOR,66528,0,0
DOG,66599,1,1
DOLL,66679,1,1
DON'T,66547,1,0
DONKEY,66601,1,0
DOOR,66837,1,1
DOWN,66840,1,0
DRAW,66598,1,0
DRAWER,66839,0,0
DRESS (OBJECT),66793,0,0
DRINK,66711,1,0
DRINK (ACTION),66600,1,1
DRIVE,66602,1,0
DROP,66604,1,0
DRY (DESCRIPTION),66730,1,0
DUCK,66603,1,1
DUMMY,66494,0,0
EAR,66751,1,1
EAT,66606,1,0
EGG,66713,1,0
ELEPHANT,66605,1,0
EMPTY,66732,1,0
EYE,66753,1,1
FACE,66755,1,0
FALL,66608,0,0
FAST,66734,0,0
FEED,66610,0,0
FIND,66612,1,0
FINE,66736,0,0
FINGER,66757,1,0
FINISH,66614,0,0
FIRE ENGINE,66663,1,0
FISH,66607,1,1
FISH (FOOD),66715,1,1
FLOWER,66875,1,1
FOOD,66717,1,0
FOOT,66759,1,0
FORK,66495,1,1
FRIDGE,66853,1,0
FRIEND,66529,0,0
FROG,66609,1,1
GARAGE,66841,0,0
GARDEN,66877,1,0
GENTLE,66738,1,0
GET,66616,1,0
GIRAFFE,66611,1,1
GIRL,66533,0,0
GIVE,66618,1,0
GLASS,66496,0,0
GLASSES,66795,1,0
GO,66620,1,0
GOOD,66740,0,0
GOODNIGHT,66552,1,0
GOOSE,66613,0,0
GRANDMA,66534,0,0
GRANDPA,66535,0,0
GREEN,66742,0,0
GRR,66561,1,1
HAIR,66765,1,1
HAMMER,66497,0,0
HAND,66767,1,1
HAPPY,66744,0,0
HARD,66746,0,0
HAT,66797,1,1
HAVE,66622,0,0
HEAD,66769,1,0
HEAR,66624,0,0
HELLO,66548,1,1
HELP,66626,0,0
HER,66814,0,0
HI,66549,0,0
HIGH CHAIR,66843,1,0
HIS,66816,0,0
HIT,66628,0,0
HOOVER,66498,1,0
HORSE,66615,1,1
HOT,66748,1,1
HOUSE,66879,0,0
HOW,66786,0,0
HUG,66630,1,0
HUNGRY,66750,0,0
HURRY,66632,0,0
HURT,66752,1,0
I,66818,0,0
