word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,151087,1,0
AGAIN,151298,1,0
ALL,151296,0,0
ALL GONE,151146,1,1
ANIMAL,151017,1,0
ANOTHER,151300,1,0
APPLE,151125,1,0
ARM,151183,1,0
ASLEEP,151148,1,0
AUNT,150960,0,0
AWAY,151274,0,0
BAA BAA,150993,1,1
BABY,150961,1,1
BABYSITTER,150977,1,1
BACK (PLACE),151276,0,0
BAD,151150,0,0
BALL,151107,1,1
BALLOON,151109,1,0
BANANA,151127,1,0
BASKET,150921,1,0
BATH,150981,1,0
BATH (FURNITURE),151261,1,0
BATHROOM,151263,1,0
BEACH,151307,0,0
BEAR,151019,1,1
BED,151265,1,0
BEDROOM,151267,1,0
BEE,151021,1,0
BELLY BUTTON,151185,0,0
BIB,151223,1,0
BICYCLE,151089,1,0
BIG,151152,1,0
BIRD,151023,1,0
BISCUIT,151129,1,0
BITE,151010,1,0
BLANKET,150922,1,0
BLOCK,151111,1,0
BLOW,151012,1,0
BLUE,151154,1,1
BOAT,151091,1,0
BOOK,151113,1,0
BOOTS,151225,1,0
BOTTLE,150923,1,0
BOWL,150924,1,1
BOX,150925,1,1
BOY,150962,1,0
BREAD,151131,1,0
BREAK,151014,0,0
BREAKFAST,150982,1,0
BRING,151016,1,0
BROKEN,151156,1,0
BROOM,150926,0,0
BROTHER,150963,0,0
BRUSH (OBJECT),150927,1,0
BUBBLES,151115,1,0
BUCKET,151309,1,0
BUMP,151018,1,1
BUS,151097,1,0
BUTTER,151133,0,0
BUTTERFLY,151027,1,0
BUTTON,151227,1,0
BYE BYE,150983,1,1
CAKE,151135,1,0
CALL,151020,0,0
CAR,151099,1,1
CAREFUL,151158,1,1
CARROTS,151137,1,0
CARRY,151022,0,0
CAT,151029,1,0
CATCH,151024,1,0
CEREAL,151139,0,0
CHAIR,151269,1,0
CHASE,151314,0,0
CHEEK,151187,0,0
CHEESE,151141,1,0
CHICKEN,151143,0,0
CHICKEN (ANIMAL),151031,1,0
CHILD,150964,0,0
CHIPS,151145,1,0
CHOO CHOO,150995,1,1
CHURCH,151311,0,0
CLEAN,151160,1,0
CLEAN (ACTION),151026,1,0
CLOCK,150928,1,0
CLOSE,151112,1,1
COAT,151229,1,0
COCKADOODLEDOO,150997,1,1
COFFEE,151147,1,0
COLD,151162,1,1
COMB (OBJECT),150929,0,0
COOKER,151271,1,0
COT,151273,1,0
COW,151033,1,1
CRY,151028,0,0
CUDDLE,151030,1,1
CUP,150930,1,0
CUT,151032,0,0
DADDY,150965,1,1
DANCE,151034,1,0
DARK,151164,0,0
DAY,151236,0,0
DEER,151035,1,0
DINNER,150984,1,0
DIRTY,151166,1,1
DISH,150931,0,0
DOCTOR,150966,0,0
DOG,151037,1,0
DOLL,151117,1,0
DON'T,150985,1,0
DONKEY,151039,1,0
DOOR,151275,1,1
DOWN,151278,1,1
DRAW,151036,1,0
DRAWER,151277,1,0
DRESS (OBJECT),151231,0,0
DRINK,151149,1,0
DRINK (ACTION),151038,1,0
DRIVE,151040,1,0
DROP,151042,1,0
DRY (DESCRIPTION),151168,0,0
DUCK,151041,1,1
DUMMY,150932,0,0
EAR,151189,1,0
