word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,65863,0,0
AGAIN,65656,0,0
ALL,65654,0,0
ALL GONE,65922,0,0
ANIMAL,65793,0,0
ANOTHER,65658,0,0
APPLE,65901,1,0
ARM,65959,0,0
ASLEEP,65924,0,0
AUNT,65736,0,0
AWAY,65632,0,0
BAA BAA,65769,0,0
BABY,65737,1,0
BABYSITTER,65753,0,0
BACK (PLACE),65634,0,0
BAD,65926,0,0
BALL,65883,1,1
BALLOON,65885,1,0
BANANA,65903,1,1
BASKET,65697,0,0
BATH,65757,1,0
BATH (FURNITURE),66037,1,0
BATHROOM,66039,0,0
BEACH,65665,0,0
BEAR,65795,1,0
BED,66041,0,0
BEDROOM,66043,1,0
BEE,65797,0,0
BELLY BUTTON,65961,0,0
BIB,65999,0,0
BICYCLE,65865,0,0
BIG,65928,0,0
BIRD,65799,1,0
BISCUIT,65905,1,0
BITE,65786,0,0
BLANKET,65698,0,0
BLOCK,65887,0,0
BLOW,65788,0,0
BLUE,65930,0,0
BOAT,65867,0,0
BOOK,65889,1,0
BOOTS,66001,0,0
BOTTLE,65699,1,0
BOWL,65700,0,0
BOX,65701,0,0
BOY,65738,0,0
BREAD,65907,0,0
BREAK,65790,0,0
BREAKFAST,65758,0,0
BRING,65792,0,0
BROKEN,65932,0,0
BROOM,65702,0,0
BROTHER,65739,1,0
BRUSH (OBJECT),65703,0,0
BUBBLES,65891,1,0
BUCKET,65667,0,0
BUMP,65794,0,0
BUS,65873,0,0
BUTTER,65909,0,0
BUTTERFLY,65803,1,0
BUTTON,66003,0,0
BYE BYE,65759,1,1
CAKE,65911,1,0
CALL,65796,0,0
CAR,65875,1,0
CAREFUL,65934,0,0
CARROTS,65913,0,0
CARRY,65798,0,0
CAT,65805,1,1
CATCH,65800,0,0
CEREAL,65915,0,0
CHAIR,65627,0,0
CHASE,65672,0,0
CHEEK,65963,0,0
CHEESE,65917,0,0
CHICKEN,65919,0,0
CHICKEN (ANIMAL),65807,0,0
CHILD,65740,0,0
CHIPS,65921,0,0
CHOO CHOO,65771,0,0
CHURCH,65669,0,0
CLEAN,65936,0,0
CLEAN (ACTION),65802,0,0
CLOCK,65704,0,0
CLOSE,65888,0,0
COAT,66005,0,0
COCKADOODLEDOO,65773,0,0
COFFEE,65923,0,0
COLD,65938,0,0
COMB (OBJECT),65705,0,0
COOKER,65629,0,0
COT,65631,0,0
COW,65809,1,0
CRY,65804,0,0
CUDDLE,65806,1,0
CUP,65706,0,0
CUT,65808,0,0
DADDY,65741,1,1
DANCE,65810,0,0
DARK,65940,0,0
DAY,66012,0,0
DEER,65811,0,0
DINNER,65760,0,0
DIRTY,65942,0,0
DISH,65707,0,0
DOCTOR,65742,0,0
DOG,65813,1,1
DOLL,65893,1,0
DON'T,65761,0,0
DONKEY,65815,1,0
DOOR,65633,0,0
DOWN,65636,1,0
DRAW,65812,0,0
DRAWER,65635,0,0
DRESS (OBJECT),66007,0,0
DRINK,65925,1,0
DRINK (ACTION),65814,0,0
DRIVE,65816,0,0
DROP,65818,0,0
DRY (DESCRIPTION),65944,0,0
DUCK,65817,1,1
DUMMY,65708,0,0
EAR,65965,0,0
EAT,65820,0,0
EGG,65927,0,0
ELEPHANT,65819,1,0
EMPTY,65946,0,0
EYE,65967,0,0
FACE,65969,0,0
FALL,65822,0,0
FAST,65948,0,0
FEED,65824,0,0
FIND,65826,0,0
FINE,65950,0,0
FINGER,65971,0,0
FINISH,65828,0,0
FIRE ENGINE,65877,0,0
FISH,65821,1,0
FISH (FOOD),65929,0,0
FLOWER,65671,1,0
FOOD,65931,0,0
FOOT,65973,0,0
FORK,65709,0,0
FRIDGE,65649,0,0
FRIEND,65743,0,0
FROG,65823,1,0
GARAGE,65637,0,0
GARDEN,65673,0,0
GENTLE,65952,0,0
GET,65830,0,0
GIRAFFE,65825,1,0
GIRL,65747,0,0
GIVE,65832,0,0
GLASS,65710,0,0
GLASSES,66009,1,0
GO,65834,0,0
GOOD,65954,0,0
GOODNIGHT,65766,0,0
GOOSE,65827,0,0
GRANDMA,65748,0,0
GRANDPA,65749,0,0
GREEN,65956,0,0
GRR,65775,1,0
HAIR,65979,0,0
HAMMER,65711,0,0
HAND,65981,0,0
HAPPY,65958,0,0
HARD,65960,0,0
HAT,66011,1,0
HAVE,65836,0,0
HEAD,65983,0,0
HEAR,65838,0,0
HELLO,65762,1,0
HELP,65840,0,0
HER,66028,0,0
HI,65763,0,0
HIGH CHAIR,65639,0,0
HIS,66030,0,0
HIT,65842,0,0
HOOVER,65712,0,0
HORSE,65829,0,0
HOT,65962,0,0
HOUSE,65675,0,0
HOW,66000,0,0
HUG,65844,0,0
HUNGRY,65964,0,0
HURRY,65846,0,0
HURT,65966,0,0
I,66032,0,0
ICE CREAM,65933,0,0
IN,65638,0,0
INSIDE,65640,0,0
IT,66034,0,0
JACKET,66013,0,0
JAM,65935,0,0
JEANS,66015,0,0
JUG,65713,0,0
JUICE,65937,0,0
JUMP,65848,0,0
JUMPER,66017,0,0
KEY,65714,0,0
KICK,65850,0,0
KISS,65852,1,0
KITCHEN,65641,0,0
KITTEN,65831,0,0
KNEE,65985,0,0
KNOW,65854,0,0
LADY,65750,0,0
LAMB,65833,0,0
LAMP,65715,0,0
