word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,46977,0,0
AGAIN,47188,0,0
ALL,47186,0,0
ALL GONE,47036,1,0
ANIMAL,46907,0,0
ANOTHER,47190,0,0
APPLE,47015,1,0
ARM,47073,0,0
ASLEEP,47038,0,0
AUNT,46850,0,0
AWAY,47164,0,0
BAA BAA,46883,0,0
BABY,46851,0,0
BABYSITTER,46867,1,1
BACK (PLACE),47166,0,0
BAD,47040,0,0
BALL,46997,1,1
BALLOON,46999,1,0
BANANA,47017,1,1
BASKET,47229,0,0
BATH,46871,1,0
BATH (FURNITURE),47151,1,0
BATHROOM,47153,1,0
BEACH,47197,0,0
BEAR,46909,0,0
BED,47155,1,0
BEDROOM,47157,1,0
BEE,46911,0,0
BELLY BUTTON,47075,0,0
BIB,47113,0,0
BICYCLE,46979,0,0
BIG,47042,0,0
BIRD,46913,0,0
BISCUIT,47019,1,0
BITE,46900,0,0
BLANKET,47230,1,0
BLOCK,47001,0,0
BLOW,46902,0,0
BLUE,47044,0,0
BOAT,46981,1,0
BOOK,47003,1,1
BOOTS,47115,0,0
BOTTLE,47231,1,0
BOWL,47232,1,0
BOX,47233,0,0
BOY,46852,0,0
BREAD,47021,1,0
BREAK,46904,0,0
BREAKFAST,46872,1,0
BRING,46906,1,0
BROKEN,47046,0,0
BROOM,47234,0,0
BROTHER,46853,0,0
BRUSH (OBJECT),46817,0,0
BUBBLES,47005,1,0
BUCKET,47199,0,0
BUMP,46908,0,0
BUS,46987,1,0
BUTTER,47023,0,0
BUTTERFLY,46917,0,0
BUTTON,47117,0,0
BYE BYE,46873,0,0
CAKE,47025,1,0
CALL,46910,0,0
CAR,46989,1,0
CAREFUL,47048,1,0
CARROTS,47027,1,0
CARRY,46912,0,0
CAT,46919,1,0
CATCH,46914,0,0
CEREAL,47029,0,0
CHAIR,47159,1,0
CHASE,47204,0,0
CHEEK,47077,0,0
CHEESE,47031,1,0
CHICKEN,47033,0,0
CHICKEN (ANIMAL),46921,1,0
CHILD,46854,0,0
CHIPS,47035,0,0
CHOO CHOO,46885,0,0
CHURCH,47201,1,0
CLEAN,47050,0,0
CLEAN (ACTION),46916,0,0
CLOCK,46818,0,0
CLOSE,47002,0,0
COAT,47119,1,0
COCKADOODLEDOO,46887,0,0
COFFEE,47037,0,0
COLD,47052,0,0
COMB (OBJECT),46819,0,0
COOKER,47161,1,0
COT,47163,0,0
COW,46923,0,0
CRY,46918,0,0
CUDDLE,46920,0,0
CUP,46820,0,0
CUT,46922,0,0
DADDY,46855,1,1
DANCE,46924,1,0
DARK,47054,0,0
DAY,47126,0,0
DEER,46925,0,0
DINNER,46874,0,0
DIRTY,47056,0,0
DISH,46821,0,0
DOCTOR,46856,0,0
DOG,46927,1,0
DOLL,47007,1,0
DON'T,46875,0,0
DONKEY,46929,0,0
DOOR,47165,1,0
DOWN,47168,0,0
DRAW,46926,0,0
DRAWER,47167,0,0
DRESS (OBJECT),47121,1,0
DRINK,47039,1,0
DRINK (ACTION),46928,1,0
DRIVE,46930,0,0
DROP,46932,1,0
DRY (DESCRIPTION),47058,0,0
DUCK,46931,0,0
DUMMY,46822,0,0
EAR,47079,0,0
EAT,46934,1,0
EGG,47041,1,0
ELEPHANT,46933,0,0
EMPTY,47060,0,0
EYE,47081,0,0
FACE,47083,0,0
FALL,46936,0,0
FAST,47062,0,0
FEED,46938,0,0
FIND,46940,0,0
FINE,47064,0,0
FINGER,47085,0,0
FINISH,46942,0,0
FIRE ENGINE,46991,0,0
FISH,46935,1,0
FISH (FOOD),47043,1,0
FLOWER,47203,1,0
FOOD,47045,1,0
FOOT,47087,1,0
FORK,46823,0,0
FRIDGE,47181,0,0
FRIEND,46857,0,0
FROG,46937,0,0
GARAGE,47169,0,0
GARDEN,47205,1,0
GENTLE,47066,1,0
GET,46944,0,0
GIRAFFE,46939,0,0
GIRL,46861,0,0
GIVE,46946,1,0
GLASS,46824,0,0
GLASSES,47123,0,0
GO,46948,1,0
GOOD,47068,0,0
GOODNIGHT,46880,0,0
GOOSE,46941,0,0
GRANDMA,46862,0,0
GRANDPA,46863,0,0
GREEN,47070,0,0
GRR,46889,0,0
HAIR,47093,1,0
HAMMER,46825,0,0
HAND,47095,1,0
HAPPY,47072,0,0
HARD,47074,0,0
HAT,47125,1,0
HAVE,46950,0,0
HEAD,47097,0,0
HEAR,46952,0,0
HELLO,46876,1,0
HELP,46954,0,0
HER,47142,0,0
HI,46877,0,0
HIGH CHAIR,47171,1,0
HIS,47144,0,0
HIT,46956,0,0
HOOVER,46826,0,0
HORSE,46943,0,0
HOT,47076,0,0
HOUSE,47207,1,0
HOW,47114,0,0
HUG,46958,0,0
HUNGRY,47078,0,0
HURRY,46960,0,0
HURT,47080,0,0
I,47146,0,0
ICE CREAM,47047,1,0
IN,47170,0,0
INSIDE,47172,0,0
IT,47148,0,0
JACKET,47127,0,0
JAM,47049,0,0
JEANS,47129,0,0
JUG,46827,0,0
JUICE,47051,1,1
JUMP,46962,0,0
JUMPER,47131,0,0
KEY,46828,1,0
KICK,46964,1,0
KISS,46966,0,0
KITCHEN,47173,1,0
KITTEN,46945,0,0
KNEE,47099,0,0
KNOW,46968,0,0
LADY,46864,0,0
LAMB,46947,0,0
LAMP,46829,0,0
LATER,47128,0,0
LEG,47101,0,0
LIGHT (OBJECT),46830,0,0
LIKE,46970,0,0
LION,46949,0,0
LITTLE (DESCRIPTION),47082,0,0
LIVING ROOM,47175,1,0
LOOK,46972,1,0
LORRY,46983,0,0
LOVE,46974,0,0
LUNCH,46878,0,0
MAKE,46976,0,0
MAN,46865,0,0
ME,47150,0,0
MEAT,47053,0,0
MEDICINE,46831,0,0
MEOW,46891,0,0
MILK,47055,1,1
MINE,47152,0,0
MONEY,46832,0,0
MONKEY,46951,0,0
MOO,46893,0,0
MOON,47208,0,0
MORE,47192,0,0
MORNING,47130,0,0
MOTORCYCLE,46985,0,0
MOUSE,46953,0,0
MOUTH,47111,1,0
MUG,46833,0,0
MUMMY,46866,1,1
MY,47154,0,0
NAIL (BODY PART),47103,0,0
NAP,46879,0,0
NAPPY,47133,1,0
NASTY,47084,0,0
NAUGHTY,47086,0,0
NECKLACE,47135,1,0
NICE,47088,0,0
NIGHT,47132,0,0
NO,46881,1,0
NONE,47194,0,0
NOSE,47105,0,0
NOT,47196,0,0
NOW,47134,0,0
OFF,47174,0,0
OLD,47090,0,0
ON,47176,0,0
OPEN,46978,0,0
ORANGE (FOOD),47057,1,0
OTHER,47198,0,0
OUCH,46895,0,0
OUT,47178,0,0
OUTSIDE,47216,1,0
OWL,46955,0,0
PAPER,46834,0,0
PARK,47217,1,0
PARTY,47218,0,0
PASTA,47059,0,0
PATTYCAKE,46882,0,0
PEAS,47061,1,0
PEEKABOO,46884,0,0
PEN,47009,0,0
PENGUIN,46957,0,0
PENNY,46835,0,0
PEOPLE,46868,0,0
PERSON,46858,0,0
PHONE,46846,0,0
PICTURE,46836,0,0
PIG,46959,0,0
PILLOW,46837,0,0
PIZZA,47063,0,0
PLANT,46838,0,0
PLATE,46839,0,0
PLAY,46980,0,0
PLAY PEN,47177,0,0
PLEASE,46886,0,0
POLICE,46859,0,0
PONY,46961,0,0
POOL,47219,0,0
POTTY,47179,0,0
PRETTY,47092,0,0
PULL,46982,0,0
PUPPY,46963,0,0
PURSE,46840,0,0
PUSH,46984,0,0
PUSHCHAIR,46993,1,0
PUT,46986,0,0
PYJAMAS,47137,0,0
QUACK,46897,0,0
RABBIT,46915,0,0
RADIO,46841,0,0
RAIN,47220,0,0
READ,46988,0,0
RED,47094,0,0
RIDE,46990,0,0
ROCKING CHAIR,47183,0,0
RUBBISH,46842,0,0
RUN,46992,0,0
SAD,47096,0,0
SAME,47200,0,0
SAY,46994,0,0
SCARED,47098,0,0
SCHOOL,47221,0,0
SCISSORS,46843,0,0
SCRATCH,46996,0,0
SEE,46998,0,0
SHEEP,46965,0,0
SHH,46888,0,0
SHIRT,47139,0,0
SHOES,47141,1,1
SHOP,47222,0,0
SHORTS,47143,0,0
SHOW,47000,0,0
SICK,47100,0,0
SING,47004,0,0
SINK,47187,0,0
SISTER,46860,0,0
SKY,47209,0,0
SLEEP,47006,0,0
SLEEPY,47102,0,0
SLIDE (OBJECT),47210,1,0
SMELL,47206,0,0
SMILE,47008,0,0
SNOW,47211,0,0
SOAP,46844,0,0
SOCK,47145,1,0
SOFA,47185,1,0
SOFT,47104,0,0
SOME,47202,0,0
SPADE,47212,0,0
SPIDER,46967,0,0
SPLASH,47010,1,0
SPOON,46845,0,0
SQUIRREL,46969,0,0
STAIRS,47189,1,0
STAR,47213,0,0
STONE,47214,0,0
STOP,47012,0,0
SUN,47215,0,0
SWEETS,47065,0,0
SWIM,47014,1,0
SWING (ACTION),47016,0,0
SWING (OBJECT),47223,0,0
TABLE,47191,1,0
TAKE,47018,0,0
TEA,46890,0,0
TEA (DRINK),47067,0,0
TEACHER,46869,0,0
TEDDY,47011,1,0
TELL,47020,0,0
THANK YOU,46892,0,0
THAT,47156,0,0
THERE,47180,0,0
THIRSTY,47106,0,0
THIS,47158,0,0
THROW,47022,0,0
TICKLE,47024,0,0
TIGER,46971,0,0
TIRED,47108,0,0
