word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,14621,1,0
AGAIN,14414,1,1
ALL,14412,0,0
ALL GONE,14262,1,1
ANIMAL,14551,0,0
ANOTHER,14416,0,0
APPLE,14241,1,1
ARM,14299,0,0
ASLEEP,14264,1,0
AUNT,14494,0,0
AWAY,14390,0,0
BAA BAA,14527,1,0
BABY,14495,1,0
BABYSITTER,14511,0,0
BACK (PLACE),14392,0,0
BAD,14266,0,0
BALL,14223,1,1
BALLOON,14225,1,0
BANANA,14243,1,0
BASKET,14455,1,0
BATH,14515,1,0
BATH (FURNITURE),14377,1,0
BATHROOM,14379,1,0
BEACH,14423,1,0
BEAR,14553,0,0
BED,14381,1,0
BEDROOM,14383,1,0
BEE,14555,1,0
BELLY BUTTON,14301,1,0
BIB,14339,1,0
BICYCLE,14623,1,1
BIG,14268,0,0
BIRD,14557,1,1
BISCUIT,14245,1,0
BITE,14544,0,0
BLANKET,14456,0,0
BLOCK,14227,1,0
BLOW,14546,1,0
BLUE,14270,0,0
BOAT,14625,1,1
BOOK,14229,1,1
BOOTS,14341,0,0
BOTTLE,14457,0,0
BOWL,14458,1,0
BOX,14459,1,0
BOY,14496,1,0
BREAD,14247,0,0
BREAK,14548,1,0
BREAKFAST,14516,0,0
BRING,14550,1,0
BROKEN,14272,1,0
BROOM,14460,0,0
BROTHER,14497,1,0
BRUSH (OBJECT),14461,0,0
BUBBLES,14231,1,1
BUCKET,14425,0,0
BUMP,14552,1,0
BUS,14213,1,1
BUTTER,14249,0,0
BUTTERFLY,14561,1,0
BUTTON,14343,0,0
BYE BYE,14517,1,1
CAKE,14251,1,0
CALL,14554,0,0
CAR,14215,1,1
CAREFUL,14274,1,0
CARROTS,14253,0,0
CARRY,14556,0,0
CAT,14563,1,0
CATCH,14558,0,0
CEREAL,14255,0,0
CHAIR,14385,1,0
CHASE,14430,0,0
CHEEK,14303,0,0
CHEESE,14257,1,0
CHICKEN,14259,0,0
CHICKEN (ANIMAL),14565,0,0
CHILD,14498,0,0
CHIPS,14261,0,0
CHOO CHOO,14529,1,0
CHURCH,14427,0,0
CLEAN,14276,0,0
CLEAN (ACTION),14560,0,0
CLOCK,14462,1,0
CLOSE,14228,1,0
COAT,14345,1,0
COCKADOODLEDOO,14531,0,0
COFFEE,14263,0,0
COLD,14278,0,0
COMB (OBJECT),14463,0,0
COOKER,14387,1,0
COT,14389,1,0
COW,14567,1,1
CRY,14562,1,0
CUDDLE,14564,1,0
CUP,14464,1,0
CUT,14566,0,0
DADDY,14499,1,1
DANCE,14568,0,0
DARK,14280,0,0
DAY,14352,0,0
DEER,14569,1,0
DINNER,14518,1,0
DIRTY,14282,1,0
DISH,14465,1,0
DOCTOR,14500,0,0
DOG,14571,1,1
DOLL,14233,0,0
DON'T,14519,1,0
DONKEY,14573,0,0
DOOR,14391,1,0
DOWN,14394,1,0
DRAW,14570,1,0
DRAWER,14393,0,0
DRESS (OBJECT),14347,0,0
DRINK,14265,1,0
DRINK (ACTION),14572,1,0
DRIVE,14574,0,0
DROP,14576,1,0
DRY (DESCRIPTION),14284,0,0
DUCK,14575,1,1
DUMMY,14466,0,0
EAR,14305,1,0
EAT,14578,1,0
EGG,14267,1,0
ELEPHANT,14577,1,0
EMPTY,14286,1,0
EYE,14307,1,0
FACE,14309,1,0
FALL,14580,0,0
FAST,14288,0,0
FEED,14582,0,0
FIND,14584,0,0
FINE,14290,0,0
FINGER,14311,1,0
FINISH,14586,1,0
FIRE ENGINE,14217,1,0
FISH,14579,1,0
FISH (FOOD),14269,1,1
FLOWER,14429,1,1
FOOD,14271,1,0
