word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,144427,0,0
AGAIN,144220,1,0
ALL,144218,0,0
ALL GONE,144486,1,0
ANIMAL,144357,1,0
ANOTHER,144222,1,0
APPLE,144465,0,0
ARM,144523,0,0
ASLEEP,144488,1,0
AUNT,144300,0,0
AWAY,144614,0,0
BAA BAA,144333,0,0
BABY,144301,1,0
BABYSITTER,144317,1,0
BACK (PLACE),144616,1,0
BAD,144490,0,0
BALL,144447,1,0
BALLOON,144449,1,0
BANANA,144467,1,0
BASKET,144261,1,0
BATH,144321,1,0
BATH (FURNITURE),144601,1,0
BATHROOM,144603,0,0
BEACH,144229,0,0
BEAR,144359,0,0
BED,144605,1,0
BEDROOM,144607,0,0
BEE,144361,0,0
BELLY BUTTON,144525,0,0
BIB,144563,1,0
BICYCLE,144429,0,0
BIG,144492,0,0
BIRD,144363,1,0
BISCUIT,144469,1,0
BITE,144350,1,0
BLANKET,144262,0,0
BLOCK,144451,0,0
BLOW,144352,1,0
BLUE,144494,0,0
BOAT,144431,0,0
BOOK,144453,1,0
BOOTS,144565,0,0
BOTTLE,144263,1,0
BOWL,144264,1,0
BOX,144265,1,0
BOY,144302,0,0
BREAD,144471,0,0
BREAK,144354,0,0
BREAKFAST,144322,1,0
BRING,144356,0,0
BROKEN,144496,0,0
BROOM,144266,0,0
BROTHER,144303,1,0
BRUSH (OBJECT),144267,0,0
BUBBLES,144455,0,0
BUCKET,144231,0,0
BUMP,144358,0,0
BUS,144437,0,0
BUTTER,144473,0,0
BUTTERFLY,144367,0,0
BUTTON,144567,0,0
BYE BYE,144323,1,1
CAKE,144475,0,0
CALL,144360,0,0
CAR,144439,1,0
CAREFUL,144498,1,0
CARROTS,144477,0,0
CARRY,144362,0,0
CAT,144369,1,0
CATCH,144364,0,0
CEREAL,144479,0,0
CHAIR,144609,0,0
CHASE,144236,1,0
CHEEK,144527,0,0
CHEESE,144481,1,0
CHICKEN,144483,0,0
CHICKEN (ANIMAL),144371,0,0
CHILD,144304,0,0
CHIPS,144485,0,0
CHOO CHOO,144335,0,0
CHURCH,144233,0,0
CLEAN,144500,0,0
CLEAN (ACTION),144366,0,0
CLOCK,144268,0,0
CLOSE,144452,1,0
COAT,144569,1,0
COCKADOODLEDOO,144337,0,0
COFFEE,144487,0,0
COLD,144502,0,0
COMB (OBJECT),144269,1,0
COOKER,144611,1,0
COT,144613,1,0
COW,144373,0,0
CRY,144368,1,0
CUDDLE,144370,1,0
CUP,144270,1,0
CUT,144372,0,0
DADDY,144305,1,1
DANCE,144374,1,0
DARK,144504,0,0
DAY,144576,0,0
DEER,144375,0,0
DINNER,144324,0,0
DIRTY,144506,0,0
DISH,144271,0,0
DOCTOR,144306,0,0
DOG,144377,1,0
DOLL,144457,0,0
DON'T,144325,0,0
DONKEY,144379,0,0
DOOR,144615,1,0
DOWN,144618,1,1
DRAW,144376,0,0
DRAWER,144617,1,0
DRESS (OBJECT),144571,0,0
DRINK,144489,1,0
DRINK (ACTION),144378,1,0
DRIVE,144380,0,0
DROP,144382,0,0
DRY (DESCRIPTION),144508,0,0
DUCK,144381,1,0
DUMMY,144272,0,0
EAR,144529,1,0
EAT,144384,1,0
EGG,144491,0,0
ELEPHANT,144383,0,0
EMPTY,144510,0,0
EYE,144531,1,0
FACE,144533,0,0
FALL,144386,0,0
FAST,144512,0,0
FEED,144388,0,0
FIND,144390,1,0
FINE,144514,0,0
FINGER,144535,0,0
FINISH,144392,1,0
FIRE ENGINE,144441,0,0
FISH,144385,0,0
FISH (FOOD),144493,0,0
FLOWER,144235,0,0
FOOD,144495,0,0
FOOT,144537,0,0
FORK,144273,0,0
FRIDGE,144213,0,0
FRIEND,144307,0,0
FROG,144387,0,0
GARAGE,144619,0,0
GARDEN,144237,0,0
GENTLE,144516,1,0
GET,144394,0,0
GIRAFFE,144389,0,0
GIRL,144311,0,0
GIVE,144396,0,0
GLASS,144274,0,0
GLASSES,144573,0,0
GO,144398,0,0
GOOD,144518,1,0
GOODNIGHT,144330,1,1
GOOSE,144391,0,0
GRANDMA,144312,0,0
GRANDPA,144313,1,0
GREEN,144520,0,0
GRR,144339,1,0
HAIR,144543,0,0
HAMMER,144275,0,0
HAND,144545,0,0
HAPPY,144522,0,0
HARD,144524,0,0
HAT,144575,1,0
HAVE,144400,0,0
HEAD,144547,1,0
HEAR,144402,0,0
HELLO,144326,1,1
HELP,144404,0,0
HER,144592,0,0
HI,144327,1,1
HIGH CHAIR,144621,0,0
HIS,144594,0,0
HIT,144406,0,0
HOOVER,144276,1,0
HORSE,144393,1,0
HOT,144526,1,0
HOUSE,144239,0,0
HOW,144564,0,0
HUG,144408,1,0
HUNGRY,144528,1,0
HURRY,144410,0,0
HURT,144530,0,0
I,144596,1,0
ICE CREAM,144497,0,0
IN,144620,0,0
INSIDE,144622,1,0
IT,144598,1,0
JACKET,144577,0,0
JAM,144499,0,0
JEANS,144579,0,0
JUG,144277,0,0
JUICE,144501,0,0
JUMP,144412,0,0
JUMPER,144581,0,0
KEY,144278,0,0
KICK,144414,0,0
KISS,144416,1,0
KITCHEN,144623,0,0
KITTEN,144395,1,0
KNEE,144549,0,0
KNOW,144418,0,0
LADY,144314,0,0
LAMB,144397,0,0
LAMP,144279,0,0
LATER,144578,0,0
LEG,144551,0,0
LIGHT (OBJECT),144280,1,0
LIKE,144420,0,0
LION,144399,0,0
LITTLE (DESCRIPTION),144532,0,0
LIVING ROOM,144625,0,0
LOOK,144422,1,0
LORRY,144433,0,0
LOVE,144424,0,0
LUNCH,144328,1,0
MAKE,144426,0,0
MAN,144315,0,0
ME,144600,0,0
MEAT,144503,0,0
MEDICINE,144281,1,0
MEOW,144341,1,0
MILK,144505,1,0
MINE,144602,0,0
MONEY,144282,0,0
MONKEY,144401,1,0
MOO,144343,0,0
MOON,144240,0,0
MORE,144224,1,0
MORNING,144580,0,0
MOTORCYCLE,144435,0,0
MOUSE,144403,1,0
