word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,42089,0,0
AGAIN,41882,0,0
ALL,41880,0,0
ALL GONE,42148,1,0
ANIMAL,42019,0,0
ANOTHER,41884,0,0
APPLE,42127,0,0
ARM,42185,0,0
ASLEEP,42150,0,0
AUNT,41962,0,0
AWAY,41858,0,0
BAA BAA,41995,0,0
BABY,41963,0,0
BABYSITTER,41979,0,0
BACK (PLACE),41860,0,0
BAD,42152,0,0
BALL,42109,1,0
BALLOON,42111,0,0
BANANA,42129,1,0
BASKET,41923,0,0
BATH,41983,1,0
BATH (FURNITURE),41845,1,0
BATHROOM,41847,0,0
BEACH,41891,0,0
BEAR,42021,1,0
BED,41849,1,0
BEDROOM,41851,0,0
BEE,42023,0,0
BELLY BUTTON,42187,0,0
BIB,41807,0,0
BICYCLE,42091,0,0
BIG,42154,0,0
BIRD,42025,1,0
BISCUIT,42131,0,0
BITE,42012,0,0
BLANKET,41924,0,0
BLOCK,42113,1,0
BLOW,42014,0,0
BLUE,42156,0,0
BOAT,42093,0,0
BOOK,42115,1,0
BOOTS,41809,0,0
BOTTLE,41925,0,0
BOWL,41926,0,0
BOX,41927,0,0
BOY,41964,0,0
BREAD,42133,0,0
BREAK,42016,0,0
BREAKFAST,41984,0,0
BRING,42018,0,0
BROKEN,42158,0,0
BROOM,41928,0,0
BROTHER,41965,0,0
BRUSH (OBJECT),41929,0,0
BUBBLES,42117,0,0
BUCKET,41893,0,0
BUMP,42020,0,0
BUS,42099,0,0
BUTTER,42135,0,0
BUTTERFLY,42029,0,0
BUTTON,41811,0,0
BYE BYE,41985,1,0
CAKE,42137,0,0
CALL,42022,0,0
CAR,42101,1,0
CAREFUL,42160,0,0
CARROTS,42139,0,0
CARRY,42024,0,0
CAT,42031,1,0
CATCH,42026,0,0
CEREAL,42141,0,0
CHAIR,41853,0,0
CHASE,41898,0,0
CHEEK,42189,0,0
CHEESE,42143,0,0
CHICKEN,42145,0,0
CHICKEN (ANIMAL),42033,0,0
CHILD,41966,0,0
CHIPS,42147,0,0
CHOO CHOO,41997,0,0
CHURCH,41895,0,0
CLEAN,42162,1,0
CLEAN (ACTION),42028,0,0
CLOCK,41930,0,0
CLOSE,42114,0,0
COAT,41813,0,0
COCKADOODLEDOO,41999,0,0
COFFEE,42149,0,0
COLD,42164,1,0
COMB (OBJECT),41931,0,0
COOKER,41855,0,0
COT,41857,0,0
COW,42035,0,0
CRY,42030,0,0
CUDDLE,42032,0,0
CUP,41932,0,0
CUT,42034,0,0
DADDY,41967,1,1
DANCE,42036,0,0
DARK,42166,0,0
DAY,41820,0,0
DEER,42037,0,0
DINNER,41986,0,0
DIRTY,42168,0,0
DISH,41933,0,0
DOCTOR,41968,0,0
DOG,42039,1,1
DOLL,42119,0,0
DON'T,41987,0,0
DONKEY,42041,0,0
DOOR,41859,0,0
DOWN,41862,1,0
DRAW,42038,0,0
DRAWER,41861,0,0
DRESS (OBJECT),41815,0,0
DRINK,42151,1,0
DRINK (ACTION),42040,0,0
DRIVE,42042,0,0
DROP,42044,0,0
DRY (DESCRIPTION),42170,0,0
DUCK,42043,1,1
DUMMY,41934,1,1
EAR,42191,0,0
EAT,42046,1,0
EGG,42153,0,0
ELEPHANT,42045,0,0
EMPTY,42172,0,0
EYE,42193,0,0
FACE,42195,0,0
FALL,42048,0,0
FAST,42174,0,0
FEED,42050,0,0
FIND,42052,0,0
FINE,42176,0,0
FINGER,42197,0,0
FINISH,42054,0,0
FIRE ENGINE,42103,0,0
FISH,42047,0,0
FISH (FOOD),42155,0,0
FLOWER,41897,0,0
FOOD,42157,1,0
FOOT,42199,0,0
FORK,41935,0,0
FRIDGE,41875,0,0
FRIEND,41969,0,0
FROG,42049,1,0
GARAGE,41863,0,0
GARDEN,41899,0,0
GENTLE,42178,0,0
