word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,94597,1,1
AGAIN,94808,1,1
ALL,94806,0,0
ALL GONE,94656,1,1
ANIMAL,94527,1,1
ANOTHER,94810,1,0
APPLE,94635,1,1
ARM,94693,1,1
ASLEEP,94658,1,0
AUNT,94470,0,0
AWAY,94784,1,1
BAA BAA,94503,1,1
BABY,94471,1,1
BABYSITTER,94487,0,0
BACK (PLACE),94786,1,0
BAD,94660,0,0
BALL,94617,1,1
BALLOON,94619,1,1
BANANA,94637,1,1
BASKET,94849,1,1
BATH,94491,1,1
BATH (FURNITURE),94771,1,1
BATHROOM,94773,1,0
BEACH,94817,1,0
BEAR,94529,1,1
BED,94775,1,1
BEDROOM,94777,1,0
BEE,94531,1,1
BELLY BUTTON,94695,0,0
BIB,94733,1,1
BICYCLE,94599,1,1
BIG,94662,1,0
BIRD,94533,1,1
BISCUIT,94639,1,1
BITE,94520,1,0
BLANKET,94850,1,1
BLOCK,94621,1,1
BLOW,94522,1,1
BLUE,94664,0,0
BOAT,94601,1,1
BOOK,94623,1,1
BOOTS,94735,1,1
BOTTLE,94851,1,1
BOWL,94852,1,1
BOX,94853,1,1
BOY,94472,1,1
BREAD,94641,1,1
BREAK,94524,1,0
BREAKFAST,94492,1,1
BRING,94526,0,0
BROKEN,94666,1,1
BROOM,94854,0,0
BROTHER,94473,1,1
BRUSH (OBJECT),94855,1,1
BUBBLES,94625,1,1
BUCKET,94819,1,0
BUMP,94528,1,0
BUS,94607,1,1
BUTTER,94643,1,0
BUTTERFLY,94537,1,1
BUTTON,94737,1,1
BYE BYE,94493,1,1
CAKE,94645,1,1
CALL,94530,0,0
CAR,94609,1,1
CAREFUL,94668,1,0
CARROTS,94647,1,1
CARRY,94532,1,1
CAT,94539,1,1
CATCH,94534,1,0
CEREAL,94649,1,1
CHAIR,94779,1,1
CHASE,94824,0,0
CHEEK,94697,1,1
CHEESE,94651,1,1
CHICKEN,94653,1,1
CHICKEN (ANIMAL),94541,1,1
CHILD,94474,0,0
CHIPS,94655,1,1
CHOO CHOO,94505,1,1
CHURCH,94821,0,0
CLEAN,94670,0,0
CLEAN (ACTION),94536,0,0
CLOCK,94856,1,0
CLOSE,94622,1,1
COAT,94739,1,1
COCKADOODLEDOO,94507,1,0
COFFEE,94657,0,0
COLD,94672,1,1
COMB (OBJECT),94857,0,0
COOKER,94781,0,0
COT,94783,1,1
COW,94543,1,1
CRY,94538,1,0
CUDDLE,94540,1,1
CUP,94858,1,1
CUT,94542,1,0
DADDY,94475,1,1
DANCE,94544,1,0
DARK,94674,1,1
DAY,94746,0,0
DEER,94545,0,0
DINNER,94494,1,1
DIRTY,94676,1,1
DISH,94859,0,0
DOCTOR,94476,0,0
DOG,94547,1,1
DOLL,94627,0,0
DON'T,94495,1,1
DONKEY,94549,1,0
DOOR,94785,1,1
DOWN,94788,1,1
DRAW,94546,1,1
DRAWER,94787,1,0
DRESS (OBJECT),94741,0,0
DRINK,94659,1,1
DRINK (ACTION),94548,1,1
DRIVE,94550,0,0
DROP,94552,1,1
DRY (DESCRIPTION),94678,0,0
DUCK,94551,1,1
DUMMY,94860,0,0
EAR,94699,1,1
EAT,94554,1,1
EGG,94661,1,1
ELEPHANT,94553,1,1
EMPTY,94680,1,0
EYE,94701,1,1
FACE,94703,1,1
FALL,94556,1,0
FAST,94682,1,1
FEED,94558,0,0
FIND,94560,1,0
FINE,94684,0,0
FINGER,94705,1,1
FINISH,94562,1,0
FIRE ENGINE,94611,1,1
FISH,94555,1,1
FISH (FOOD),94663,1,1
FLOWER,94823,1,1
FOOD,94665,1,0
FOOT,94707,1,1
FORK,94861,1,1
FRIDGE,94801,1,1
FRIEND,94477,0,0
FROG,94557,1,1
GARAGE,94789,0,0
GARDEN,94825,1,0
GENTLE,94686,1,0
GET,94564,1,0
GIRAFFE,94559,1,1
GIRL,94481,1,1
GIVE,94566,1,0
GLASS,94862,0,0
GLASSES,94743,1,1
GO,94568,1,0
GOOD,94688,1,0
GOODNIGHT,94500,1,1
GOOSE,94561,0,0
GRANDMA,94482,1,1
GRANDPA,94483,1,1
GREEN,94690,0,0
GRR,94509,1,1
HAIR,94713,1,1
HAMMER,94863,1,0
HAND,94715,1,1
HAPPY,94692,1,0
HARD,94694,0,0
HAT,94745,1,1
HAVE,94570,1,1
HEAD,94717,1,1
HEAR,94572,0,0
HELLO,94496,1,1
HELP,94574,1,0
HER,94762,0,0
HI,94497,1,1
HIGH CHAIR,94791,1,0
HIS,94764,0,0
HIT,94576,1,0
HOOVER,94864,1,1
HORSE,94563,1,1
HOT,94696,1,1
HOUSE,94827,1,1
HOW,94734,0,0
HUG,94578,1,0
HUNGRY,94698,0,0
HURRY,94580,0,0
HURT,94700,1,1
I,94766,1,0
ICE CREAM,94667,1,1
IN,94790,0,0
INSIDE,94792,1,0
IT,94768,1,1
JACKET,94747,1,0
JAM,94669,1,1
JEANS,94749,0,0
JUG,94865,0,0
JUICE,94671,1,1
JUMP,94582,1,1
JUMPER,94751,1,0
KEY,94866,1,1
KICK,94584,1,0
KISS,94586,1,0
KITCHEN,94793,1,0
KITTEN,94565,0,0
KNEE,94719,1,0
KNOW,94588,0,0
LADY,94484,1,0
LAMB,94567,0,0
LAMP,94867,0,0
LATER,94748,0,0
LEG,94721,1,1
LIGHT (OBJECT),94868,1,1
LIKE,94590,0,0
LION,94569,1,1
LITTLE (DESCRIPTION),94702,0,0
LIVING ROOM,94795,1,0
LOOK,94592,1,1
LORRY,94603,0,0
LOVE,94594,0,0
LUNCH,94498,1,1
MAKE,94596,0,0
MAN,94485,1,1
ME,94770,1,0
MEAT,94673,0,0
MEDICINE,94869,1,1
MEOW,94511,1,1
MILK,94675,1,1
MINE,94772,1,1
MONEY,94870,1,1
MONKEY,94571,1,1
MOO,94513,1,1
MOON,94828,1,1
MORE,94812,1,1
MORNING,94750,0,0
MOTORCYCLE,94605,1,1
MOUSE,94573,1,1
MOUTH,94731,1,1
MUG,94871,0,0
MUMMY,94486,1,1
MY,94774,1,0
NAIL (BODY PART),94723,1,0
NAP,94499,1,0
NAPPY,94753,1,1
NASTY,94704,0,0
NAUGHTY,94706,1,1
NECKLACE,94755,0,0
NICE,94708,0,0
NIGHT,94752,0,0
NO,94501,1,1
NONE,94814,0,0
NOSE,94725,1,1
NOT,94816,1,0
NOW,94754,0,0
OFF,94794,1,1
OLD,94710,0,0
ON,94796,1,1
OPEN,94598,1,1
ORANGE (FOOD),94677,1,1
OTHER,94818,1,1
OUCH,94515,1,1
OUT,94798,1,1
OUTSIDE,94836,1,1
OWL,94575,1,1
PAPER,94872,1,1
PARK,94837,1,0
PARTY,94838,0,0
PASTA,94679,1,1
PATTYCAKE,94502,1,0
PEAS,94681,1,1
PEEKABOO,94504,1,0
PEN,94629,1,1
PENGUIN,94577,1,1
PENNY,94873,1,1
PEOPLE,94488,0,0
PERSON,94478,1,0
PHONE,94884,1,0
PICTURE,94874,1,0
PIG,94579,1,1
PILLOW,94875,1,0
PIZZA,94683,1,1
PLANT,94876,0,0
PLATE,94877,1,1
PLAY,94600,0,0
PLAY PEN,94797,0,0
PLEASE,94506,1,1
POLICE,94479,0,0
PONY,94581,1,0
POOL,94839,1,0
POTTY,94799,0,0
PRETTY,94712,0,0
PULL,94602,1,1
PUPPY,94583,0,0
PURSE,94878,1,0
PUSH,94604,1,1
PUSHCHAIR,94613,1,1
PUT,94606,1,0
PYJAMAS,94757,1,0
QUACK,94517,1,1
RABBIT,94535,1,1
RADIO,94879,0,0
RAIN,94840,1,1
READ,94608,0,0
RED,94714,0,0
RIDE,94610,0,0
ROCKING CHAIR,94803,0,0
RUBBISH,94880,1,0
RUN,94612,1,1
SAD,94716,1,0
SAME,94820,0,0
SAY,94614,1,1
SCARED,94718,0,0
SCHOOL,94841,0,0
SCISSORS,94881,1,0
SCRATCH,94616,1,0
SEE,94618,1,0
SHEEP,94585,1,1
SHH,94508,1,1
SHIRT,94759,1,0
SHOES,94761,1,1
SHOP,94842,0,0
SHORTS,94763,1,1
SHOW,94620,1,0
SICK,94720,0,0
SING,94624,0,0
SINK,94807,1,0
SISTER,94480,0,0
SKY,94829,1,1
SLEEP,94626,1,1
SLEEPY,94722,1,0
SLIDE (OBJECT),94830,1,1
SMELL,94826,0,0
SMILE,94628,1,0
SNOW,94831,0,0
SOAP,94882,1,0
SOCK,94765,1,1
SOFA,94805,1,0
SOFT,94724,0,0
SOME,94822,1,0
SPADE,94832,1,1
SPIDER,94587,1,1
SPLASH,94630,1,1
SPOON,94883,1,1
SQUIRREL,94589,1,1
STAIRS,94809,1,1
STAR,94833,1,1
STONE,94834,1,1
STOP,94632,1,0
SUN,94835,1,1
SWEETS,94685,1,0
SWIM,94634,1,0
SWING (ACTION),94636,1,0
SWING (OBJECT),94843,1,0
TABLE,94811,1,1
TAKE,94638,0,0
TEA,94510,1,0
TEA (DRINK),94687,1,1
TEACHER,94489,0,0
TEDDY,94631,1,1
TELL,94640,0,0
THANK YOU,94512,1,1
THAT,94776,1,0
THERE,94800,1,1
THIRSTY,94726,0,0
THIS,94778,1,0
THROW,94642,1,0
TICKLE,94644,1,1
TIGER,94591,1,1
TIRED,94728,1,0
TOAST,94689,1,1
TODAY,94756,0,0
TOE,94727,1,1
TOMORROW,94758,0,0
TONGUE,94709,1,0
TONIGHT,94760,0,0
TOOTH,94711,1,1
TOOTHBRUSH,94885,1,0
TOWEL,94886,1,1
TOY (OBJECT),94633,1,1
TRAIN,94615,1,1
TREE,94844,1,1
TROUSERS,94767,1,1
TUMMY,94729,1,1
TURKEY,94593,0,0
TURTLE,94595,1,1
TV,94813,1,1
UHOH,94519,1,1
UNCLE,94490,0,0
UNDER,94802,1,0
UP,94804,1,1
VROOM,94521,1,1
WAIT,94514,1,1
WALK,94646,1,1
WALL,94845,0,0
WANT TO,94516,0,0
WASH,94648,1,0
WATCH (ACTION),94650,0,0
WATCH (OBJECT),94469,0,0
WATER,94691,1,1
WATER (OUTSIDE),94846,1,1
WET,94730,1,1
WHAT,94736,0,0
WHEN,94738,0,0
WHERE,94740,1,0
WHO,94742,1,0
WHY,94744,0,0
WINDOW,94815,1,0
WIPE,94652,1,0
WOOF,94523,1,1
WORK (PLACE),94847,0,0
WRITE,94654,0,0
YELLOW,94732,0,0
YES,94518,1,1
YOU,94780,1,0
YOUR,94782,1,0
YUM,94525,1,1
ZIP,94769,1,1
ZOO,94848,0,0
