word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,75493,0,0
AGAIN,75286,1,1
ALL,75284,0,0
ALL GONE,75552,1,0
ANIMAL,75423,0,0
ANOTHER,75288,1,0
APPLE,75531,0,0
ARM,75589,0,0
ASLEEP,75554,1,0
AUNT,75366,0,0
AWAY,75262,0,0
BAA BAA,75399,0,0
BABY,75367,1,1
BABYSITTER,75383,1,1
BACK (PLACE),75264,0,0
BAD,75556,0,0
BALL,75513,1,1
BALLOON,75515,1,1
BANANA,75533,1,1
BASKET,75327,0,0
BATH,75387,1,1
BATH (FURNITURE),75249,1,1
BATHROOM,75251,1,0
BEACH,75295,1,0
BEAR,75425,0,0
BED,75253,1,1
BEDROOM,75255,1,0
BEE,75427,0,0
BELLY BUTTON,75591,0,0
BIB,75629,0,0
BICYCLE,75495,1,1
BIG,75558,0,0
BIRD,75429,1,1
BISCUIT,75535,0,0
BITE,75416,1,0
BLANKET,75328,0,0
BLOCK,75517,1,1
BLOW,75418,0,0
BLUE,75560,0,0
BOAT,75497,1,1
BOOK,75519,1,1
BOOTS,75631,0,0
BOTTLE,75329,1,0
BOWL,75330,0,0
BOX,75331,0,0
BOY,75368,1,0
BREAD,75537,0,0
BREAK,75420,0,0
BREAKFAST,75388,1,0
BRING,75422,0,0
BROKEN,75562,0,0
BROOM,75332,0,0
BROTHER,75369,0,0
BRUSH (OBJECT),75333,0,0
BUBBLES,75521,0,0
BUCKET,75297,0,0
BUMP,75424,1,0
BUS,75503,1,1
BUTTER,75539,0,0
BUTTERFLY,75433,0,0
BUTTON,75633,0,0
BYE BYE,75389,1,1
CAKE,75541,1,0
CALL,75426,1,0
CAR,75505,1,1
CAREFUL,75564,1,0
CARROTS,75543,0,0
CARRY,75428,0,0
CAT,75435,1,1
CATCH,75430,1,0
CEREAL,75545,0,0
CHAIR,75257,1,1
CHASE,75302,0,0
CHEEK,75593,0,0
CHEESE,75547,1,1
CHICKEN,75549,1,0
CHICKEN (ANIMAL),75437,0,0
CHILD,75370,0,0
CHIPS,75551,1,1
CHOO CHOO,75401,0,0
CHURCH,75299,0,0
CLEAN,75566,0,0
CLEAN (ACTION),75432,0,0
CLOCK,75334,0,0
CLOSE,75518,1,0
COAT,75635,1,0
COCKADOODLEDOO,75403,0,0
COFFEE,75553,0,0
COLD,75568,1,0
COMB (OBJECT),75335,0,0
COOKER,75259,1,0
COT,75261,0,0
COW,75439,0,0
CRY,75434,1,0
CUDDLE,75436,1,0
CUP,75336,1,1
CUT,75438,0,0
DADDY,75371,1,1
DANCE,75440,1,0
DARK,75570,0,0
DAY,75642,0,0
DEER,75441,0,0
DINNER,75390,0,0
DIRTY,75572,0,0
DISH,75337,0,0
DOCTOR,75372,0,0
DOG,75443,1,1
DOLL,75523,1,1
DON'T,75391,0,0
DONKEY,75445,1,0
DOOR,75263,1,1
DOWN,75266,1,1
DRAW,75442,1,0
DRAWER,75265,1,0
DRESS (OBJECT),75637,1,0
DRINK,75555,1,0
DRINK (ACTION),75444,1,0
DRIVE,75446,1,0
DROP,75448,0,0
DRY (DESCRIPTION),75574,0,0
DUCK,75447,1,1
DUMMY,75338,0,0
EAR,75595,1,1
EAT,75450,1,1
EGG,75557,0,0
ELEPHANT,75449,1,0
EMPTY,75576,1,0
EYE,75597,1,1
FACE,75599,1,0
FALL,75452,0,0
FAST,75578,0,0
FEED,75454,1,0
FIND,75456,1,0
FINE,75580,0,0
FINGER,75601,1,0
FINISH,75458,1,0
