word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,6817,1,0
AGAIN,7028,0,0
ALL,7026,0,0
ALL GONE,6876,1,1
ANIMAL,6747,1,0
ANOTHER,7030,0,0
APPLE,6855,1,1
ARM,6913,1,0
ASLEEP,6878,0,0
AUNT,6690,0,0
AWAY,7004,1,0
BAA BAA,6723,0,0
BABY,6691,1,1
BABYSITTER,6707,1,1
BACK (PLACE),7006,0,0
BAD,6880,0,0
BALL,6837,1,1
BALLOON,6839,1,0
BANANA,6857,1,1
BASKET,7069,1,1
BATH,6711,1,0
BATH (FURNITURE),6991,1,1
BATHROOM,6993,1,0
BEACH,7037,0,0
BEAR,6749,0,0
BED,6995,1,1
BEDROOM,6997,1,0
BEE,6751,0,0
BELLY BUTTON,6915,0,0
BIB,6953,0,0
BICYCLE,6819,0,0
BIG,6882,1,0
BIRD,6753,1,0
BISCUIT,6859,1,1
BITE,6740,1,0
BLANKET,7070,1,0
BLOCK,6841,0,0
BLOW,6742,1,1
BLUE,6884,0,0
BOAT,6821,1,0
BOOK,6843,1,1
BOOTS,6955,0,0
BOTTLE,7071,1,1
BOWL,7072,1,0
BOX,7073,1,0
BOY,6692,0,0
BREAD,6861,0,0
BREAK,6744,0,0
BREAKFAST,6712,1,1
BRING,6746,1,0
BROKEN,6886,0,0
BROOM,7074,1,0
BROTHER,6693,1,0
BRUSH (OBJECT),7075,1,0
BUBBLES,6845,1,0
BUCKET,7039,0,0
BUMP,6748,0,0
BUS,6827,1,1
BUTTER,6863,0,0
BUTTERFLY,6757,0,0
BUTTON,6957,1,0
BYE BYE,6713,1,1
CAKE,6865,1,0
CALL,6750,0,0
CAR,6829,1,1
CAREFUL,6888,1,0
CARROTS,6867,1,0
CARRY,6752,0,0
CAT,6759,1,1
CATCH,6754,0,0
CEREAL,6869,1,0
CHAIR,6999,1,0
CHASE,7044,0,0
CHEEK,6917,1,0
CHEESE,6871,1,1
CHICKEN,6873,1,0
CHICKEN (ANIMAL),6761,1,0
CHILD,6694,0,0
CHIPS,6875,1,1
CHOO CHOO,6725,1,0
CHURCH,7041,0,0
CLEAN,6890,0,0
CLEAN (ACTION),6756,1,0
CLOCK,7076,0,0
CLOSE,6842,1,0
COAT,6959,1,1
COCKADOODLEDOO,6727,0,0
COFFEE,6877,0,0
COLD,6892,0,0
COMB (OBJECT),7077,0,0
COOKER,7001,1,0
COT,7003,1,0
COW,6763,0,0
CRY,6758,0,0
CUDDLE,6760,1,1
CUP,7078,1,0
CUT,6762,0,0
DADDY,6695,1,0
DANCE,6764,1,1
DARK,6894,0,0
DAY,6966,0,0
DEER,6765,0,0
DINNER,6714,1,0
DIRTY,6896,1,0
DISH,7079,0,0
DOCTOR,6696,0,0
DOG,6767,1,1
DOLL,6847,1,0
DON'T,6715,1,0
DONKEY,6769,0,0
DOOR,7005,1,1
DOWN,7008,1,1
DRAW,6766,0,0
DRAWER,7007,1,0
DRESS (OBJECT),6961,1,1
DRINK,6879,1,0
DRINK (ACTION),6768,0,0
DRIVE,6770,0,0
DROP,6772,0,0
DRY (DESCRIPTION),6898,0,0
DUCK,6771,0,0
DUMMY,7080,0,0
EAR,6919,1,0
EAT,6774,1,0
EGG,6881,1,0
ELEPHANT,6773,1,0
EMPTY,6900,0,0
EYE,6921,1,1
FACE,6923,1,0
FALL,6776,1,0
FAST,6902,0,0
FEED,6778,1,0
FIND,6780,0,0
FINE,6904,0,0
FINGER,6925,1,0
FINISH,6782,0,0
FIRE ENGINE,6831,0,0
FISH,6775,1,0
FISH (FOOD),6883,0,0
FLOWER,7043,1,0
FOOD,6885,1,0
FOOT,6927,1,0
FORK,7081,1,0
FRIDGE,7021,1,0
FRIEND,6697,0,0
FROG,6777,1,0
GARAGE,7009,0,0
GARDEN,7045,1,0
GENTLE,6906,1,0
GET,6784,1,0
GIRAFFE,6779,1,0
GIRL,6701,0,0
GIVE,6786,1,0
GLASS,7082,0,0
GLASSES,6963,1,0
GO,6788,1,0
GOOD,6908,1,0
GOODNIGHT,6720,1,1
GOOSE,6781,0,0
GRANDMA,6702,1,0
GRANDPA,6703,1,0
GREEN,6910,0,0
GRR,6729,1,1
HAIR,6933,1,0
HAMMER,7083,0,0
HAND,6935,1,0
HAPPY,6912,0,0
HARD,6914,0,0
HAT,6965,1,1
HAVE,6790,0,0
HEAD,6937,1,0
HEAR,6792,0,0
HELLO,6716,1,1
HELP,6794,0,0
HER,6982,1,0
HI,6717,0,0
HIGH CHAIR,7011,1,0
HIS,6984,1,0
HIT,6796,1,0
HOOVER,7084,1,0
HORSE,6783,0,0
HOT,6916,0,0
HOUSE,7047,0,0
HOW,6954,0,0
HUG,6798,0,0
HUNGRY,6918,0,0
HURRY,6800,0,0
HURT,6920,1,0
I,6986,0,0
ICE CREAM,6887,1,0
IN,7010,0,0
INSIDE,7012,0,0
IT,6988,0,0
JACKET,6967,1,0
JAM,6889,1,0
JEANS,6969,1,0
JUG,7085,0,0
JUICE,6891,1,1
JUMP,6802,1,1
JUMPER,6971,0,0
KEY,7086,0,0
KICK,6804,0,0
KISS,6806,1,1
KITCHEN,7013,1,0
KITTEN,6785,1,0
KNEE,6939,0,0
KNOW,6808,0,0
LADY,6704,0,0
LAMB,6787,0,0
LAMP,7087,1,0
LATER,6968,0,0
LEG,6941,1,0
LIGHT (OBJECT),7088,1,0
LIKE,6810,0,0
LION,6789,1,0
LITTLE (DESCRIPTION),6922,1,0
LIVING ROOM,7015,1,0
LOOK,6812,1,0
LORRY,6823,1,0
LOVE,6814,0,0
LUNCH,6718,1,0
MAKE,6816,0,0
MAN,6705,0,0
ME,6990,0,0
MEAT,6893,1,0
MEDICINE,7089,1,0
MEOW,6731,1,1
MILK,6895,1,0
MINE,6992,1,1
MONEY,7090,0,0
MONKEY,6791,1,0
MOO,6733,0,0
MOON,7048,1,1
MORE,7032,1,0
MORNING,6970,1,0
MOTORCYCLE,6825,1,0
MOUSE,6793,0,0
MOUTH,6951,1,0
MUG,7091,0,0
MUMMY,6706,1,0
MY,6994,0,0
NAIL (BODY PART),6943,0,0
NAP,6719,1,0
NAPPY,6973,1,1
NASTY,6924,0,0
NAUGHTY,6926,1,0
NECKLACE,6975,0,0
NICE,6928,1,0
NIGHT,6972,1,0
NO,6721,1,1
NONE,7034,0,0
NOSE,6945,1,0
NOT,7036,0,0
NOW,6974,0,0
OFF,7014,1,0
OLD,6930,0,0
ON,7016,0,0
OPEN,6818,1,0
ORANGE (FOOD),6897,1,0
OTHER,7038,0,0
OUCH,6735,0,0
OUT,7018,1,0
OUTSIDE,7056,1,0
OWL,6795,0,0
PAPER,7092,0,0
