word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,68435,0,0
AGAIN,68228,0,0
ALL,68226,0,0
ALL GONE,68494,1,0
ANIMAL,68365,0,0
ANOTHER,68230,0,0
APPLE,68473,0,0
ARM,68531,1,0
ASLEEP,68496,1,0
AUNT,68308,1,0
AWAY,68204,0,0
BAA BAA,68341,1,0
BABY,68309,1,1
BABYSITTER,68325,1,0
BACK (PLACE),68206,0,0
BAD,68498,1,0
BALL,68455,1,0
BALLOON,68457,0,0
BANANA,68475,1,0
BASKET,68269,1,0
BATH,68329,1,0
BATH (FURNITURE),68191,1,0
BATHROOM,68193,1,0
BEACH,68237,0,0
BEAR,68367,0,0
BED,68195,1,0
BEDROOM,68197,0,0
BEE,68369,0,0
BELLY BUTTON,68533,1,0
BIB,68153,0,0
BICYCLE,68437,0,0
BIG,68500,0,0
BIRD,68371,0,0
BISCUIT,68477,1,0
BITE,68358,0,0
BLANKET,68270,1,0
BLOCK,68459,0,0
BLOW,68360,1,0
BLUE,68502,0,0
BOAT,68439,0,0
BOOK,68461,1,0
BOOTS,68155,1,0
BOTTLE,68271,1,0
BOWL,68272,1,0
BOX,68273,1,0
BOY,68310,1,0
BREAD,68479,1,0
BREAK,68362,1,0
BREAKFAST,68330,1,0
BRING,68364,1,0
BROKEN,68504,0,0
BROOM,68274,0,0
BROTHER,68311,0,0
BRUSH (OBJECT),68275,1,0
BUBBLES,68463,1,0
BUCKET,68239,0,0
BUMP,68366,1,0
BUS,68445,0,0
BUTTER,68481,0,0
BUTTERFLY,68375,0,0
BUTTON,68157,0,0
BYE BYE,68331,1,1
CAKE,68483,1,0
CALL,68368,1,0
CAR,68447,1,1
CAREFUL,68506,1,0
CARROTS,68485,0,0
CARRY,68370,1,0
CAT,68377,1,1
CATCH,68372,0,0
CEREAL,68487,0,0
CHAIR,68199,1,0
CHASE,68244,0,0
CHEEK,68535,0,0
CHEESE,68489,1,0
CHICKEN,68491,1,0
CHICKEN (ANIMAL),68379,0,0
CHILD,68312,1,0
CHIPS,68493,1,0
CHOO CHOO,68343,1,0
CHURCH,68241,0,0
CLEAN,68508,1,0
CLEAN (ACTION),68374,1,0
CLOCK,68276,0,0
CLOSE,68460,0,0
COAT,68159,1,0
COCKADOODLEDOO,68345,0,0
COFFEE,68495,0,0
COLD,68510,0,0
COMB (OBJECT),68277,0,0
COOKER,68201,0,0
COT,68203,1,0
COW,68381,0,0
CRY,68376,1,0
CUDDLE,68378,1,0
CUP,68278,1,0
CUT,68380,0,0
DADDY,68313,1,0
DANCE,68382,1,0
DARK,68512,0,0
DAY,68166,0,0
DEER,68383,0,0
DINNER,68332,1,0
DIRTY,68514,0,0
DISH,68279,0,0
DOCTOR,68314,0,0
DOG,68385,1,0
DOLL,68465,0,0
DON'T,68333,1,0
DONKEY,68387,0,0
DOOR,68205,1,0
DOWN,68208,1,0
DRAW,68384,1,0
DRAWER,68207,0,0
DRESS (OBJECT),68161,0,0
DRINK,68497,1,0
DRINK (ACTION),68386,1,0
DRIVE,68388,0,0
DROP,68390,1,0
DRY (DESCRIPTION),68516,0,0
DUCK,68389,0,0
DUMMY,68280,1,0
EAR,68537,0,0
EAT,68392,1,0
EGG,68499,0,0
ELEPHANT,68391,0,0
EMPTY,68518,0,0
EYE,68539,0,0
FACE,68541,0,0
FALL,68394,1,0
FAST,68520,0,0
FEED,68396,1,0
FIND,68398,0,0
FINE,68522,0,0
FINGER,68543,0,0
FINISH,68400,0,0
