word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,125959,1,0
AGAIN,126170,0,0
ALL,126168,0,0
ALL GONE,126018,1,0
ANIMAL,125889,0,0
ANOTHER,126172,0,0
APPLE,125997,1,0
ARM,126055,1,0
ASLEEP,126020,1,0
AUNT,125832,0,0
AWAY,126146,0,0
BAA BAA,125865,1,1
BABY,125833,1,1
BABYSITTER,125849,0,0
BACK (PLACE),126148,0,0
BAD,126022,0,0
BALL,125979,1,1
BALLOON,125981,1,1
BANANA,125999,1,1
BASKET,126211,1,0
BATH,125853,1,0
BATH (FURNITURE),126133,1,0
BATHROOM,126135,0,0
BEACH,126179,1,0
BEAR,125891,1,0
BED,126137,1,0
BEDROOM,126139,1,0
BEE,125893,1,0
BELLY BUTTON,126057,0,0
BIB,126095,0,0
BICYCLE,125961,1,0
BIG,126024,0,0
BIRD,125895,1,0
BISCUIT,126001,1,1
BITE,125882,0,0
BLANKET,126212,1,0
BLOCK,125983,0,0
BLOW,125884,1,0
BLUE,126026,0,0
BOAT,125963,1,0
BOOK,125985,1,1
BOOTS,126097,0,0
BOTTLE,126213,1,0
BOWL,126214,1,1
BOX,126215,1,0
BOY,125834,1,0
BREAD,126003,1,0
BREAK,125886,0,0
BREAKFAST,125854,1,0
BRING,125888,0,0
BROKEN,126028,0,0
BROOM,126216,1,0
BROTHER,125835,0,0
BRUSH (OBJECT),126217,1,0
BUBBLES,125987,1,1
BUCKET,126181,1,0
BUMP,125890,0,0
BUS,125969,1,0
BUTTER,126005,1,0
BUTTERFLY,125899,1,0
BUTTON,126099,0,0
BYE BYE,125855,1,1
CAKE,126007,1,0
CALL,125892,0,0
CAR,125971,1,1
CAREFUL,126030,0,0
CARROTS,126009,1,0
CARRY,125894,1,0
CAT,125901,1,1
CATCH,125896,1,0
CEREAL,126011,1,0
CHAIR,126141,1,0
CHASE,126186,0,0
CHEEK,126059,0,0
CHEESE,126013,1,1
CHICKEN,126015,1,0
CHICKEN (ANIMAL),125903,1,0
CHILD,125836,0,0
CHIPS,126017,1,0
CHOO CHOO,125867,1,1
CHURCH,126183,0,0
CLEAN,126032,0,0
CLEAN (ACTION),125898,0,0
CLOCK,126218,0,0
CLOSE,125984,1,0
COAT,126101,1,0
COCKADOODLEDOO,125869,1,0
COFFEE,126019,0,0
COLD,126034,0,0
COMB (OBJECT),126219,1,0
COOKER,126143,1,0
COT,126145,1,0
COW,125905,1,0
CRY,125900,1,0
CUDDLE,125902,1,0
CUP,126220,1,0
CUT,125904,0,0
DADDY,125837,1,1
DANCE,125906,1,0
DARK,126036,1,0
DAY,126108,0,0
DEER,125907,1,0
DINNER,125856,1,0
DIRTY,126038,0,0
DISH,126221,1,0
DOCTOR,125838,0,0
DOG,125909,1,1
DOLL,125989,1,0
DON'T,125857,0,0
DONKEY,125911,0,0
DOOR,126147,1,1
DOWN,126150,1,0
DRAW,125908,1,0
DRAWER,126149,0,0
DRESS (OBJECT),126103,0,0
DRINK,126021,1,0
DRINK (ACTION),125910,1,0
DRIVE,125912,1,0
DROP,125914,1,0
DRY (DESCRIPTION),126040,0,0
DUCK,125913,1,1
DUMMY,126222,0,0
EAR,126061,1,1
EAT,125916,1,0
EGG,126023,1,0
ELEPHANT,125915,1,0
EMPTY,126042,1,0
EYE,126063,1,0
FACE,126065,1,0
FALL,125918,0,0
FAST,126044,0,0
FEED,125920,1,0
FIND,125922,0,0
FINE,126046,0,0
FINGER,126067,1,0
FINISH,125924,0,0
FIRE ENGINE,125973,1,0
FISH,125917,1,1
FISH (FOOD),126025,1,1
FLOWER,126185,1,0
FOOD,126027,1,0
FOOT,126069,1,0
FORK,126223,1,0
FRIDGE,126163,1,0
FRIEND,125839,0,0
FROG,125919,1,0
GARAGE,126151,0,0
GARDEN,126187,1,0
GENTLE,126048,0,0
GET,125926,1,0
GIRAFFE,125921,1,0
GIRL,125843,1,0
GIVE,125928,1,0
GLASS,126224,0,0
GLASSES,126105,1,0
GO,125930,1,0
GOOD,126050,0,0
GOODNIGHT,125862,1,1
GOOSE,125923,0,0
GRANDMA,125844,1,0
GRANDPA,125845,1,0
GREEN,126052,0,0
GRR,125871,1,1
HAIR,126075,1,0
HAMMER,126225,0,0
HAND,126077,1,0
HAPPY,126054,1,0
HARD,126056,0,0
HAT,126107,1,1
HAVE,125932,0,0
HEAD,126079,1,0
HEAR,125934,1,0
HELLO,125858,1,1
HELP,125936,1,0
HER,126124,0,0
HI,125859,1,1
HIGH CHAIR,126153,1,0
HIS,126126,0,0
HIT,125938,1,0
HOOVER,126226,0,0
HORSE,125925,1,0
HOT,126058,0,0
HOUSE,126189,1,0
HOW,126096,0,0
HUG,125940,1,0
HUNGRY,126060,1,0
HURRY,125942,0,0
HURT,126062,1,0
I,126128,0,0
ICE CREAM,126029,1,0
IN,126152,1,0
INSIDE,126154,1,0
IT,126130,0,0
JACKET,126109,1,0
JAM,126031,0,0
JEANS,126111,0,0
JUG,126227,0,0
JUICE,126033,1,1
JUMP,125944,1,0
JUMPER,126113,1,0
KEY,126228,1,0
KICK,125946,1,0
KISS,125948,1,0
KITCHEN,126155,1,0
KITTEN,125927,0,0
KNEE,126081,0,0
KNOW,125950,0,0
LADY,125846,0,0
LAMB,125929,1,0
LAMP,126229,1,0
LATER,126110,0,0
LEG,126083,1,0
LIGHT (OBJECT),126230,1,0
LIKE,125952,0,0
LION,125931,1,0
LITTLE (DESCRIPTION),126064,0,0
LIVING ROOM,126157,0,0
LOOK,125954,1,0
LORRY,125965,1,1
LOVE,125956,0,0
LUNCH,125860,1,0
MAKE,125958,0,0
MAN,125847,1,0
ME,126132,1,1
MEAT,126035,1,0
MEDICINE,126231,0,0
MEOW,125873,1,1
MILK,126037,1,1
MINE,126134,0,0
MONEY,126232,0,0
MONKEY,125933,1,0
MOO,125875,1,1
MOON,126190,1,0
MORE,126174,1,1
MORNING,126112,0,0
MOTORCYCLE,125967,1,0
MOUSE,125935,1,0
MOUTH,126093,1,0
MUG,126233,0,0
MUMMY,125848,1,1
MY,126136,0,0
NAIL (BODY PART),126085,0,0
NAP,125861,1,0
NAPPY,126115,1,0
NASTY,126066,0,0
NAUGHTY,126068,0,0
NECKLACE,126117,0,0
NICE,126070,0,0
NIGHT,126114,1,1
NO,125863,1,1
NONE,126176,0,0
NOSE,126087,1,1
NOT,126178,0,0
NOW,126116,0,0
OFF,126156,0,0
OLD,126072,0,0
ON,126158,1,0
OPEN,125960,1,0
ORANGE (FOOD),126039,1,0
OTHER,126180,0,0
OUCH,125877,1,1
OUT,126160,0,0
OUTSIDE,126198,1,0
OWL,125937,1,0
PAPER,126234,1,0
PARK,126199,1,0
PARTY,126200,0,0
PASTA,126041,1,0
PATTYCAKE,125864,0,0
PEAS,126043,1,0
PEEKABOO,125866,1,1
PEN,125991,1,0
PENGUIN,125939,0,0
PENNY,126235,0,0
PEOPLE,125850,0,0
PERSON,125840,0,0
PHONE,125828,1,0
PICTURE,126236,1,0
PIG,125941,1,1
PILLOW,125819,0,0
PIZZA,126045,1,0
PLANT,125820,0,0
PLATE,125821,0,0
PLAY,125962,1,1
PLAY PEN,126159,0,0
PLEASE,125868,1,1
POLICE,125841,0,0
PONY,125943,0,0
POOL,126201,1,0
POTTY,126161,0,0
PRETTY,126074,0,0
PULL,125964,1,0
PUPPY,125945,1,0
PURSE,125822,0,0
PUSH,125966,1,0
PUSHCHAIR,125975,1,0
PUT,125968,0,0
PYJAMAS,126119,1,0
QUACK,125879,1,1
RABBIT,125897,1,0
RADIO,125823,0,0
RAIN,126202,1,0
READ,125970,1,0
RED,126076,0,0
RIDE,125972,1,0
ROCKING CHAIR,126165,0,0
RUBBISH,125824,1,0
RUN,125974,1,0
SAD,126078,0,0
SAME,126182,0,0
SAY,125976,0,0
SCARED,126080,0,0
SCHOOL,126203,0,0
SCISSORS,125825,1,0
SCRATCH,125978,0,0
SEE,125980,0,0
SHEEP,125947,1,0
SHH,125870,1,1
SHIRT,126121,0,0
SHOES,126123,1,1
SHOP,126204,1,0
SHORTS,126125,0,0
SHOW,125982,1,0
SICK,126082,0,0
SING,125986,1,0
SINK,126169,0,0
SISTER,125842,1,0
SKY,126191,0,0
SLEEP,125988,1,0
SLEEPY,126084,1,0
SLIDE (OBJECT),126192,1,0
SMELL,126188,0,0
SMILE,125990,1,0
SNOW,126193,0,0
SOAP,125826,0,0
SOCK,126127,1,0
SOFA,126167,1,0
SOFT,126086,0,0
SOME,126184,0,0
SPADE,126194,0,0
SPIDER,125949,1,0
SPLASH,125992,1,0
SPOON,125827,1,1
SQUIRREL,125951,1,0
STAIRS,126171,1,0
STAR,126195,1,1
STONE,126196,1,0
STOP,125994,1,0
SUN,126197,1,0
SWEETS,126047,0,0
SWIM,125996,1,0
SWING (ACTION),125998,1,0
SWING (OBJECT),126205,1,0
TABLE,126173,1,0
TAKE,126000,0,0
TEA,125872,1,1
TEA (DRINK),126049,1,1
TEACHER,125851,0,0
TEDDY,125993,1,1
TELL,126002,0,0
THANK YOU,125874,1,0
THAT,126138,0,0
THERE,126162,0,0
THIRSTY,126088,0,0
THIS,126140,0,0
THROW,126004,1,0
TICKLE,126006,1,1
TIGER,125953,1,0
TIRED,126090,1,0
TOAST,126051,1,1
TODAY,126118,0,0
TOE,126089,1,1
TOMORROW,126120,0,0
TONGUE,126071,1,0
TONIGHT,126122,0,0
TOOTH,126073,1,0
TOOTHBRUSH,125829,1,0
TOWEL,125830,1,0
TOY (OBJECT),125995,1,0
TRAIN,125977,1,0
TREE,126206,1,1
TROUSERS,126129,1,0
TUMMY,126091,1,0
TURKEY,125955,1,0
TURTLE,125957,1,0
TV,126175,1,0
UHOH,125881,1,1
UNCLE,125852,1,0
UNDER,126164,0,0
UP,126166,1,0
VROOM,125883,1,1
WAIT,125876,0,0
WALK,126008,1,0
WALL,126207,0,0
WANT TO,125878,0,0
WASH,126010,1,0
WATCH (ACTION),126012,0,0
WATCH (OBJECT),125831,0,0
WATER,126053,1,0
WATER (OUTSIDE),126208,1,0
WET,126092,0,0
WHAT,126098,0,0
WHEN,126100,0,0
WHERE,126102,1,0
WHO,126104,0,0
WHY,126106,0,0
WINDOW,126177,1,0
WIPE,126014,1,0
WOOF,125885,1,1
WORK (PLACE),126209,0,0
WRITE,126016,0,0
YELLOW,126094,0,0
YES,125880,1,0
YOU,126142,0,0
YOUR,126144,0,0
YUM,125887,1,0
ZIP,126131,0,0
ZOO,126210,1,0
