word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,76465,0,0
AGAIN,76258,1,1
ALL,76256,1,0
ALL GONE,76106,1,0
ANIMAL,76395,1,0
ANOTHER,76260,1,0
APPLE,76085,1,1
ARM,76143,1,1
ASLEEP,76108,1,0
AUNT,76338,0,0
AWAY,76234,0,0
BAA BAA,76371,0,0
BABY,76339,1,1
BABYSITTER,76355,1,1
BACK (PLACE),76236,1,0
BAD,76110,0,0
BALL,76485,1,1
BALLOON,76487,1,1
BANANA,76087,1,1
BASKET,76299,1,0
BATH,76359,1,1
BATH (FURNITURE),76221,1,1
BATHROOM,76223,1,0
BEACH,76267,1,1
BEAR,76397,0,0
BED,76225,1,1
BEDROOM,76227,1,0
BEE,76399,0,0
BELLY BUTTON,76145,0,0
BIB,76183,0,0
BICYCLE,76467,1,1
BIG,76112,1,0
BIRD,76401,1,1
BISCUIT,76089,1,1
BITE,76388,1,1
BLANKET,76300,1,0
BLOCK,76489,1,1
BLOW,76390,1,1
BLUE,76114,1,1
BOAT,76469,1,1
BOOK,76491,1,1
BOOTS,76185,0,0
BOTTLE,76301,1,1
BOWL,76302,1,1
BOX,76303,0,0
BOY,76340,1,1
BREAD,76091,1,1
BREAK,76392,1,0
BREAKFAST,76360,1,0
BRING,76394,1,0
BROKEN,76116,1,0
BROOM,76304,0,0
BROTHER,76341,0,0
BRUSH (OBJECT),76305,0,0
BUBBLES,76493,1,1
BUCKET,76269,0,0
BUMP,76396,1,0
BUS,76475,1,1
BUTTER,76093,0,0
BUTTERFLY,76405,0,0
BUTTON,76187,0,0
BYE BYE,76361,1,1
CAKE,76095,1,1
CALL,76398,1,0
CAR,76477,1,1
CAREFUL,76118,1,0
CARROTS,76097,1,1
CARRY,76400,1,0
CAT,76407,1,1
CATCH,76402,1,0
CEREAL,76099,0,0
CHAIR,76229,1,1
CHASE,76274,1,0
CHEEK,76147,1,1
CHEESE,76101,1,1
CHICKEN,76103,1,1
CHICKEN (ANIMAL),76409,1,1
CHILD,76342,0,0
CHIPS,76105,1,1
CHOO CHOO,76373,0,0
CHURCH,76271,0,0
CLEAN,76120,1,0
CLEAN (ACTION),76404,1,0
CLOCK,76306,1,0
CLOSE,76490,1,0
COAT,76189,1,1
COCKADOODLEDOO,76375,0,0
COFFEE,76107,1,0
COLD,76122,1,0
COMB (OBJECT),76307,1,0
COOKER,76231,1,0
COT,76233,0,0
COW,76411,1,1
CRY,76406,1,0
CUDDLE,76408,1,0
CUP,76308,1,1
CUT,76410,0,0
DADDY,76343,1,1
DANCE,76412,1,0
DARK,76124,1,0
DAY,76196,0,0
DEER,76413,0,0
DINNER,76362,1,1
DIRTY,76126,1,1
DISH,76309,0,0
DOCTOR,76344,0,0
DOG,76415,1,1
DOLL,76077,1,1
DON'T,76363,0,0
DONKEY,76417,1,0
DOOR,76235,1,1
DOWN,76238,1,1
DRAW,76414,1,0
DRAWER,76237,1,0
DRESS (OBJECT),76191,1,0
DRINK,76109,1,1
DRINK (ACTION),76416,1,0
DRIVE,76418,1,0
DROP,76420,1,0
DRY (DESCRIPTION),76128,1,0
DUCK,76419,1,1
DUMMY,76310,0,0
EAR,76149,1,1
EAT,76422,1,1
EGG,76111,1,1
ELEPHANT,76421,1,1
EMPTY,76130,1,0
EYE,76151,1,1
FACE,76153,1,1
FALL,76424,1,0
FAST,76132,1,0
FEED,76426,1,0
FIND,76428,1,0
FINE,76134,0,0
FINGER,76155,1,1
FINISH,76430,1,0
FIRE ENGINE,76479,1,1
FISH,76423,1,1
FISH (FOOD),76113,1,1
FLOWER,76273,1,1
FOOD,76115,1,1
FOOT,76157,1,1
FORK,76311,1,1
FRIDGE,76251,1,1
FRIEND,76345,1,1
FROG,76425,1,1
GARAGE,76239,0,0
GARDEN,76275,1,1
GENTLE,76136,1,0
GET,76432,1,0
GIRAFFE,76427,1,1
GIRL,76349,1,1
GIVE,76434,1,0
GLASS,76312,1,1
GLASSES,76193,1,1
GO,76436,1,0
GOOD,76138,1,1
GOODNIGHT,76368,1,1
GOOSE,76429,0,0
GRANDMA,76350,1,1
GRANDPA,76351,0,0
GREEN,76140,1,1
GRR,76377,0,0
HAIR,76163,1,1
HAMMER,76313,0,0
HAND,76165,1,1
HAPPY,76142,1,0
HARD,76144,1,0
HAT,76195,1,1
HAVE,76438,1,0
HEAD,76167,1,1
HEAR,76440,1,0
HELLO,76364,1,1
HELP,76442,1,0
HER,76212,0,0
HI,76365,0,0
HIGH CHAIR,76241,0,0
HIS,76214,0,0
HIT,76444,1,0
HOOVER,76314,1,0
HORSE,76431,1,0
HOT,76146,1,1
HOUSE,76277,1,1
HOW,76184,1,0
HUG,76446,1,0
HUNGRY,76148,1,0
HURRY,76448,1,0
HURT,76150,1,0
I,76216,0,0
ICE CREAM,76117,1,1
IN,76240,1,1
INSIDE,76242,1,0
IT,76218,0,0
JACKET,76197,0,0
JAM,76119,1,1
JEANS,76199,0,0
JUG,76315,0,0
JUICE,76121,1,1
JUMP,76450,1,0
JUMPER,76201,0,0
KEY,76316,1,1
KICK,76452,1,0
KISS,76454,1,0
KITCHEN,76243,1,0
KITTEN,76433,0,0
KNEE,76169,1,0
KNOW,76456,0,0
LADY,76352,1,1
LAMB,76435,0,0
LAMP,76317,0,0
LATER,76198,1,0
LEG,76171,1,1
LIGHT (OBJECT),76318,1,1
LIKE,76458,1,1
LION,76437,1,1
LITTLE (DESCRIPTION),76152,1,0
LIVING ROOM,76245,1,0
LOOK,76460,1,1
LORRY,76471,0,0
LOVE,76462,1,0
LUNCH,76366,1,0
MAKE,76464,0,0
MAN,76353,1,1
ME,76220,1,1
MEAT,76123,1,1
MEDICINE,76319,0,0
MEOW,76379,0,0
MILK,76125,1,1
MINE,76222,1,1
MONEY,76320,0,0
MONKEY,76439,1,1
MOO,76381,1,1
MOON,76278,0,0
MORE,76262,1,0
MORNING,76200,1,0
MOTORCYCLE,76473,0,0
MOUSE,76441,1,1
MOUTH,76181,1,1
MUG,76321,0,0
MUMMY,76354,1,1
MY,76224,1,1
NAIL (BODY PART),76173,0,0
NAP,76367,1,0
NAPPY,76203,1,0
NASTY,76154,1,0
NAUGHTY,76156,1,0
NECKLACE,76205,0,0
NICE,76158,1,0
NIGHT,76202,0,0
NO,76369,1,1
NONE,76264,1,0
NOSE,76175,1,1
NOT,76266,1,0
NOW,76204,1,0
OFF,76244,1,1
OLD,76160,0,0
ON,76246,1,1
OPEN,76466,1,0
ORANGE (FOOD),76127,1,1
OTHER,76268,1,0
OUCH,76383,0,0
OUT,76248,1,1
OUTSIDE,76286,1,0
OWL,76443,0,0
PAPER,76322,0,0
PARK,76287,1,1
PARTY,76288,1,1
PASTA,76129,1,1
PATTYCAKE,76370,0,0
PEAS,76131,1,1
PEEKABOO,76372,1,1
PEN,76079,1,1
PENGUIN,76445,1,0
PENNY,76323,1,1
PEOPLE,76356,1,0
PERSON,76346,0,0
PHONE,76334,1,1
PICTURE,76324,1,0
PIG,76447,1,1
PILLOW,76325,1,0
PIZZA,76133,1,1
PLANT,76326,0,0
PLATE,76327,1,1
PLAY,76468,1,0
PLAY PEN,76247,0,0
PLEASE,76374,1,1
POLICE,76347,0,0
PONY,76449,0,0
POOL,76289,1,1
POTTY,76249,1,0
PRETTY,76162,0,0
PULL,76470,1,0
PUPPY,76451,0,0
PURSE,76328,1,1
PUSH,76472,1,0
PUSHCHAIR,76481,1,1
PUT,76474,1,0
PYJAMAS,76207,1,0
QUACK,76385,0,0
RABBIT,76403,1,1
RADIO,76329,0,0
RAIN,76290,1,1
READ,76476,1,0
RED,76164,1,1
RIDE,76478,1,0
ROCKING CHAIR,76253,0,0
RUBBISH,76330,1,1
RUN,76480,1,0
SAD,76166,1,0
SAME,76270,1,0
SAY,76482,1,0
SCARED,76168,0,0
SCHOOL,76291,1,1
SCISSORS,76331,0,0
SCRATCH,76484,1,0
SEE,76486,1,0
SHEEP,76453,1,1
SHH,76376,1,1
SHIRT,76209,0,0
SHOES,76211,1,1
SHOP,76292,1,1
SHORTS,76213,0,0
SHOW,76488,1,0
SICK,76170,0,0
