word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,129017,1,0
AGAIN,128810,1,1
ALL,128808,0,0
ALL GONE,129076,1,1
ANIMAL,128947,0,0
ANOTHER,128812,1,0
APPLE,129055,1,1
ARM,129113,1,1
ASLEEP,129078,0,0
AUNT,128890,0,0
AWAY,128786,0,0
BAA BAA,128923,1,1
BABY,128891,1,1
BABYSITTER,128907,1,1
BACK (PLACE),128788,0,0
BAD,129080,0,0
BALL,129037,1,1
BALLOON,129039,1,1
BANANA,129057,1,1
BASKET,128851,1,0
BATH,128911,1,1
BATH (FURNITURE),128773,1,1
BATHROOM,128775,1,0
BEACH,128819,0,0
BEAR,128949,1,1
BED,128777,1,1
BEDROOM,128779,1,1
BEE,128951,1,1
BELLY BUTTON,129115,0,0
BIB,129153,1,1
BICYCLE,129019,1,1
BIG,129082,0,0
BIRD,128953,1,1
BISCUIT,129059,1,1
BITE,128940,1,0
BLANKET,128852,1,1
BLOCK,129041,1,1
BLOW,128942,1,0
BLUE,129084,1,1
BOAT,129021,1,1
BOOK,129043,1,1
BOOTS,129155,1,1
BOTTLE,128853,1,1
BOWL,128854,1,1
BOX,128855,1,1
BOY,128892,0,0
BREAD,129061,1,1
BREAK,128944,0,0
BREAKFAST,128912,1,0
BRING,128946,1,0
BROKEN,129086,1,0
BROOM,128856,0,0
BROTHER,128893,0,0
BRUSH (OBJECT),128857,1,1
BUBBLES,129045,1,1
BUCKET,128821,0,0
BUMP,128948,1,1
BUS,129027,1,1
BUTTER,129063,0,0
BUTTERFLY,128957,1,0
BUTTON,129157,1,1
BYE BYE,128913,1,1
CAKE,129065,1,1
CALL,128950,0,0
CAR,129029,1,1
CAREFUL,129088,1,0
CARROTS,129067,1,1
CARRY,128952,0,0
CAT,128959,1,1
CATCH,128954,1,0
CEREAL,129069,0,0
CHAIR,128781,1,1
CHASE,128826,0,0
CHEEK,129117,1,1
CHEESE,129071,1,1
CHICKEN,129073,1,1
CHICKEN (ANIMAL),128961,1,1
CHILD,128894,0,0
CHIPS,129075,1,1
CHOO CHOO,128925,1,1
CHURCH,128823,0,0
CLEAN,129090,1,0
CLEAN (ACTION),128956,1,0
CLOCK,128858,1,1
CLOSE,129042,1,0
COAT,129159,1,1
COCKADOODLEDOO,128927,0,0
COFFEE,129077,0,0
COLD,129092,1,1
COMB (OBJECT),128859,0,0
COOKER,128783,0,0
COT,128785,1,0
COW,128963,1,1
CRY,128958,1,0
CUDDLE,128960,1,1
CUP,128860,1,1
CUT,128962,0,0
DADDY,128895,1,1
DANCE,128964,1,0
DARK,129094,0,0
DAY,128748,0,0
DEER,128965,1,0
DINNER,128914,1,0
DIRTY,129096,1,0
DISH,128861,1,0
DOCTOR,128896,0,0
DOG,128967,1,1
DOLL,129047,1,1
DON'T,128915,0,0
DONKEY,128969,1,1
DOOR,128787,1,1
DOWN,128790,1,0
DRAW,128966,1,0
DRAWER,128789,0,0
DRESS (OBJECT),129161,1,1
DRINK,129079,1,1
DRINK (ACTION),128968,1,1
DRIVE,128970,0,0
DROP,128972,1,0
DRY (DESCRIPTION),129098,1,0
DUCK,128971,1,1
DUMMY,128862,0,0
EAR,129119,1,1
EAT,128974,1,0
EGG,129081,1,1
ELEPHANT,128973,1,1
EMPTY,129100,1,0
EYE,129121,1,1
FACE,129123,1,1
FALL,128976,1,0
FAST,129102,0,0
FEED,128978,0,0
FIND,128980,1,0
FINE,129104,0,0
FINGER,129125,1,1
FINISH,128982,1,0
FIRE ENGINE,129031,1,0
FISH,128975,1,1
FISH (FOOD),129083,1,1
FLOWER,128825,1,0
FOOD,129085,1,1
FOOT,129127,1,1
FORK,128863,1,0
FRIDGE,128803,1,0
FRIEND,128897,0,0
FROG,128977,1,1
GARAGE,128791,0,0
GARDEN,128827,0,0
GENTLE,129106,1,0
GET,128984,1,0
GIRAFFE,128979,1,1
GIRL,128901,0,0
GIVE,128986,1,0
GLASS,128864,0,0
GLASSES,128745,1,1
GO,128988,1,1
GOOD,129108,1,1
GOODNIGHT,128920,1,1
GOOSE,128981,0,0
GRANDMA,128902,0,0
GRANDPA,128903,1,1
GREEN,129110,0,0
GRR,128929,1,1
HAIR,129133,1,1
HAMMER,128865,0,0
HAND,129135,1,1
HAPPY,129112,1,0
HARD,129114,0,0
HAT,128747,1,1
HAVE,128990,0,0
HEAD,129137,1,1
HEAR,128992,0,0
HELLO,128916,1,1
HELP,128994,0,0
HER,128764,0,0
HI,128917,1,1
HIGH CHAIR,128793,1,1
HIS,128766,0,0
HIT,128996,1,0
HOOVER,128866,1,0
HORSE,128983,1,1
HOT,129116,1,1
HOUSE,128829,1,1
HOW,129154,0,0
HUG,128998,1,1
HUNGRY,129118,1,0
HURRY,129000,0,0
HURT,129120,0,0
I,128768,0,0
ICE CREAM,129087,1,1
IN,128792,0,0
INSIDE,128794,1,0
IT,128770,0,0
JACKET,128749,1,0
JAM,129089,1,1
JEANS,128751,1,0
JUG,128867,0,0
JUICE,129091,1,1
JUMP,129002,1,1
JUMPER,128753,1,1
KEY,128868,1,1
KICK,129004,1,1
KISS,129006,1,1
KITCHEN,128795,1,0
KITTEN,128985,0,0
KNEE,129139,1,0
KNOW,129008,0,0
LADY,128904,0,0
LAMB,128987,0,0
LAMP,128869,1,0
LATER,128750,0,0
LEG,129141,1,0
LIGHT (OBJECT),128870,1,0
LIKE,129010,1,0
LION,128989,1,1
LITTLE (DESCRIPTION),129122,0,0
LIVING ROOM,128797,0,0
LOOK,129012,1,1
LORRY,129023,0,0
LOVE,129014,0,0
LUNCH,128918,1,0
MAKE,129016,0,0
MAN,128905,1,1
ME,128772,0,0
MEAT,129093,0,0
MEDICINE,128871,0,0
MEOW,128931,1,1
MILK,129095,1,1
MINE,128774,1,0
MONEY,128872,0,0
MONKEY,128991,1,1
MOO,128933,1,1
MOON,128830,1,1
MORE,128814,1,1
MORNING,128752,0,0
MOTORCYCLE,129025,1,1
MOUSE,128993,1,1
MOUTH,129151,1,1
MUG,128873,0,0
MUMMY,128906,1,1
MY,128776,0,0
NAIL (BODY PART),129143,0,0
NAP,128919,1,1
NAPPY,128755,1,1
NASTY,129124,0,0
NAUGHTY,129126,0,0
NECKLACE,128757,1,1
NICE,129128,0,0
NIGHT,128754,0,0
NO,128921,1,1
NONE,128816,0,0
NOSE,129145,1,1
NOT,128818,0,0
NOW,128756,0,0
OFF,128796,1,0
OLD,129130,0,0
ON,128798,1,0
OPEN,129018,1,0
ORANGE (FOOD),129097,1,1
OTHER,128820,0,0
OUCH,128935,1,1
OUT,128800,1,0
OUTSIDE,128838,1,1
OWL,128995,1,1
PAPER,128874,1,0
PARK,128839,1,0
PARTY,128840,0,0
PASTA,129099,0,0
PATTYCAKE,128922,1,0
PEAS,129101,1,1
PEEKABOO,128924,1,1
PEN,129049,0,0
PENGUIN,128997,1,1
PENNY,128875,0,0
PEOPLE,128908,0,0
PERSON,128898,0,0
PHONE,128886,1,0
PICTURE,128876,1,0
PIG,128999,1,1
PILLOW,128877,0,0
PIZZA,129103,1,1
PLANT,128878,1,1
PLATE,128879,1,0
PLAY,129020,1,0
PLAY PEN,128799,0,0
PLEASE,128926,1,1
POLICE,128899,0,0
PONY,129001,1,1
POOL,128841,0,0
POTTY,128801,1,1
PRETTY,129132,1,1
PULL,129022,0,0
PUPPY,129003,1,0
PURSE,128880,0,0
PUSH,129024,0,0
PUSHCHAIR,129033,1,1
PUT,129026,1,0
PYJAMAS,128759,1,0
QUACK,128937,1,1
RABBIT,128955,1,1
RADIO,128881,0,0
RAIN,128842,0,0
READ,129028,1,0
RED,129134,0,0
RIDE,129030,0,0
ROCKING CHAIR,128805,0,0
RUBBISH,128882,1,0
RUN,129032,0,0
SAD,129136,0,0
SAME,128822,0,0
SAY,129034,1,1
SCARED,129138,0,0
SCHOOL,128843,0,0
SCISSORS,128883,1,0
SCRATCH,129036,1,0
SEE,129038,1,1
SHEEP,129005,1,1
SHH,128928,1,1
SHIRT,128761,0,0
SHOES,128763,1,1
SHOP,128844,0,0
SHORTS,128765,0,0
SHOW,129040,1,1
SICK,129140,0,0
SING,129044,1,1
SINK,128809,0,0
SISTER,128900,0,0
SKY,128831,1,0
SLEEP,129046,1,0
SLEEPY,129142,1,0
SLIDE (OBJECT),128832,1,1
SMELL,128828,1,0
SMILE,129048,1,0
SNOW,128833,0,0
SOAP,128884,1,0
SOCK,128767,1,1
SOFA,128807,1,1
SOFT,129144,0,0
SOME,128824,1,1
SPADE,128834,0,0
SPIDER,129007,1,0
SPLASH,129050,1,1
SPOON,128885,1,1
SQUIRREL,129009,1,0
STAIRS,128811,1,1
STAR,128835,1,1
STONE,128836,0,0
STOP,129052,1,0
SUN,128837,1,1
SWEETS,129105,0,0
SWIM,129054,1,0
SWING (ACTION),129056,1,1
SWING (OBJECT),128845,1,1
TABLE,128813,1,1
TAKE,129058,0,0
TEA,128930,1,1
TEA (DRINK),129107,1,1
TEACHER,128909,0,0
TEDDY,129051,1,1
TELL,129060,0,0
THANK YOU,128932,1,1
THAT,128778,0,0
THERE,128802,0,0
THIRSTY,129146,1,0
THIS,128780,0,0
THROW,129062,1,0
TICKLE,129064,1,1
TIGER,129011,1,1
TIRED,129148,1,0
TOAST,129109,1,1
TODAY,128758,0,0
TOE,129147,1,0
TOMORROW,128760,0,0
TONGUE,129129,1,0
TONIGHT,128762,0,0
TOOTH,129131,1,1
TOOTHBRUSH,128887,1,0
TOWEL,128888,1,0
TOY (OBJECT),129053,1,1
TRAIN,129035,1,1
TREE,128846,1,0
TROUSERS,128769,0,0
TUMMY,129149,1,0
TURKEY,129013,0,0
TURTLE,129015,1,1
TV,128815,0,0
UHOH,128939,1,1
UNCLE,128910,0,0
UNDER,128804,0,0
UP,128806,1,1
VROOM,128941,1,1
WAIT,128934,1,0
WALK,129066,1,0
WALL,128847,1,0
WANT TO,128936,0,0
WASH,129068,1,1
WATCH (ACTION),129070,0,0
WATCH (OBJECT),128889,0,0
WATER,129111,1,1
WATER (OUTSIDE),128848,1,0
WET,129150,1,0
WHAT,129156,1,0
WHEN,129158,0,0
WHERE,129160,1,0
WHO,129162,1,0
WHY,128746,0,0
WINDOW,128817,0,0
WIPE,129072,1,0
WOOF,128943,1,1
WORK (PLACE),128849,0,0
WRITE,129074,0,0
YELLOW,129152,0,0
YES,128938,1,1
YOU,128782,0,0
YOUR,128784,0,0
YUM,128945,1,1
ZIP,128771,1,1
ZOO,128850,0,0
