word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,109547,1,1
AGAIN,109758,1,0
ALL,109756,0,0
ALL GONE,109606,1,1
ANIMAL,109895,0,0
ANOTHER,109760,0,0
APPLE,109585,1,1
ARM,109643,1,0
ASLEEP,109608,1,1
AUNT,109838,0,0
AWAY,109734,0,0
BAA BAA,109871,1,1
BABY,109839,1,1
BABYSITTER,109855,1,1
BACK (PLACE),109736,0,0
BAD,109610,1,1
BALL,109567,1,1
BALLOON,109569,1,1
BANANA,109587,1,1
BASKET,109799,1,0
BATH,109859,1,1
BATH (FURNITURE),109721,1,1
BATHROOM,109723,1,0
BEACH,109767,0,0
BEAR,109897,0,0
BED,109725,1,0
BEDROOM,109727,1,0
BEE,109899,0,0
BELLY BUTTON,109645,0,0
BIB,109683,0,0
BICYCLE,109549,1,1
BIG,109612,1,0
BIRD,109901,0,0
BISCUIT,109589,1,1
BITE,109888,0,0
BLANKET,109800,0,0
BLOCK,109571,0,0
BLOW,109890,1,1
BLUE,109614,0,0
BOAT,109551,1,1
BOOK,109573,1,1
BOOTS,109685,1,0
BOTTLE,109801,1,1
BOWL,109802,1,1
BOX,109803,1,1
BOY,109840,0,0
BREAD,109591,0,0
BREAK,109892,0,0
BREAKFAST,109860,1,1
BRING,109894,1,0
BROKEN,109616,0,0
BROOM,109804,0,0
BROTHER,109841,0,0
BRUSH (OBJECT),109805,1,0
BUBBLES,109575,1,1
BUCKET,109769,0,0
BUMP,109896,0,0
BUS,109557,1,1
BUTTER,109593,0,0
BUTTERFLY,109905,0,0
BUTTON,109687,0,0
BYE BYE,109861,1,1
CAKE,109595,1,1
CALL,109898,0,0
CAR,109559,1,1
CAREFUL,109618,0,0
CARROTS,109597,1,0
CARRY,109900,1,1
CAT,109907,1,1
CATCH,109902,1,1
CEREAL,109599,0,0
CHAIR,109729,1,0
CHASE,109774,0,0
CHEEK,109647,1,0
CHEESE,109601,1,0
CHICKEN,109603,1,0
CHICKEN (ANIMAL),109909,0,0
CHILD,109842,0,0
CHIPS,109605,1,0
CHOO CHOO,109873,1,1
CHURCH,109771,0,0
CLEAN,109620,0,0
CLEAN (ACTION),109904,1,1
CLOCK,109806,0,0
CLOSE,109572,1,1
COAT,109689,1,1
COCKADOODLEDOO,109875,0,0
COFFEE,109607,0,0
COLD,109622,0,0
COMB (OBJECT),109807,0,0
COOKER,109731,1,0
COT,109733,1,0
COW,109911,0,0
CRY,109906,0,0
CUDDLE,109908,1,1
CUP,109808,1,1
CUT,109910,0,0
DADDY,109843,1,1
DANCE,109912,1,1
DARK,109624,0,0
DAY,109696,0,0
DEER,109913,0,0
DINNER,109862,1,1
DIRTY,109626,1,1
DISH,109809,0,0
DOCTOR,109844,0,0
DOG,109915,1,1
DOLL,109577,1,1
DON'T,109863,1,1
DONKEY,109917,0,0
DOOR,109735,1,0
DOWN,109738,1,1
DRAW,109914,1,0
DRAWER,109737,0,0
DRESS (OBJECT),109691,0,0
DRINK,109609,1,1
DRINK (ACTION),109916,1,0
DRIVE,109918,0,0
DROP,109920,1,1
DRY (DESCRIPTION),109628,0,0
DUCK,109919,1,1
DUMMY,109810,0,0
EAR,109649,1,1
EAT,109922,1,1
EGG,109611,0,0
ELEPHANT,109921,1,0
EMPTY,109630,0,0
EYE,109651,1,1
FACE,109653,1,1
FALL,109924,1,1
FAST,109632,0,0
FEED,109926,0,0
FIND,109928,1,1
FINE,109634,0,0
FINGER,109655,1,0
FINISH,109930,0,0
FIRE ENGINE,109561,1,1
FISH,109923,1,1
FISH (FOOD),109613,1,1
FLOWER,109773,0,0
FOOD,109615,1,0
FOOT,109657,1,0
FORK,109811,1,1
FRIDGE,109751,0,0
FRIEND,109845,0,0
FROG,109925,0,0
GARAGE,109739,0,0
GARDEN,109775,0,0
GENTLE,109636,0,0
GET,109932,1,1
GIRAFFE,109927,0,0
GIRL,109849,0,0
GIVE,109934,1,1
GLASS,109812,0,0
GLASSES,109693,0,0
GO,109518,1,1
GOOD,109638,0,0
GOODNIGHT,109868,1,1
GOOSE,109929,0,0
GRANDMA,109850,0,0
GRANDPA,109851,0,0
GREEN,109640,0,0
GRR,109877,1,1
HAIR,109663,1,1
HAMMER,109813,0,0
HAND,109665,1,1
HAPPY,109642,0,0
HARD,109644,0,0
HAT,109695,1,1
HAVE,109520,0,0
HEAD,109667,1,1
HEAR,109522,0,0
HELLO,109864,1,1
HELP,109524,0,0
HER,109712,0,0
HI,109865,1,0
HIGH CHAIR,109741,0,0
HIS,109714,0,0
HIT,109526,1,1
HOOVER,109814,1,0
HORSE,109931,0,0
HOT,109646,1,1
HOUSE,109777,0,0
HOW,109684,0,0
HUG,109528,1,0
HUNGRY,109648,0,0
HURRY,109530,0,0
HURT,109650,0,0
I,109716,0,0
ICE CREAM,109617,1,0
IN,109740,0,0
INSIDE,109742,0,0
IT,109718,0,0
JACKET,109697,1,0
JAM,109619,1,1
JEANS,109699,1,0
JUG,109815,1,0
JUICE,109621,1,1
JUMP,109532,1,1
JUMPER,109701,0,0
KEY,109816,1,1
KICK,109534,1,1
KISS,109536,1,1
KITCHEN,109743,1,0
KITTEN,109933,0,0
KNEE,109669,0,0
KNOW,109538,0,0
LADY,109852,0,0
LAMB,109517,0,0
LAMP,109817,0,0
LATER,109698,0,0
LEG,109671,1,1
LIGHT (OBJECT),109818,1,1
LIKE,109540,1,1
LION,109519,1,0
LITTLE (DESCRIPTION),109652,0,0
LIVING ROOM,109745,1,0
LOOK,109542,1,1
LORRY,109553,1,0
LOVE,109544,1,1
LUNCH,109866,0,0
MAKE,109546,0,0
MAN,109853,0,0
ME,109720,0,0
MEAT,109623,0,0
MEDICINE,109819,0,0
MEOW,109879,1,1
MILK,109625,1,0
MINE,109722,1,1
MONEY,109820,1,0
MONKEY,109521,1,0
MOO,109881,1,1
MOON,109778,0,0
MORE,109762,1,1
MORNING,109700,0,0
MOTORCYCLE,109555,0,0
MOUSE,109523,0,0
MOUTH,109681,1,1
MUG,109821,0,0
MUMMY,109854,1,1
MY,109724,0,0
NAIL (BODY PART),109673,0,0
NAP,109867,1,0
NAPPY,109703,1,1
NASTY,109654,0,0
NAUGHTY,109656,0,0
NECKLACE,109705,0,0
NICE,109658,0,0
NIGHT,109702,1,1
NO,109869,1,0
NONE,109764,0,0
NOSE,109675,1,1
NOT,109766,0,0
NOW,109704,0,0
OFF,109744,1,1
OLD,109660,0,0
ON,109746,0,0
OPEN,109548,1,1
ORANGE (FOOD),109627,1,0
OTHER,109768,0,0
OUCH,109883,1,1
OUT,109748,1,1
OUTSIDE,109786,1,0
OWL,109525,0,0
PAPER,109822,0,0
PARK,109787,1,1
PARTY,109788,1,1
PASTA,109629,1,0
PATTYCAKE,109870,0,0
PEAS,109631,1,1
PEEKABOO,109872,1,1
PEN,109579,1,1
PENGUIN,109527,0,0
PENNY,109823,1,0
PEOPLE,109856,0,0
PERSON,109846,0,0
PHONE,109834,1,1
PICTURE,109824,1,0
PIG,109529,0,0
PILLOW,109825,1,0
PIZZA,109633,0,0
PLANT,109826,0,0
PLATE,109827,1,1
PLAY,109550,1,1
PLAY PEN,109747,0,0
PLEASE,109874,1,1
POLICE,109847,0,0
PONY,109531,0,0
POOL,109789,0,0
POTTY,109749,1,0
PRETTY,109662,0,0
PULL,109552,1,0
PUPPY,109533,1,0
PURSE,109828,0,0
PUSH,109554,1,1
PUSHCHAIR,109563,1,1
PUT,109556,0,0
PYJAMAS,109707,1,0
QUACK,109885,1,1
RABBIT,109903,0,0
RADIO,109829,0,0
RAIN,109790,0,0
READ,109558,1,1
RED,109664,0,0
RIDE,109560,0,0
ROCKING CHAIR,109753,0,0
RUBBISH,109830,1,0
RUN,109562,1,1
SAD,109666,0,0
SAME,109770,0,0
SAY,109564,0,0
SCARED,109668,0,0
SCHOOL,109791,1,0
SCISSORS,109831,0,0
SCRATCH,109566,0,0
SEE,109568,0,0
SHEEP,109535,1,0
SHH,109876,1,1
SHIRT,109709,0,0
SHOES,109711,1,1
SHOP,109792,1,0
SHORTS,109713,0,0
SHOW,109570,0,0
SICK,109670,0,0
SING,109574,1,1
SINK,109757,1,0
SISTER,109848,0,0
SKY,109779,1,0
SLEEP,109576,0,0
SLEEPY,109672,0,0
SLIDE (OBJECT),109780,1,0
SMELL,109776,0,0
SMILE,109578,1,1
SNOW,109781,0,0
SOAP,109832,1,0
SOCK,109715,1,1
SOFA,109755,1,0
SOFT,109674,0,0
SOME,109772,0,0
SPADE,109782,0,0
SPIDER,109537,1,1
SPLASH,109580,1,1
SPOON,109833,1,1
SQUIRREL,109539,0,0
STAIRS,109759,1,0
STAR,109783,1,1
STONE,109784,0,0
STOP,109582,1,1
SUN,109785,0,0
SWEETS,109635,1,1
SWIM,109584,0,0
