word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,47273,0,0
AGAIN,47484,0,0
ALL,47482,0,0
ALL GONE,47332,1,0
ANIMAL,47621,0,0
ANOTHER,47486,0,0
APPLE,47311,1,0
ARM,47369,0,0
ASLEEP,47334,0,0
AUNT,47564,0,0
AWAY,47460,0,0
BAA BAA,47597,0,0
BABY,47565,1,0
BABYSITTER,47581,1,1
BACK (PLACE),47462,0,0
BAD,47336,0,0
BALL,47293,1,1
BALLOON,47295,1,0
BANANA,47313,1,1
BASKET,47525,1,0
BATH,47585,1,0
BATH (FURNITURE),47447,1,0
BATHROOM,47449,1,0
BEACH,47493,0,0
BEAR,47623,0,0
BED,47451,1,0
BEDROOM,47453,1,0
BEE,47625,0,0
BELLY BUTTON,47371,0,0
BIB,47409,0,0
BICYCLE,47275,0,0
BIG,47338,0,0
BIRD,47627,1,0
BISCUIT,47315,1,0
BITE,47614,0,0
BLANKET,47526,1,0
BLOCK,47297,0,0
BLOW,47616,1,0
BLUE,47340,0,0
BOAT,47277,1,0
BOOK,47299,1,1
BOOTS,47411,1,0
BOTTLE,47527,1,0
BOWL,47528,1,0
BOX,47529,0,0
BOY,47566,0,0
BREAD,47317,1,0
BREAK,47618,0,0
BREAKFAST,47586,1,0
BRING,47620,1,0
BROKEN,47342,0,0
BROOM,47530,0,0
BROTHER,47567,0,0
BRUSH (OBJECT),47531,0,0
BUBBLES,47301,1,0
BUCKET,47495,0,0
BUMP,47622,0,0
BUS,47283,1,0
BUTTER,47319,0,0
BUTTERFLY,47631,1,0
BUTTON,47413,0,0
BYE BYE,47587,0,0
CAKE,47321,1,0
CALL,47624,0,0
CAR,47285,1,0
CAREFUL,47344,1,0
CARROTS,47323,1,0
CARRY,47626,0,0
CAT,47633,1,0
CATCH,47628,0,0
CEREAL,47325,0,0
CHAIR,47455,1,0
CHASE,47500,0,0
CHEEK,47373,0,0
CHEESE,47327,1,0
CHICKEN,47329,0,0
CHICKEN (ANIMAL),47635,1,0
CHILD,47568,0,0
CHIPS,47331,0,0
CHOO CHOO,47599,0,0
CHURCH,47497,1,0
CLEAN,47346,0,0
CLEAN (ACTION),47630,0,0
CLOCK,47532,0,0
CLOSE,47298,1,0
COAT,47415,1,0
COCKADOODLEDOO,47601,0,0
COFFEE,47333,0,0
COLD,47348,0,0
COMB (OBJECT),47533,0,0
COOKER,47457,1,0
COT,47459,0,0
COW,47637,1,0
CRY,47632,0,0
CUDDLE,47634,0,0
CUP,47534,1,0
CUT,47636,0,0
DADDY,47569,1,1
DANCE,47638,1,0
DARK,47350,0,0
DAY,47422,0,0
DEER,47639,0,0
DINNER,47588,0,0
DIRTY,47352,0,0
DISH,47535,0,0
DOCTOR,47570,0,0
DOG,47641,1,0
DOLL,47303,1,0
DON'T,47589,0,0
DONKEY,47643,0,0
DOOR,47461,1,0
DOWN,47464,0,0
DRAW,47640,0,0
DRAWER,47463,0,0
DRESS (OBJECT),47417,1,0
DRINK,47335,1,0
DRINK (ACTION),47642,1,0
DRIVE,47644,0,0
DROP,47646,1,0
DRY (DESCRIPTION),47354,0,0
DUCK,47645,1,0
DUMMY,47536,0,0
EAR,47375,1,0
EAT,47648,1,0
EGG,47337,1,0
ELEPHANT,47647,0,0
EMPTY,47356,0,0
EYE,47377,1,0
FACE,47379,1,0
FALL,47650,0,0
FAST,47358,0,0
FEED,47652,0,0
FIND,47236,0,0
FINE,47360,0,0
FINGER,47381,1,0
FINISH,47238,0,0
FIRE ENGINE,47287,0,0
FISH,47649,1,1
FISH (FOOD),47339,1,0
FLOWER,47499,1,0
FOOD,47341,1,0
FOOT,47383,1,0
FORK,47537,0,0
FRIDGE,47477,0,0
FRIEND,47571,0,0
FROG,47651,0,0
GARAGE,47465,0,0
GARDEN,47501,1,0
GENTLE,47362,1,0
GET,47240,0,0
GIRAFFE,47235,0,0
GIRL,47575,0,0
GIVE,47242,1,0
GLASS,47538,0,0
GLASSES,47419,0,0
GO,47244,1,0
GOOD,47364,0,0
GOODNIGHT,47594,0,0
GOOSE,47237,0,0
GRANDMA,47576,0,0
GRANDPA,47577,0,0
GREEN,47366,0,0
GRR,47603,0,0
HAIR,47389,1,0
HAMMER,47539,0,0
HAND,47391,1,0
HAPPY,47368,0,0
HARD,47370,0,0
HAT,47421,1,0
HAVE,47246,0,0
HEAD,47393,1,0
HEAR,47248,0,0
HELLO,47590,1,0
HELP,47250,0,0
HER,47438,0,0
HI,47591,0,0
HIGH CHAIR,47467,1,0
HIS,47440,0,0
HIT,47252,0,0
HOOVER,47540,1,0
HORSE,47239,1,0
HOT,47372,0,0
HOUSE,47503,1,0
HOW,47410,0,0
HUG,47254,0,0
HUNGRY,47374,0,0
HURRY,47256,0,0
HURT,47376,0,0
I,47442,0,0
ICE CREAM,47343,1,0
IN,47466,0,0
INSIDE,47468,0,0
IT,47444,0,0
JACKET,47423,0,0
JAM,47345,0,0
JEANS,47425,0,0
JUG,47541,0,0
JUICE,47347,1,1
JUMP,47258,0,0
JUMPER,47427,0,0
KEY,47542,1,0
KICK,47260,1,0
KISS,47262,1,0
KITCHEN,47469,1,0
KITTEN,47241,0,0
KNEE,47395,0,0
KNOW,47264,0,0
LADY,47578,0,0
LAMB,47243,0,0
LAMP,47543,0,0
LATER,47424,0,0
LEG,47397,0,0
LIGHT (OBJECT),47544,1,0
LIKE,47266,0,0
LION,47245,0,0
LITTLE (DESCRIPTION),47378,0,0
LIVING ROOM,47471,1,0
LOOK,47268,1,0
LORRY,47279,0,0
LOVE,47270,0,0
LUNCH,47592,0,0
MAKE,47272,0,0
MAN,47579,0,0
ME,47446,0,0
MEAT,47349,0,0
MEDICINE,47545,0,0
MEOW,47605,0,0
MILK,47351,1,1
MINE,47448,0,0
MONEY,47546,0,0
MONKEY,47247,0,0
MOO,47607,0,0
MOON,47504,0,0
MORE,47488,0,0
MORNING,47426,0,0
MOTORCYCLE,47281,0,0
MOUSE,47249,0,0
MOUTH,47407,1,0
MUG,47547,0,0
MUMMY,47580,1,1
MY,47450,0,0
NAIL (BODY PART),47399,0,0
NAP,47593,0,0
NAPPY,47429,1,0
