word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,88357,1,1
AGAIN,88568,1,1
ALL,88566,1,1
ALL GONE,88416,1,0
ANIMAL,88287,1,0
ANOTHER,88570,1,0
APPLE,88395,1,1
ARM,88453,1,1
ASLEEP,88418,1,1
AUNT,88230,1,0
AWAY,88544,1,1
BAA BAA,88263,1,1
BABY,88231,1,1
BABYSITTER,88247,1,1
BACK (PLACE),88546,1,1
BAD,88420,1,1
BALL,88377,1,1
BALLOON,88379,1,1
BANANA,88397,1,1
BASKET,88609,1,1
BATH,88251,1,1
BATH (FURNITURE),88531,1,1
BATHROOM,88533,1,1
BEACH,88577,1,0
BEAR,88289,1,1
BED,88535,1,1
BEDROOM,88537,1,1
BEE,88291,1,1
BELLY BUTTON,88455,1,0
BIB,88493,1,1
BICYCLE,88359,1,1
BIG,88422,1,0
BIRD,88293,1,1
BISCUIT,88399,1,1
BITE,88280,1,0
BLANKET,88610,1,1
BLOCK,88381,1,1
BLOW,88282,1,1
BLUE,88424,1,1
BOAT,88361,1,1
BOOK,88383,1,1
BOOTS,88495,1,1
BOTTLE,88611,1,1
BOWL,88612,1,1
BOX,88613,1,1
BOY,88232,1,0
BREAD,88401,1,1
BREAK,88284,1,0
BREAKFAST,88252,1,0
BRING,88286,1,0
BROKEN,88426,1,0
BROOM,88614,0,0
BROTHER,88233,0,0
BRUSH (OBJECT),88615,1,0
BUBBLES,88385,1,1
BUCKET,88579,1,1
BUMP,88288,1,1
BUS,88367,1,1
BUTTER,88403,1,1
BUTTERFLY,88297,1,1
BUTTON,88497,1,1
BYE BYE,88253,1,1
CAKE,88405,1,1
CALL,88290,1,0
CAR,88369,1,1
CAREFUL,88428,1,0
CARROTS,88407,1,1
CARRY,88292,1,0
CAT,88299,1,1
CATCH,88294,1,0
CEREAL,88409,1,1
CHAIR,88539,1,1
CHASE,88584,1,0
CHEEK,88457,1,1
CHEESE,88411,1,1
CHICKEN,88413,1,1
CHICKEN (ANIMAL),88301,1,0
CHILD,88234,0,0
CHIPS,88415,1,1
CHOO CHOO,88265,1,0
CHURCH,88581,1,0
CLEAN,88430,1,1
CLEAN (ACTION),88296,1,1
CLOCK,88616,1,1
CLOSE,88382,1,1
COAT,88499,1,1
COCKADOODLEDOO,88267,1,0
COFFEE,88417,1,1
COLD,88432,1,1
COMB (OBJECT),88199,1,0
COOKER,88541,1,1
COT,88543,1,1
COW,88303,1,1
CRY,88298,1,0
CUDDLE,88300,1,0
CUP,88200,1,1
CUT,88302,1,1
DADDY,88235,1,1
DANCE,88304,1,0
DARK,88434,1,1
DAY,88506,0,0
DEER,88305,1,1
DINNER,88254,1,0
DIRTY,88436,1,1
DISH,88201,1,0
DOCTOR,88236,1,1
DOG,88307,1,1
DOLL,88387,1,1
DON'T,88255,1,0
DONKEY,88309,1,0
DOOR,88545,1,1
DOWN,88548,1,1
DRAW,88306,1,1
DRAWER,88547,1,0
DRESS (OBJECT),88501,1,1
DRINK,88419,1,1
DRINK (ACTION),88308,1,1
DRIVE,88310,1,1
DROP,88312,1,1
DRY (DESCRIPTION),88438,1,1
DUCK,88311,1,1
DUMMY,88202,0,0
EAR,88459,1,1
EAT,88314,1,1
EGG,88421,1,1
ELEPHANT,88313,1,1
EMPTY,88440,1,1
EYE,88461,1,1
FACE,88463,1,1
FALL,88316,1,0
FAST,88442,1,0
FEED,88318,1,0
FIND,88320,1,0
FINE,88444,0,0
FINGER,88465,1,1
FINISH,88322,1,1
FIRE ENGINE,88371,1,0
FISH,88315,1,1
FISH (FOOD),88423,1,1
FLOWER,88583,1,1
FOOD,88425,1,0
FOOT,88467,1,1
FORK,88203,1,1
FRIDGE,88561,1,1
FRIEND,88237,0,0
FROG,88317,1,0
GARAGE,88549,1,0
GARDEN,88585,1,0
GENTLE,88446,1,0
GET,88324,1,0
GIRAFFE,88319,1,1
GIRL,88241,1,0
GIVE,88326,1,0
GLASS,88204,1,0
GLASSES,88503,1,1
GO,88328,1,1
GOOD,88448,1,0
GOODNIGHT,88260,1,1
GOOSE,88321,0,0
GRANDMA,88242,1,1
GRANDPA,88243,1,1
GREEN,88450,1,1
GRR,88269,0,0
HAIR,88473,1,1
HAMMER,88205,1,1
HAND,88475,1,1
HAPPY,88452,1,0
HARD,88454,1,1
HAT,88505,1,1
HAVE,88330,1,0
HEAD,88477,1,1
HEAR,88332,1,0
HELLO,88256,1,1
HELP,88334,1,1
HER,88522,0,0
HI,88257,0,0
HIGH CHAIR,88551,1,1
HIS,88524,0,0
HIT,88336,1,0
HOOVER,88206,1,1
HORSE,88323,1,1
HOT,88456,1,1
HOUSE,88587,1,1
HOW,88494,0,0
HUG,88338,1,0
HUNGRY,88458,1,0
HURRY,88340,1,0
HURT,88460,1,0
I,88526,1,0
ICE CREAM,88427,1,0
IN,88550,1,0
INSIDE,88552,1,0
IT,88528,1,0
JACKET,88507,0,0
JAM,88429,1,1
JEANS,88509,1,1
JUG,88207,1,0
JUICE,88431,1,1
JUMP,88342,1,0
JUMPER,88511,1,1
KEY,88208,1,1
KICK,88344,1,0
KISS,88346,1,1
KITCHEN,88553,1,1
KITTEN,88325,0,0
KNEE,88479,1,1
KNOW,88348,0,0
LADY,88244,1,1
LAMB,88327,1,1
LAMP,88209,1,0
LATER,88508,0,0
LEG,88481,1,1
LIGHT (OBJECT),88210,1,1
LIKE,88350,1,1
LION,88329,1,1
LITTLE (DESCRIPTION),88462,1,1
LIVING ROOM,88555,1,0
LOOK,88352,1,0
LORRY,88363,1,1
LOVE,88354,1,0
LUNCH,88258,1,0
MAKE,88356,1,0
MAN,88245,1,1
ME,88530,1,0
MEAT,88433,1,0
MEDICINE,88211,1,1
MEOW,88271,1,0
MILK,88435,1,1
MINE,88532,1,1
MONEY,88212,1,1
MONKEY,88331,1,1
MOO,88273,1,1
MOON,88588,1,1
MORE,88572,1,1
MORNING,88510,1,1
MOTORCYCLE,88365,1,1
MOUSE,88333,1,1
MOUTH,88491,1,1
MUG,88213,0,0
MUMMY,88246,1,1
MY,88534,0,0
NAIL (BODY PART),88483,1,1
NAP,88259,1,0
NAPPY,88513,1,1
NASTY,88464,0,0
NAUGHTY,88466,1,0
NECKLACE,88515,1,1
NICE,88468,1,1
NIGHT,88512,1,0
NO,88261,1,1
NONE,88574,0,0
NOSE,88485,1,1
NOT,88576,1,0
NOW,88514,1,0
OFF,88554,1,1
OLD,88470,1,1
ON,88556,1,1
OPEN,88358,1,1
ORANGE (FOOD),88437,1,1
OTHER,88578,0,0
OUCH,88275,1,1
OUT,88558,1,1
OUTSIDE,88596,1,1
OWL,88335,1,1
PAPER,88214,1,1
PARK,88597,1,1
PARTY,88598,0,0
PASTA,88439,1,1
PATTYCAKE,88262,0,0
PEAS,88441,1,1
PEEKABOO,88264,1,0
PEN,88389,1,1
PENGUIN,88337,1,0
PENNY,88215,0,0
PEOPLE,88248,1,0
PERSON,88238,1,0
PHONE,88226,1,0
PICTURE,88216,1,0
PIG,88339,1,1
PILLOW,88217,1,0
PIZZA,88443,1,1
PLANT,88218,1,0
PLATE,88219,1,1
PLAY,88360,1,1
PLAY PEN,88557,0,0
PLEASE,88266,1,1
POLICE,88239,1,0
PONY,88341,1,0
POOL,88599,1,0
POTTY,88559,1,1
PRETTY,88472,1,0
PULL,88362,1,0
PUPPY,88343,1,0
PURSE,88220,1,0
PUSH,88364,1,1
PUSHCHAIR,88373,1,1
PUT,88366,1,0
PYJAMAS,88517,1,1
QUACK,88277,1,0
RABBIT,88295,1,1
RADIO,88221,1,1
RAIN,88600,1,1
READ,88368,1,1
RED,88474,1,1
RIDE,88370,1,1
ROCKING CHAIR,88563,1,1
RUBBISH,88222,1,0
RUN,88372,1,1
SAD,88476,0,0
SAME,88580,1,0
SAY,88374,1,0
SCARED,88478,0,0
SCHOOL,88601,1,0
SCISSORS,88223,1,0
SCRATCH,88376,1,0
SEE,88378,1,0
SHEEP,88345,1,1
SHH,88268,1,0
SHIRT,88519,1,1
SHOES,88521,1,1
SHOP,88602,1,1
SHORTS,88523,1,1
SHOW,88380,1,0
SICK,88480,0,0
SING,88384,1,0
SINK,88567,1,0
SISTER,88240,0,0
SKY,88589,1,0
SLEEP,88386,1,1
SLEEPY,88482,1,0
SLIDE (OBJECT),88590,1,1
SMELL,88586,1,0
SMILE,88388,1,0
SNOW,88591,1,0
SOAP,88224,1,1
SOCK,88525,1,1
SOFA,88565,0,0
SOFT,88484,1,0
SOME,88582,0,0
SPADE,88592,1,0
SPIDER,88347,1,0
SPLASH,88390,1,1
SPOON,88225,1,1
SQUIRREL,88349,0,0
STAIRS,88569,1,1
STAR,88593,1,1
STONE,88594,1,1
STOP,88392,1,0
SUN,88595,1,1
SWEETS,88445,0,0
SWIM,88394,1,1
SWING (ACTION),88396,1,1
SWING (OBJECT),88603,1,1
TABLE,88571,1,1
TAKE,88398,1,0
TEA,88270,1,1
TEA (DRINK),88447,1,1
TEACHER,88249,1,0
TEDDY,88391,1,1
TELL,88400,0,0
THANK YOU,88272,1,1
THAT,88536,1,0
THERE,88560,1,0
THIRSTY,88486,1,0
THIS,88538,0,0
THROW,88402,1,0
TICKLE,88404,1,0
TIGER,88351,1,0
TIRED,88488,1,0
TOAST,88449,1,1
TODAY,88516,1,0
TOE,88487,1,1
TOMORROW,88518,1,0
TONGUE,88469,1,1
TONIGHT,88520,0,0
TOOTH,88471,1,1
TOOTHBRUSH,88227,1,1
TOWEL,88228,1,1
TOY (OBJECT),88393,1,1
TRAIN,88375,1,1
TREE,88604,1,1
TROUSERS,88527,1,1
TUMMY,88489,1,1
TURKEY,88353,0,0
TURTLE,88355,1,1
TV,88573,1,0
UHOH,88279,1,1
UNCLE,88250,1,0
UNDER,88562,1,0
UP,88564,1,1
VROOM,88281,1,1
WAIT,88274,1,1
WALK,88406,1,1
WALL,88605,1,1
WANT TO,88276,0,0
WASH,88408,1,1
WATCH (ACTION),88410,1,0
WATCH (OBJECT),88229,1,1
WATER,88451,1,1
WATER (OUTSIDE),88606,1,1
WET,88490,1,1
WHAT,88496,1,0
WHEN,88498,0,0
WHERE,88500,1,0
WHO,88502,0,0
WHY,88504,0,0
WINDOW,88575,1,1
WIPE,88412,1,1
WOOF,88283,1,1
WORK (PLACE),88607,1,1
WRITE,88414,1,1
YELLOW,88492,1,1
YES,88278,1,0
YOU,88540,1,0
YOUR,88542,1,0
YUM,88285,1,1
ZIP,88529,1,1
ZOO,88608,1,0
