word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,32013,0,0
AGAIN,31806,0,0
ALL,31804,0,0
ALL GONE,32072,1,0
ANIMAL,31943,0,0
ANOTHER,31808,0,0
APPLE,32051,1,0
ARM,32109,0,0
ASLEEP,32074,0,0
AUNT,31886,0,0
AWAY,31782,0,0
BAA BAA,31919,1,1
BABY,31887,1,0
BABYSITTER,31903,1,0
BACK (PLACE),31784,0,0
BAD,32076,0,0
BALL,32033,0,0
BALLOON,32035,0,0
BANANA,32053,1,0
BASKET,31847,1,0
BATH,31907,0,0
BATH (FURNITURE),31769,1,0
BATHROOM,31771,0,0
BEACH,31815,0,0
BEAR,31945,0,0
BED,31773,0,0
BEDROOM,31775,0,0
BEE,31947,0,0
BELLY BUTTON,32111,0,0
BIB,32149,0,0
BICYCLE,32015,0,0
BIG,32078,0,0
BIRD,31949,0,0
BISCUIT,32055,1,0
BITE,31936,0,0
BLANKET,31848,0,0
BLOCK,32037,0,0
BLOW,31938,0,0
BLUE,32080,0,0
BOAT,32017,0,0
BOOK,32039,1,0
BOOTS,32151,0,0
BOTTLE,31849,0,0
BOWL,31850,0,0
BOX,31851,0,0
BOY,31888,0,0
BREAD,32057,0,0
BREAK,31940,0,0
BREAKFAST,31908,0,0
BRING,31942,0,0
BROKEN,32082,0,0
BROOM,31852,0,0
BROTHER,31889,0,0
BRUSH (OBJECT),31853,0,0
BUBBLES,32041,0,0
BUCKET,31817,0,0
BUMP,31944,0,0
BUS,32023,1,0
BUTTER,32059,0,0
BUTTERFLY,31953,0,0
BUTTON,32153,0,0
BYE BYE,31909,1,1
CAKE,32061,0,0
CALL,31946,0,0
CAR,32025,0,0
CAREFUL,32084,0,0
CARROTS,32063,0,0
CARRY,31948,0,0
CAT,31955,0,0
CATCH,31950,0,0
CEREAL,32065,1,0
CHAIR,31777,0,0
CHASE,31822,0,0
CHEEK,32113,0,0
CHEESE,32067,1,0
CHICKEN,32069,0,0
CHICKEN (ANIMAL),31957,0,0
CHILD,31890,0,0
CHIPS,32071,0,0
CHOO CHOO,31921,0,0
CHURCH,31819,0,0
CLEAN,32086,0,0
CLEAN (ACTION),31952,0,0
CLOCK,31854,0,0
CLOSE,32038,1,0
COAT,32155,1,0
COCKADOODLEDOO,31923,0,0
COFFEE,32073,0,0
COLD,32088,0,0
COMB (OBJECT),31855,0,0
COOKER,31779,1,0
COT,31781,1,0
COW,31959,0,0
CRY,31954,0,0
CUDDLE,31956,1,0
CUP,31856,1,0
CUT,31958,0,0
DADDY,31891,1,1
DANCE,31960,0,0
DARK,32090,0,0
DAY,32162,0,0
DEER,31961,0,0
DINNER,31910,0,0
DIRTY,32092,0,0
DISH,31857,0,0
DOCTOR,31892,0,0
DOG,31963,1,0
DOLL,32043,0,0
DON'T,31911,0,0
DONKEY,31965,0,0
DOOR,31783,0,0
DOWN,31786,0,0
DRAW,31962,0,0
DRAWER,31785,0,0
DRESS (OBJECT),32157,0,0
DRINK,32075,0,0
DRINK (ACTION),31964,0,0
DRIVE,31966,0,0
DROP,31968,0,0
DRY (DESCRIPTION),32094,0,0
DUCK,31967,0,0
DUMMY,31858,0,0
EAR,32115,0,0
EAT,31970,0,0
EGG,32077,0,0
ELEPHANT,31969,0,0
EMPTY,32096,0,0
EYE,32117,0,0
FACE,32119,0,0
FALL,31972,0,0
FAST,32098,0,0
FEED,31974,0,0
FIND,31976,0,0
FINE,32100,0,0
FINGER,32121,0,0
FINISH,31978,0,0
FIRE ENGINE,32027,0,0
FISH,31971,0,0
FISH (FOOD),32079,0,0
FLOWER,31821,0,0
FOOD,32081,0,0
FOOT,32123,0,0
FORK,31859,1,0
FRIDGE,31799,0,0
FRIEND,31893,0,0
FROG,31973,0,0
GARAGE,31787,0,0
GARDEN,31823,0,0
GENTLE,32102,0,0
GET,31980,0,0
GIRAFFE,31975,0,0
GIRL,31897,0,0
GIVE,31982,0,0
GLASS,31860,0,0
GLASSES,32159,1,0
GO,31984,0,0
GOOD,32104,0,0
GOODNIGHT,31916,1,0
GOOSE,31977,0,0
GRANDMA,31898,0,0
GRANDPA,31899,1,0
GREEN,32106,0,0
GRR,31925,0,0
HAIR,32129,1,0
HAMMER,31861,0,0
HAND,32131,0,0
HAPPY,32108,0,0
HARD,32110,0,0
HAT,32161,0,0
HAVE,31986,0,0
HEAD,32133,0,0
HEAR,31988,0,0
HELLO,31912,0,0
HELP,31990,0,0
HER,32178,0,0
HI,31913,1,0
HIGH CHAIR,31789,1,0
HIS,32180,0,0
HIT,31992,0,0
HOOVER,31862,0,0
HORSE,31979,0,0
HOT,32112,0,0
HOUSE,31825,0,0
HOW,32150,0,0
HUG,31994,0,0
HUNGRY,32114,1,0
HURRY,31996,0,0
HURT,32116,0,0
I,32182,0,0
ICE CREAM,32083,0,0
IN,31788,0,0
INSIDE,31790,0,0
IT,32184,0,0
JACKET,32163,1,0
JAM,32085,0,0
JEANS,32165,0,0
JUG,31863,0,0
JUICE,32087,0,0
JUMP,31998,0,0
JUMPER,32167,0,0
KEY,31864,0,0
KICK,32000,0,0
KISS,32002,1,0
KITCHEN,31791,0,0
KITTEN,31981,0,0
KNEE,32135,0,0
KNOW,32004,0,0
LADY,31900,0,0
LAMB,31983,0,0
LAMP,31865,0,0
LATER,32164,0,0
LEG,32137,0,0
LIGHT (OBJECT),31866,0,0
LIKE,32006,0,0
LION,31985,0,0
LITTLE (DESCRIPTION),32118,0,0
LIVING ROOM,31793,0,0
LOOK,32008,0,0
LORRY,32019,0,0
LOVE,32010,0,0
LUNCH,31914,0,0
MAKE,32012,0,0
MAN,31901,0,0
ME,32186,1,0
MEAT,32089,0,0
MEDICINE,31867,0,0
MEOW,31927,0,0
MILK,32091,1,0
MINE,31770,1,0
MONEY,31868,0,0
MONKEY,31987,1,0
MOO,31929,0,0
MOON,31826,0,0
MORE,31810,0,0
MORNING,32166,0,0
MOTORCYCLE,32021,0,0
MOUSE,31989,0,0
MOUTH,32147,0,0
MUG,31869,0,0
MUMMY,31902,1,0
MY,31772,1,0
NAIL (BODY PART),32139,0,0
NAP,31915,1,0
NAPPY,32169,1,0
NASTY,32120,0,0
NAUGHTY,32122,1,0
NECKLACE,32171,0,0
NICE,32124,0,0
NIGHT,32168,1,0
NO,31917,1,0
NONE,31812,0,0
NOSE,32141,0,0
NOT,31814,0,0
NOW,32170,0,0
OFF,31792,0,0
OLD,32126,0,0
ON,31794,0,0
OPEN,32014,1,0
ORANGE (FOOD),32093,0,0
OTHER,31816,0,0
OUCH,31931,0,0
OUT,31796,0,0
OUTSIDE,31834,0,0
OWL,31991,0,0
PAPER,31870,0,0
PARK,31835,1,0
PARTY,31836,0,0
PASTA,32095,0,0
PATTYCAKE,31918,0,0
PEAS,32097,0,0
PEEKABOO,31920,1,0
PEN,32045,0,0
PENGUIN,31993,0,0
PENNY,31871,0,0
PEOPLE,31904,0,0
PERSON,31894,0,0
PHONE,31882,0,0
PICTURE,31872,0,0
PIG,31995,0,0
PILLOW,31873,0,0
PIZZA,32099,0,0
PLANT,31874,0,0
PLATE,31875,0,0
PLAY,32016,1,0
PLAY PEN,31795,0,0
PLEASE,31922,0,0
POLICE,31895,0,0
PONY,31997,0,0
POOL,31837,0,0
POTTY,31797,0,0
PRETTY,32128,0,0
PULL,32018,0,0
PUPPY,31999,0,0
PURSE,31876,0,0
PUSH,32020,0,0
PUSHCHAIR,32029,1,0
PUT,32022,0,0
PYJAMAS,32173,1,0
QUACK,31933,0,0
RABBIT,31951,0,0
RADIO,31877,0,0
RAIN,31838,0,0
READ,32024,0,0
RED,32130,0,0
RIDE,32026,0,0
ROCKING CHAIR,31801,0,0
RUBBISH,31878,0,0
RUN,32028,0,0
SAD,32132,0,0
SAME,31818,0,0
SAY,32030,0,0
SCARED,32134,0,0
SCHOOL,31839,0,0
SCISSORS,31879,0,0
SCRATCH,32032,0,0
SEE,32034,0,0
