word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,93491,1,1
AGAIN,93284,1,1
ALL,93282,1,1
ALL GONE,93550,1,1
ANIMAL,93421,1,1
ANOTHER,93286,1,1
APPLE,93529,1,1
ARM,93587,1,1
ASLEEP,93552,1,1
AUNT,93364,1,1
AWAY,93260,1,1
BAA BAA,93397,1,1
BABY,93365,1,1
BABYSITTER,93381,1,1
BACK (PLACE),93262,1,1
BAD,93554,1,0
BALL,93511,1,1
BALLOON,93513,1,1
BANANA,93531,1,1
BASKET,93325,1,1
BATH,93385,1,1
BATH (FURNITURE),93247,1,1
BATHROOM,93249,1,1
BEACH,93293,1,1
BEAR,93423,1,1
BED,93251,1,1
BEDROOM,93253,1,1
BEE,93425,1,1
BELLY BUTTON,93589,0,0
BIB,93627,1,0
BICYCLE,93493,1,1
BIG,93556,1,1
BIRD,93427,1,1
BISCUIT,93533,1,1
BITE,93414,1,1
BLANKET,93326,1,1
BLOCK,93515,1,1
BLOW,93416,1,1
BLUE,93558,1,1
BOAT,93495,1,1
BOOK,93517,1,1
BOOTS,93629,1,0
BOTTLE,93327,1,1
BOWL,93328,1,1
BOX,93329,1,1
BOY,93366,1,1
BREAD,93535,1,1
BREAK,93418,1,1
BREAKFAST,93386,1,1
BRING,93420,1,1
BROKEN,93560,1,1
BROOM,93330,1,0
BROTHER,93367,0,0
BRUSH (OBJECT),93331,1,1
BUBBLES,93519,1,1
BUCKET,93295,1,1
BUMP,93422,1,1
BUS,93501,1,1
BUTTER,93537,1,1
BUTTERFLY,93431,1,1
BUTTON,93631,1,1
BYE BYE,93387,1,1
CAKE,93539,1,1
CALL,93424,0,0
CAR,93503,1,1
CAREFUL,93562,1,1
CARROTS,93541,1,1
CARRY,93426,1,1
CAT,93433,1,1
CATCH,93428,1,1
CEREAL,93543,1,0
CHAIR,93255,1,1
CHASE,93300,1,1
CHEEK,93591,1,1
CHEESE,93545,1,1
CHICKEN,93547,1,1
CHICKEN (ANIMAL),93435,1,1
CHILD,93368,0,0
CHIPS,93549,1,1
CHOO CHOO,93399,1,1
CHURCH,93297,1,1
CLEAN,93564,1,1
CLEAN (ACTION),93430,1,1
CLOCK,93332,1,1
CLOSE,93516,1,1
COAT,93215,1,1
COCKADOODLEDOO,93401,0,0
COFFEE,93551,0,0
COLD,93566,1,1
COMB (OBJECT),93333,1,0
COOKER,93257,1,1
COT,93259,1,1
COW,93437,1,1
CRY,93432,1,1
CUDDLE,93434,1,1
CUP,93334,1,1
CUT,93436,0,0
DADDY,93369,1,1
DANCE,93438,1,1
DARK,93568,1,1
DAY,93222,1,1
DEER,93439,1,1
DINNER,93388,1,1
DIRTY,93570,1,1
DISH,93335,1,1
DOCTOR,93370,1,1
DOG,93441,1,1
DOLL,93521,1,1
DON'T,93389,1,1
DONKEY,93443,1,0
DOOR,93261,1,1
DOWN,93264,1,1
DRAW,93440,1,1
DRAWER,93263,1,1
DRESS (OBJECT),93217,0,0
DRINK,93553,1,1
DRINK (ACTION),93442,1,1
DRIVE,93444,1,1
DROP,93446,1,1
DRY (DESCRIPTION),93572,1,1
DUCK,93445,1,1
DUMMY,93336,0,0
EAR,93593,1,1
EAT,93448,1,1
EGG,93555,1,1
ELEPHANT,93447,1,1
EMPTY,93574,1,1
EYE,93595,1,1
FACE,93597,1,1
FALL,93450,1,1
FAST,93576,1,1
FEED,93452,1,1
FIND,93454,1,1
FINE,93578,0,0
FINGER,93599,1,1
FINISH,93456,1,1
FIRE ENGINE,93505,1,1
FISH,93449,1,1
FISH (FOOD),93557,1,1
FLOWER,93299,1,1
FOOD,93559,1,1
FOOT,93601,1,1
FORK,93337,1,1
FRIDGE,93277,1,1
FRIEND,93371,1,1
FROG,93451,1,1
GARAGE,93265,1,1
GARDEN,93301,1,1
GENTLE,93580,1,1
GET,93458,1,1
GIRAFFE,93453,1,1
GIRL,93375,1,1
GIVE,93460,1,1
GLASS,93338,1,1
GLASSES,93219,1,1
GO,93462,1,1
GOOD,93582,1,1
GOODNIGHT,93394,1,1
GOOSE,93455,0,0
GRANDMA,93376,1,1
GRANDPA,93377,1,1
GREEN,93584,1,1
GRR,93403,1,1
HAIR,93607,1,1
HAMMER,93339,1,1
HAND,93609,1,1
HAPPY,93586,1,1
HARD,93588,0,0
HAT,93221,1,1
HAVE,93464,1,1
HEAD,93611,1,1
HEAR,93466,1,1
HELLO,93390,1,1
HELP,93468,1,1
HER,93238,1,0
HI,93391,1,1
HIGH CHAIR,93267,1,1
HIS,93240,1,0
HIT,93470,1,1
HOOVER,93340,1,1
HORSE,93457,1,1
HOT,93590,1,1
HOUSE,93303,1,1
HOW,93628,1,0
HUG,93472,1,1
HUNGRY,93592,1,1
HURRY,93474,1,1
HURT,93594,1,1
I,93242,1,1
ICE CREAM,93561,1,1
IN,93266,1,1
INSIDE,93268,1,1
IT,93244,0,0
JACKET,93223,1,1
JAM,93563,1,1
JEANS,93225,1,1
JUG,93341,1,0
JUICE,93565,1,1
JUMP,93476,1,1
JUMPER,93227,1,1
KEY,93342,1,1
KICK,93478,1,1
KISS,93480,1,1
KITCHEN,93269,1,1
KITTEN,93459,1,0
KNEE,93613,1,1
KNOW,93482,1,1
LADY,93378,1,1
LAMB,93461,1,0
LAMP,93343,1,1
LATER,93224,1,1
LEG,93615,1,1
LIGHT (OBJECT),93344,1,1
LIKE,93484,1,1
LION,93463,1,1
LITTLE (DESCRIPTION),93596,1,1
LIVING ROOM,93271,1,1
LOOK,93486,1,1
LORRY,93497,1,1
LOVE,93488,1,1
LUNCH,93392,1,1
MAKE,93490,1,1
MAN,93379,1,1
ME,93246,1,1
MEAT,93567,1,0
MEDICINE,93345,1,1
MEOW,93405,1,1
MILK,93569,1,1
MINE,93248,1,1
MONEY,93346,1,1
MONKEY,93465,1,1
MOO,93407,1,1
MOON,93304,1,1
MORE,93288,1,1
MORNING,93226,1,1
MOTORCYCLE,93499,1,1
MOUSE,93467,1,1
MOUTH,93625,1,1
MUG,93347,1,1
MUMMY,93380,1,1
MY,93250,1,1
NAIL (BODY PART),93617,1,1
NAP,93393,1,1
NAPPY,93229,1,1
NASTY,93598,0,0
NAUGHTY,93600,1,1
NECKLACE,93231,1,1
NICE,93602,1,1
NIGHT,93228,1,1
NO,93395,1,1
NONE,93290,1,0
NOSE,93619,1,1
NOT,93292,0,0
NOW,93230,1,1
OFF,93270,1,1
OLD,93604,1,0
ON,93272,1,1
OPEN,93492,1,1
ORANGE (FOOD),93571,1,1
OTHER,93294,1,1
OUCH,93409,1,1
OUT,93274,1,1
OUTSIDE,93312,1,1
OWL,93469,1,1
PAPER,93348,1,1
PARK,93313,1,1
PARTY,93314,1,1
PASTA,93573,1,1
PATTYCAKE,93396,1,1
PEAS,93575,1,1
PEEKABOO,93398,1,1
PEN,93523,1,1
PENGUIN,93471,1,1
PENNY,93349,1,1
PEOPLE,93382,1,1
PERSON,93372,1,0
PHONE,93360,1,1
PICTURE,93350,1,1
PIG,93473,1,1
PILLOW,93351,1,1
PIZZA,93577,1,1
PLANT,93352,1,0
PLATE,93353,1,1
PLAY,93494,1,1
PLAY PEN,93273,0,0
PLEASE,93400,1,1
POLICE,93373,1,1
PONY,93475,1,1
POOL,93315,1,1
POTTY,93275,1,1
PRETTY,93606,1,1
PULL,93496,1,1
PUPPY,93477,1,1
PURSE,93354,1,0
PUSH,93498,1,1
