word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,40257,1,0
AGAIN,40468,1,0
ALL,40466,0,0
ALL GONE,40316,1,0
ANIMAL,40187,0,0
ANOTHER,40470,0,0
APPLE,40295,1,1
ARM,40353,1,0
ASLEEP,40318,1,0
AUNT,40130,0,0
AWAY,40444,0,0
BAA BAA,40163,1,1
BABY,40131,1,1
BABYSITTER,40147,1,0
BACK (PLACE),40446,0,0
BAD,40320,0,0
BALL,40277,1,1
BALLOON,40279,1,1
BANANA,40297,1,1
BASKET,40509,0,0
BATH,40151,1,1
BATH (FURNITURE),40431,1,0
BATHROOM,40433,1,0
BEACH,40477,0,0
BEAR,40189,1,1
BED,40435,1,0
BEDROOM,40437,1,0
BEE,40191,1,0
BELLY BUTTON,40355,1,0
BIB,40393,1,0
BICYCLE,40259,0,0
BIG,40322,0,0
BIRD,40193,1,1
BISCUIT,40299,1,0
BITE,40180,0,0
BLANKET,40510,1,0
BLOCK,40281,1,0
BLOW,40182,0,0
BLUE,40324,0,0
BOAT,40261,0,0
BOOK,40283,1,1
BOOTS,40395,0,0
BOTTLE,40511,1,0
BOWL,40512,1,0
BOX,40513,0,0
BOY,40132,1,0
BREAD,40301,1,0
BREAK,40184,0,0
BREAKFAST,40152,1,0
BRING,40186,0,0
BROKEN,40326,0,0
BROOM,40514,1,0
BROTHER,40133,0,0
BRUSH (OBJECT),40515,1,0
BUBBLES,40285,1,1
BUCKET,40479,0,0
BUMP,40188,0,0
BUS,40267,1,1
BUTTER,40303,0,0
BUTTERFLY,40197,1,0
BUTTON,40397,0,0
BYE BYE,40153,1,1
CAKE,40305,1,1
CALL,40190,0,0
CAR,40269,1,1
CAREFUL,40328,1,0
CARROTS,40307,1,0
CARRY,40192,0,0
CAT,40199,1,1
CATCH,40194,1,1
CEREAL,40309,0,0
CHAIR,40439,1,1
CHASE,40484,0,0
CHEEK,40357,0,0
CHEESE,40311,1,1
CHICKEN,40313,1,1
CHICKEN (ANIMAL),40201,1,0
CHILD,40134,0,0
CHIPS,40315,1,0
CHOO CHOO,40165,1,1
CHURCH,40481,1,0
CLEAN,40330,0,0
CLEAN (ACTION),40196,1,0
CLOCK,40516,0,0
CLOSE,40282,1,0
COAT,40399,1,0
COCKADOODLEDOO,40167,0,0
COFFEE,40317,0,0
COLD,40332,0,0
COMB (OBJECT),40517,0,0
COOKER,40441,0,0
COT,40443,1,0
COW,40203,1,0
CRY,40198,1,0
CUDDLE,40200,1,1
CUP,40518,1,1
CUT,40202,0,0
DADDY,40135,1,1
DANCE,40204,1,0
DARK,40334,1,0
DAY,40406,0,0
DEER,40205,0,0
DINNER,40154,0,0
DIRTY,40336,1,0
DISH,40519,1,0
DOCTOR,40136,0,0
DOG,40207,1,1
DOLL,40287,1,0
DON'T,40155,0,0
DONKEY,40209,0,0
DOOR,40445,1,1
DOWN,40448,0,0
DRAW,40206,1,0
DRAWER,40447,1,0
DRESS (OBJECT),40401,0,0
DRINK,40319,1,0
DRINK (ACTION),40208,1,0
DRIVE,40210,0,0
DROP,40212,1,0
DRY (DESCRIPTION),40338,0,0
DUCK,40211,1,1
DUMMY,40520,0,0
EAR,40359,1,0
EAT,40214,1,0
EGG,40321,0,0
ELEPHANT,40213,0,0
EMPTY,40340,0,0
EYE,40361,1,0
FACE,40363,1,0
FALL,40216,0,0
FAST,40342,0,0
FEED,40218,0,0
FIND,40220,0,0
FINE,40344,0,0
FINGER,40365,1,0
FINISH,40222,1,0
FIRE ENGINE,40271,1,0
FISH,40215,1,1
FISH (FOOD),40323,1,1
FLOWER,40483,0,0
FOOD,40325,1,0
FOOT,40367,1,0
FORK,40521,1,0
FRIDGE,40461,0,0
FRIEND,40137,1,0
FROG,40217,1,0
GARAGE,40449,0,0
GARDEN,40485,0,0
GENTLE,40346,1,0
GET,40224,1,0
GIRAFFE,40219,0,0
GIRL,40141,0,0
GIVE,40226,1,0
GLASS,40522,0,0
GLASSES,40403,1,0
GO,40228,0,0
GOOD,40348,1,0
GOODNIGHT,40160,1,1
GOOSE,40221,0,0
GRANDMA,40142,0,0
GRANDPA,40143,1,0
GREEN,40350,0,0
GRR,40169,1,1
HAIR,40373,1,0
HAMMER,40523,0,0
HAND,40375,1,0
