word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,54435,1,1
AGAIN,54646,1,1
ALL,54644,1,1
ALL GONE,54494,1,1
ANIMAL,54365,1,1
ANOTHER,54648,1,1
APPLE,54473,1,1
ARM,54531,1,1
ASLEEP,54496,1,1
AUNT,54726,1,1
AWAY,54622,1,1
BAA BAA,54341,1,1
BABY,54727,1,1
BABYSITTER,54743,1,1
BACK (PLACE),54624,1,1
BAD,54498,1,0
BALL,54455,1,1
BALLOON,54457,1,1
BANANA,54475,1,1
BASKET,54687,1,1
BATH,54747,1,1
BATH (FURNITURE),54609,1,1
BATHROOM,54611,1,1
BEACH,54655,1,1
BEAR,54367,1,1
BED,54613,1,1
BEDROOM,54615,1,1
BEE,54369,1,1
BELLY BUTTON,54533,1,1
BIB,54571,1,1
BICYCLE,54437,1,1
BIG,54500,1,1
BIRD,54371,1,1
BISCUIT,54477,1,1
BITE,54358,1,1
BLANKET,54688,1,1
BLOCK,54459,1,1
BLOW,54360,1,1
BLUE,54502,1,1
BOAT,54439,1,1
BOOK,54461,1,1
BOOTS,54573,1,1
BOTTLE,54689,1,1
BOWL,54690,1,1
BOX,54691,1,1
BOY,54728,1,1
BREAD,54479,1,1
BREAK,54362,1,1
BREAKFAST,54748,1,1
BRING,54364,1,0
BROKEN,54504,1,1
BROOM,54692,1,0
BROTHER,54729,0,0
BRUSH (OBJECT),54693,1,1
BUBBLES,54463,1,1
BUCKET,54657,1,1
BUMP,54366,1,1
BUS,54445,1,1
BUTTER,54481,1,1
BUTTERFLY,54375,1,1
BUTTON,54575,1,1
BYE BYE,54749,1,1
CAKE,54483,1,1
CALL,54368,1,0
CAR,54447,1,1
CAREFUL,54506,1,1
CARROTS,54485,1,1
CARRY,54370,1,1
CAT,54377,1,1
CATCH,54372,1,1
CEREAL,54487,1,1
CHAIR,54617,1,1
CHASE,54662,1,1
CHEEK,54535,1,1
CHEESE,54489,1,1
CHICKEN,54491,1,1
