word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,67787,0,0
AGAIN,67998,0,0
ALL,67996,0,0
ALL GONE,67846,1,0
ANIMAL,67717,0,0
ANOTHER,68000,0,0
APPLE,67825,0,0
ARM,67883,0,0
ASLEEP,67848,1,0
AUNT,68078,0,0
AWAY,67974,0,0
BAA BAA,68111,1,0
BABY,68079,1,1
BABYSITTER,68095,1,0
BACK (PLACE),67976,0,0
BAD,67850,1,0
BALL,67807,1,0
BALLOON,67809,0,0
BANANA,67827,1,0
BASKET,68039,0,0
BATH,68099,0,0
BATH (FURNITURE),67961,1,0
BATHROOM,67963,1,0
BEACH,68007,0,0
BEAR,67719,0,0
BED,67965,0,0
BEDROOM,67967,0,0
BEE,67721,0,0
BELLY BUTTON,67885,1,0
BIB,67923,0,0
BICYCLE,67789,0,0
BIG,67852,0,0
BIRD,67723,0,0
BISCUIT,67829,1,0
BITE,68128,0,0
BLANKET,68040,0,0
BLOCK,67811,0,0
BLOW,68130,0,0
BLUE,67854,0,0
BOAT,67791,0,0
BOOK,67813,1,0
BOOTS,67925,1,0
BOTTLE,68041,1,0
BOWL,68042,1,0
BOX,68043,0,0
BOY,68080,1,0
BREAD,67831,1,0
BREAK,68132,0,0
BREAKFAST,68100,1,0
BRING,68134,1,0
BROKEN,67856,0,0
BROOM,68044,0,0
BROTHER,68081,0,0
BRUSH (OBJECT),68045,0,0
BUBBLES,67815,1,0
BUCKET,68009,0,0
BUMP,67718,1,0
BUS,67797,0,0
BUTTER,67833,0,0
BUTTERFLY,67727,0,0
BUTTON,67927,0,0
BYE BYE,68101,1,1
CAKE,67835,1,0
CALL,67720,1,0
CAR,67799,1,1
CAREFUL,67858,1,0
CARROTS,67837,0,0
CARRY,67722,0,0
CAT,67729,1,1
CATCH,67724,0,0
CEREAL,67839,0,0
CHAIR,67969,0,0
CHASE,68014,0,0
CHEEK,67887,0,0
CHEESE,67841,1,0
CHICKEN,67843,0,0
CHICKEN (ANIMAL),67731,0,0
CHILD,68082,1,0
CHIPS,67845,1,0
CHOO CHOO,68113,1,0
CHURCH,68011,0,0
CLEAN,67860,0,0
CLEAN (ACTION),67726,0,0
CLOCK,68046,0,0
CLOSE,67812,0,0
COAT,67929,1,0
COCKADOODLEDOO,68115,0,0
COFFEE,67847,0,0
COLD,67862,0,0
COMB (OBJECT),68047,0,0
COOKER,67971,0,0
COT,67973,1,0
COW,67733,0,0
CRY,67728,1,0
CUDDLE,67730,1,0
CUP,68048,1,0
CUT,67732,0,0
DADDY,68083,1,0
DANCE,67734,1,0
DARK,67864,0,0
DAY,67936,0,0
DEER,67735,0,0
DINNER,68102,1,0
DIRTY,67866,0,0
DISH,68049,0,0
DOCTOR,68084,0,0
DOG,67737,1,0
DOLL,67817,0,0
DON'T,68103,1,0
DONKEY,67739,0,0
DOOR,67975,1,0
DOWN,67978,1,0
DRAW,67736,1,0
DRAWER,67977,0,0
DRESS (OBJECT),67931,0,0
DRINK,67849,1,0
DRINK (ACTION),67738,1,0
DRIVE,67740,0,0
DROP,67742,1,0
DRY (DESCRIPTION),67868,0,0
DUCK,67741,0,0
DUMMY,68050,1,0
EAR,67889,0,0
EAT,67744,1,0
EGG,67851,0,0
ELEPHANT,67743,0,0
EMPTY,67870,0,0
EYE,67891,0,0
FACE,67893,0,0
FALL,67746,0,0
FAST,67872,0,0
FEED,67748,1,0
FIND,67750,0,0
FINE,67874,0,0
FINGER,67895,0,0
FINISH,67752,0,0
FIRE ENGINE,67801,0,0
FISH,67745,0,0
FISH (FOOD),67853,0,0
FLOWER,68013,1,0
FOOD,67855,1,0
FOOT,67897,0,0
FORK,68051,0,0
FRIDGE,67991,1,0
FRIEND,68085,1,0
FROG,67747,0,0
GARAGE,67979,0,0
GARDEN,68015,1,0
GENTLE,67876,0,0
GET,67754,1,0
GIRAFFE,67749,0,0
GIRL,68089,0,0
GIVE,67756,0,0
GLASS,68052,0,0
GLASSES,67933,1,0
GO,67758,1,0
GOOD,67878,0,0
GOODNIGHT,68108,1,0
GOOSE,67751,0,0
GRANDMA,68090,0,0
GRANDPA,68091,1,0
GREEN,67880,0,0
GRR,68117,0,0
HAIR,67903,0,0
HAMMER,68053,0,0
HAND,67905,0,0
HAPPY,67882,0,0
HARD,67884,0,0
HAT,67935,1,0
HAVE,67760,1,0
HEAD,67907,0,0
HEAR,67762,0,0
HELLO,68104,1,0
HELP,67764,0,0
HER,67952,0,0
HI,68105,1,1
HIGH CHAIR,67981,1,0
HIS,67954,0,0
HIT,67766,0,0
HOOVER,68054,1,0
HORSE,67753,0,0
HOT,67886,0,0
HOUSE,68017,1,0
HOW,67924,0,0
HUG,67768,1,0
HUNGRY,67888,1,0
HURRY,67770,0,0
HURT,67890,1,0
I,67956,0,0
ICE CREAM,67857,0,0
IN,67980,0,0
INSIDE,67982,0,0
IT,67958,0,0
JACKET,67937,1,0
JAM,67859,0,0
JEANS,67939,0,0
JUG,68055,0,0
JUICE,67861,1,0
