word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,147679,0,0
AGAIN,147890,1,0
ALL,147888,0,0
ALL GONE,147738,1,1
ANIMAL,147609,0,0
ANOTHER,147892,0,0
APPLE,147717,1,0
ARM,147775,1,0
ASLEEP,147740,1,0
AUNT,147970,0,0
AWAY,147866,1,0
BAA BAA,147585,0,0
BABY,147971,1,1
BABYSITTER,147569,1,0
BACK (PLACE),147868,1,0
BAD,147742,1,0
BALL,147699,1,1
BALLOON,147701,1,0
BANANA,147719,1,0
BASKET,147931,1,0
BATH,147573,1,0
BATH (FURNITURE),147853,1,1
BATHROOM,147855,0,0
BEACH,147899,1,0
BEAR,147611,0,0
BED,147857,1,1
BEDROOM,147859,1,0
BEE,147613,0,0
BELLY BUTTON,147777,1,0
BIB,147815,1,0
BICYCLE,147681,1,0
BIG,147744,0,0
BIRD,147615,1,1
BISCUIT,147721,1,0
BITE,147602,1,0
BLANKET,147932,1,0
BLOCK,147703,0,0
BLOW,147604,1,0
BLUE,147746,0,0
BOAT,147683,0,0
BOOK,147705,1,0
BOOTS,147817,1,0
BOTTLE,147933,1,0
BOWL,147934,1,0
BOX,147935,1,0
BOY,147972,0,0
BREAD,147723,1,0
BREAK,147606,0,0
BREAKFAST,147574,1,0
BRING,147608,1,0
BROKEN,147748,1,0
BROOM,147936,0,0
BROTHER,147555,0,0
BRUSH (OBJECT),147937,1,0
BUBBLES,147707,1,1
BUCKET,147901,0,0
BUMP,147610,1,0
BUS,147689,1,0
BUTTER,147725,0,0
BUTTERFLY,147619,0,0
BUTTON,147819,1,0
BYE BYE,147575,1,1
CAKE,147727,1,0
CALL,147612,1,0
CAR,147691,1,0
CAREFUL,147750,1,0
CARROTS,147729,0,0
CARRY,147614,1,0
CAT,147621,1,1
CATCH,147616,1,0
CEREAL,147731,0,0
CHAIR,147861,0,0
CHASE,147906,0,0
CHEEK,147779,0,0
CHEESE,147733,1,0
CHICKEN,147735,0,0
CHICKEN (ANIMAL),147623,0,0
CHILD,147556,0,0
CHIPS,147737,1,0
CHOO CHOO,147587,0,0
CHURCH,147903,0,0
CLEAN,147752,1,0
CLEAN (ACTION),147618,0,0
CLOCK,147938,0,0
CLOSE,147704,1,0
COAT,147821,1,0
COCKADOODLEDOO,147589,0,0
COFFEE,147739,0,0
COLD,147754,0,0
COMB (OBJECT),147939,1,0
COOKER,147863,1,0
COT,147865,1,0
COW,147625,0,0
CRY,147620,1,0
CUDDLE,147622,1,0
CUP,147940,1,0
CUT,147624,0,0
DADDY,147557,1,1
DANCE,147626,1,0
DARK,147756,1,0
DAY,147828,0,0
DEER,147627,0,0
DINNER,147576,1,0
DIRTY,147758,1,0
DISH,147941,0,0
DOCTOR,147558,0,0
DOG,147629,1,1
DOLL,147709,1,1
DON'T,147577,1,0
DONKEY,147631,0,0
DOOR,147867,1,0
DOWN,147870,1,0
DRAW,147628,1,0
DRAWER,147869,0,0
DRESS (OBJECT),147823,1,0
DRINK,147741,1,0
DRINK (ACTION),147630,1,0
DRIVE,147632,1,0
DROP,147634,1,0
DRY (DESCRIPTION),147760,0,0
DUCK,147633,1,1
DUMMY,147942,0,0
EAR,147781,0,0
EAT,147636,1,0
EGG,147743,0,0
ELEPHANT,147635,0,0
EMPTY,147762,1,0
EYE,147783,1,0
FACE,147785,0,0
FALL,147638,1,0
FAST,147764,0,0
FEED,147640,1,0
FIND,147642,1,0
FINE,147766,0,0
FINGER,147787,1,0
FINISH,147644,1,0
FIRE ENGINE,147693,0,0
FISH,147637,0,0
FISH (FOOD),147745,0,0
FLOWER,147905,1,0
FOOD,147747,1,0
FOOT,147789,1,0
FORK,147943,1,0
FRIDGE,147883,1,0
FRIEND,147559,0,0
FROG,147639,0,0
GARAGE,147871,1,0
GARDEN,147907,1,0
GENTLE,147768,1,0
GET,147646,1,0
GIRAFFE,147641,0,0
GIRL,147563,0,0
GIVE,147648,1,0
GLASS,147944,0,0
GLASSES,147825,1,0
GO,147650,1,0
GOOD,147770,1,0
GOODNIGHT,147582,1,1
GOOSE,147643,0,0
GRANDMA,147564,1,0
GRANDPA,147565,1,0
GREEN,147772,0,0
GRR,147591,1,1
HAIR,147795,1,0
HAMMER,147945,0,0
HAND,147797,1,0
HAPPY,147774,1,0
HARD,147776,0,0
HAT,147827,0,0
HAVE,147652,1,0
HEAD,147799,1,0
HEAR,147654,0,0
HELLO,147578,1,1
HELP,147656,1,0
HER,147844,0,0
HI,147579,1,1
HIGH CHAIR,147873,1,0
HIS,147846,0,0
HIT,147658,1,0
HOOVER,147946,1,0
HORSE,147645,0,0
HOT,147778,1,0
HOUSE,147909,1,0
HOW,147816,0,0
HUG,147660,1,0
HUNGRY,147780,0,0
HURRY,147662,0,0
HURT,147782,0,0
I,147848,0,0
ICE CREAM,147749,0,0
IN,147872,1,0
INSIDE,147874,0,0
IT,147850,0,0
JACKET,147829,0,0
JAM,147751,0,0
JEANS,147831,1,0
JUG,147947,0,0
JUICE,147753,1,0
JUMP,147664,1,0
JUMPER,147833,0,0
KEY,147948,1,0
KICK,147666,1,0
KISS,147668,1,0
KITCHEN,147875,1,0
KITTEN,147647,0,0
KNEE,147801,0,0
KNOW,147670,0,0
LADY,147566,1,0
LAMB,147649,0,0
LAMP,147949,0,0
LATER,147830,0,0
LEG,147803,1,0
LIGHT (OBJECT),147950,1,0
LIKE,147672,1,0
LION,147651,0,0
LITTLE (DESCRIPTION),147784,0,0
LIVING ROOM,147877,1,0
LOOK,147674,1,0
LORRY,147685,0,0
LOVE,147676,1,0
LUNCH,147580,1,0
MAKE,147678,0,0
MAN,147567,1,0
ME,147852,1,0
MEAT,147755,0,0
MEDICINE,147951,1,0
MEOW,147593,1,1
MILK,147757,0,0
MINE,147854,1,0
MONEY,147952,0,0
MONKEY,147653,0,0
MOO,147595,0,0
MOON,147910,0,0
MORE,147894,1,0
MORNING,147832,1,0
MOTORCYCLE,147687,1,0
MOUSE,147655,0,0
MOUTH,147813,1,0
MUG,147953,0,0
MUMMY,147568,1,1
MY,147856,0,0
NAIL (BODY PART),147805,0,0
NAP,147581,0,0
NAPPY,147835,1,0
