word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,55083,1,1
AGAIN,54876,1,1
ALL,54874,1,1
ALL GONE,55142,1,1
ANIMAL,55013,1,1
ANOTHER,54878,1,1
APPLE,55121,1,1
ARM,54761,1,1
ASLEEP,55144,1,1
AUNT,54956,1,1
AWAY,54852,1,1
BAA BAA,54989,1,1
BABY,54957,1,1
BABYSITTER,54973,1,1
BACK (PLACE),54854,1,1
BAD,55146,1,0
BALL,55103,1,1
BALLOON,55105,1,1
BANANA,55123,1,1
BASKET,54917,1,1
BATH,54977,1,1
BATH (FURNITURE),54839,1,1
BATHROOM,54841,1,1
BEACH,54885,1,1
BEAR,55015,1,1
BED,54843,1,1
BEDROOM,54845,1,1
BEE,55017,1,1
BELLY BUTTON,54763,1,1
BIB,54801,1,1
BICYCLE,55085,1,1
BIG,55148,1,1
BIRD,55019,1,1
BISCUIT,55125,1,1
BITE,55006,1,1
BLANKET,54918,1,1
BLOCK,55107,1,1
BLOW,55008,1,1
BLUE,55150,1,1
BOAT,55087,1,1
BOOK,55109,1,1
BOOTS,54803,1,1
BOTTLE,54919,1,1
BOWL,54920,1,1
BOX,54921,1,1
BOY,54958,1,1
BREAD,55127,1,1
BREAK,55010,1,1
BREAKFAST,54978,1,1
BRING,55012,1,0
BROKEN,55152,1,1
BROOM,54922,1,0
BROTHER,54959,0,0
BRUSH (OBJECT),54923,1,1
BUBBLES,55111,1,1
BUCKET,54887,1,1
BUMP,55014,1,1
BUS,55093,1,1
BUTTER,55129,1,1
BUTTERFLY,55023,1,1
BUTTON,54805,1,1
BYE BYE,54979,1,1
CAKE,55131,1,1
CALL,55016,1,0
CAR,55095,1,1
CAREFUL,55154,1,1
CARROTS,55133,1,1
CARRY,55018,1,1
CAT,55025,1,1
CATCH,55020,1,1
CEREAL,55135,1,1
CHAIR,54847,1,1
CHASE,54892,1,1
CHEEK,54765,1,1
CHEESE,55137,1,1
CHICKEN,55139,1,1
CHICKEN (ANIMAL),55027,1,1
CHILD,54960,1,0
CHIPS,55141,1,1
CHOO CHOO,54991,1,1
CHURCH,54889,1,1
CLEAN,55156,1,1
CLEAN (ACTION),55022,1,1
CLOCK,54924,1,1
CLOSE,55108,1,1
COAT,54807,1,1
COCKADOODLEDOO,54993,1,1
COFFEE,55143,1,0
COLD,55158,1,1
COMB (OBJECT),54925,1,1
COOKER,54849,1,1
COT,54851,1,0
COW,55029,1,1
CRY,55024,1,1
CUDDLE,55026,1,1
CUP,54926,1,1
CUT,55028,1,1
DADDY,54961,1,1
DANCE,55030,1,1
DARK,55160,1,1
DAY,54814,1,1
DEER,55031,1,0
DINNER,54980,1,1
DIRTY,55162,1,1
DISH,54927,1,0
DOCTOR,54962,1,1
DOG,55033,1,1
DOLL,55113,1,1
DON'T,54981,1,1
DONKEY,55035,1,1
DOOR,54853,1,1
DOWN,54856,1,1
DRAW,55032,1,1
DRAWER,54855,1,1
DRESS (OBJECT),54809,1,0
DRINK,55145,1,1
DRINK (ACTION),55034,1,1
DRIVE,55036,1,1
DROP,55038,1,1
DRY (DESCRIPTION),55164,1,0
DUCK,55037,1,1
DUMMY,54928,1,0
EAR,54767,1,1
EAT,55040,1,1
EGG,55147,1,1
ELEPHANT,55039,1,1
