word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,91589,1,1
AGAIN,91800,1,1
ALL,91798,1,0
ALL GONE,91648,1,1
ANIMAL,91937,1,1
ANOTHER,91802,1,1
APPLE,91627,1,1
ARM,91685,1,1
ASLEEP,91650,1,1
AUNT,91880,1,0
AWAY,91776,1,0
BAA BAA,91913,1,1
BABY,91881,1,1
BABYSITTER,91897,1,1
BACK (PLACE),91778,1,1
BAD,91652,1,0
BALL,91609,1,1
BALLOON,91611,1,1
BANANA,91629,1,1
BASKET,91841,1,1
BATH,91901,1,1
BATH (FURNITURE),91763,1,1
BATHROOM,91765,1,1
BEACH,91809,1,1
BEAR,91939,1,1
BED,91767,1,1
BEDROOM,91769,1,1
BEE,91941,1,1
BELLY BUTTON,91687,0,0
BIB,91725,1,0
BICYCLE,91591,1,1
BIG,91654,1,1
BIRD,91943,1,1
BISCUIT,91631,1,1
BITE,91930,1,0
BLANKET,91842,1,1
BLOCK,91613,1,1
BLOW,91932,1,1
BLUE,91656,1,1
BOAT,91593,1,1
BOOK,91615,1,1
BOOTS,91727,0,0
BOTTLE,91843,1,1
BOWL,91844,1,0
BOX,91845,1,0
BOY,91882,1,1
BREAD,91633,1,1
BREAK,91934,1,1
BREAKFAST,91902,1,1
BRING,91936,1,1
BROKEN,91658,1,1
BROOM,91846,1,0
BROTHER,91883,0,0
BRUSH (OBJECT),91847,1,1
BUBBLES,91617,1,1
BUCKET,91811,1,1
BUMP,91938,1,1
BUS,91599,1,1
BUTTER,91635,1,1
BUTTERFLY,91947,1,1
BUTTON,91729,1,1
BYE BYE,91903,1,1
CAKE,91637,1,1
CALL,91940,0,0
CAR,91601,1,1
CAREFUL,91660,1,1
CARROTS,91639,1,1
CARRY,91942,1,1
CAT,91949,1,1
CATCH,91944,1,1
CEREAL,91641,1,0
CHAIR,91771,1,1
CHASE,91816,1,1
CHEEK,91689,1,1
CHEESE,91643,1,1
CHICKEN,91645,0,0
CHICKEN (ANIMAL),91951,1,0
CHILD,91884,0,0
CHIPS,91647,1,1
CHOO CHOO,91915,1,1
CHURCH,91813,1,1
CLEAN,91662,1,1
CLEAN (ACTION),91946,1,1
CLOCK,91848,1,1
CLOSE,91614,1,1
COAT,91731,1,1
COCKADOODLEDOO,91917,0,0
COFFEE,91649,0,0
COLD,91664,1,1
COMB (OBJECT),91849,1,0
COOKER,91773,1,0
COT,91775,1,1
