word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,119253,0,0
AGAIN,119464,1,0
ALL,119462,0,0
ALL GONE,119312,1,1
ANIMAL,119183,1,0
ANOTHER,119466,0,0
APPLE,119291,1,0
ARM,119349,1,0
ASLEEP,119314,1,0
AUNT,119544,0,0
AWAY,119440,0,0
BAA BAA,119159,1,0
BABY,119545,1,0
BABYSITTER,119143,1,0
BACK (PLACE),119442,1,0
BAD,119316,0,0
BALL,119273,1,1
BALLOON,119275,1,1
BANANA,119293,1,0
BASKET,119505,1,0
BATH,119147,1,0
BATH (FURNITURE),119427,1,0
BATHROOM,119429,1,0
BEACH,119473,0,0
BEAR,119185,1,1
BED,119431,1,0
BEDROOM,119433,1,0
BEE,119187,1,1
BELLY BUTTON,119351,1,0
BIB,119389,1,0
BICYCLE,119255,1,0
BIG,119318,0,0
BIRD,119189,1,0
BISCUIT,119295,1,0
BITE,119176,1,0
BLANKET,119506,0,0
BLOCK,119277,0,0
BLOW,119178,1,0
BLUE,119320,0,0
BOAT,119257,1,0
BOOK,119279,1,1
BOOTS,119391,1,0
BOTTLE,119507,0,0
BOWL,119508,1,0
BOX,119509,1,0
BOY,119546,1,0
BREAD,119297,1,0
BREAK,119180,1,0
BREAKFAST,119148,1,0
BRING,119182,1,0
BROKEN,119322,1,0
BROOM,119510,1,0
BROTHER,119547,0,0
BRUSH (OBJECT),119511,1,0
BUBBLES,119281,1,1
BUCKET,119475,1,0
BUMP,119184,0,0
BUS,119263,1,0
BUTTER,119299,0,0
BUTTERFLY,119193,1,0
BUTTON,119393,1,0
BYE BYE,119149,1,0
CAKE,119301,1,0
CALL,119186,0,0
CAR,119265,1,0
CAREFUL,119324,1,0
CARROTS,119303,1,0
CARRY,119188,1,0
CAT,119195,1,1
CATCH,119190,1,0
CEREAL,119305,1,0
CHAIR,119435,1,0
CHASE,119480,1,0
CHEEK,119353,1,0
CHEESE,119307,1,0
CHICKEN,119309,1,0
CHICKEN (ANIMAL),119197,1,0
CHILD,119548,0,0
CHIPS,119311,1,0
CHOO CHOO,119161,0,0
CHURCH,119477,0,0
CLEAN,119326,1,0
CLEAN (ACTION),119192,1,0
CLOCK,119512,1,0
CLOSE,119278,1,0
COAT,119395,1,1
COCKADOODLEDOO,119163,0,0
COFFEE,119313,0,0
COLD,119328,1,1
COMB (OBJECT),119513,0,0
COOKER,119437,1,0
COT,119439,0,0
COW,119199,1,1
CRY,119194,1,0
CUDDLE,119196,1,1
CUP,119514,1,0
CUT,119198,0,0
DADDY,119131,1,1
DANCE,119200,1,0
DARK,119330,0,0
DAY,119402,0,0
DEER,119201,0,0
DINNER,119150,1,0
DIRTY,119332,1,0
DISH,119515,0,0
DOCTOR,119132,0,0
DOG,119203,1,1
DOLL,119283,1,0
DON'T,119151,1,0
DONKEY,119205,0,0
DOOR,119441,1,0
DOWN,119444,1,1
DRAW,119202,1,0
DRAWER,119443,0,0
DRESS (OBJECT),119397,1,0
DRINK,119315,1,0
DRINK (ACTION),119204,1,0
DRIVE,119206,1,0
DROP,119208,1,0
DRY (DESCRIPTION),119334,1,0
DUCK,119207,1,0
DUMMY,119516,0,0
EAR,119355,1,1
EAT,119210,1,0
EGG,119317,1,0
ELEPHANT,119209,1,1
EMPTY,119336,0,0
EYE,119357,1,1
FACE,119359,1,0
FALL,119212,1,1
FAST,119338,1,0
FEED,119214,1,0
FIND,119216,1,0
FINE,119340,0,0
FINGER,119361,1,0
FINISH,119218,0,0
FIRE ENGINE,119267,0,0
FISH,119211,1,0
FISH (FOOD),119319,1,0
FLOWER,119479,1,1
FOOD,119321,1,0
FOOT,119363,1,1
FORK,119517,1,0
FRIDGE,119457,0,0
FRIEND,119133,0,0
FROG,119213,1,1
GARAGE,119445,0,0
GARDEN,119481,1,0
GENTLE,119342,1,0
GET,119220,1,0
GIRAFFE,119215,1,0
GIRL,119137,1,0
GIVE,119222,1,0
GLASS,119518,0,0
GLASSES,119399,1,0
GO,119224,1,0
GOOD,119344,1,0
GOODNIGHT,119156,1,0
GOOSE,119217,0,0
GRANDMA,119138,1,0
GRANDPA,119139,1,1
GREEN,119346,0,0
GRR,119165,1,1
HAIR,119369,1,1
HAMMER,119519,0,0
HAND,119371,1,0
HAPPY,119348,0,0
HARD,119350,0,0
HAT,119401,1,1
HAVE,119226,1,0
HEAD,119373,1,0
HEAR,119228,0,0
HELLO,119152,1,1
HELP,119230,1,0
HER,119418,0,0
HI,119153,1,1
HIGH CHAIR,119447,1,0
HIS,119420,0,0
HIT,119232,1,0
HOOVER,119520,0,0
HORSE,119219,1,0
HOT,119352,1,0
HOUSE,119483,1,0
HOW,119390,0,0
HUG,119234,1,0
HUNGRY,119354,0,0
HURRY,119236,0,0
HURT,119356,0,0
I,119422,1,0
ICE CREAM,119323,0,0
IN,119446,0,0
INSIDE,119448,0,0
IT,119424,0,0
JACKET,119403,1,0
JAM,119325,0,0
JEANS,119405,0,0
JUG,119521,0,0
JUICE,119327,0,0
JUMP,119238,1,0
JUMPER,119407,1,0
KEY,119522,1,0
KICK,119240,1,0
KISS,119242,1,0
KITCHEN,119449,0,0
KITTEN,119221,0,0
KNEE,119375,1,0
KNOW,119244,0,0
LADY,119140,0,0
LAMB,119223,0,0
LAMP,119523,0,0
LATER,119404,0,0
LEG,119377,1,0
LIGHT (OBJECT),119524,1,0
LIKE,119246,1,0
LION,119225,1,0
LITTLE (DESCRIPTION),119358,0,0
LIVING ROOM,119451,0,0
LOOK,119248,1,1
LORRY,119259,0,0
LOVE,119250,1,1
LUNCH,119154,0,0
MAKE,119252,0,0
MAN,119141,0,0
ME,119426,1,0
MEAT,119329,0,0
MEDICINE,119525,1,0
MEOW,119167,1,0
MILK,119331,1,0
MINE,119428,1,0
MONEY,119526,0,0
MONKEY,119227,1,1
MOO,119169,1,1
MOON,119484,1,0
MORE,119468,1,1
MORNING,119406,0,0
MOTORCYCLE,119261,0,0
MOUSE,119229,1,0
MOUTH,119387,1,0
MUG,119527,0,0
MUMMY,119142,1,1
MY,119430,0,0
NAIL (BODY PART),119379,0,0
NAP,119155,1,0
NAPPY,119409,1,1
NASTY,119360,0,0
NAUGHTY,119362,1,0
NECKLACE,119411,1,0
NICE,119364,1,0
NIGHT,119408,0,0
NO,119157,1,1
NONE,119470,0,0
NOSE,119381,1,1
NOT,119472,0,0
NOW,119410,0,0
OFF,119450,1,0
OLD,119366,0,0
ON,119452,1,0
OPEN,119254,1,0
ORANGE (FOOD),119333,1,0
OTHER,119474,0,0
OUCH,119171,1,0
OUT,119454,0,0
OUTSIDE,119492,1,0
OWL,119231,1,1
PAPER,119528,0,0
PARK,119493,1,0
PARTY,119494,0,0
PASTA,119335,1,0
PATTYCAKE,119158,0,0
PEAS,119337,1,1
PEEKABOO,119160,1,0
PEN,119285,1,0
PENGUIN,119233,1,1
PENNY,119529,0,0
PEOPLE,119144,0,0
PERSON,119134,0,0
PHONE,119540,1,0
PICTURE,119530,0,0
PIG,119235,1,1
PILLOW,119531,1,0
PIZZA,119339,1,0
PLANT,119532,0,0
PLATE,119533,1,0
PLAY,119256,1,0
PLAY PEN,119453,0,0
PLEASE,119162,1,1
POLICE,119135,0,0
PONY,119237,1,0
POOL,119495,1,0
POTTY,119455,1,0
PRETTY,119368,1,0
PULL,119258,1,0
PUPPY,119239,1,0
PURSE,119534,0,0
PUSH,119260,1,0
PUSHCHAIR,119269,1,0
PUT,119262,1,0
PYJAMAS,119413,1,0
QUACK,119173,1,1
RABBIT,119191,1,0
RADIO,119535,0,0
RAIN,119496,1,0
READ,119264,1,0
RED,119370,0,0
RIDE,119266,1,0
ROCKING CHAIR,119459,0,0
RUBBISH,119536,1,0
RUN,119268,1,0
SAD,119372,0,0
SAME,119476,0,0
SAY,119270,1,0
SCARED,119374,0,0
SCHOOL,119497,0,0
SCISSORS,119537,1,0
SCRATCH,119272,0,0
SEE,119274,0,0
SHEEP,119241,1,0
SHH,119164,1,1
SHIRT,119415,0,0
SHOES,119417,1,1
SHOP,119498,1,0
SHORTS,119419,0,0
SHOW,119276,1,0
SICK,119376,0,0
SING,119280,1,0
SINK,119463,0,0
SISTER,119136,0,0
SKY,119485,0,0
SLEEP,119282,1,0
SLEEPY,119378,1,0
SLIDE (OBJECT),119486,1,0
SMELL,119482,1,0
SMILE,119284,1,0
SNOW,119487,0,0
SOAP,119538,1,0
SOCK,119421,1,1
SOFA,119461,1,0
SOFT,119380,0,0
SOME,119478,0,0
SPADE,119488,0,0
SPIDER,119243,1,0
SPLASH,119286,1,0
SPOON,119539,1,0
SQUIRREL,119245,1,0
STAIRS,119465,1,0
STAR,119489,1,0
STONE,119490,1,0
STOP,119288,1,0
SUN,119491,1,0
SWEETS,119341,1,0
