word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,86637,0,0
AGAIN,86848,1,0
ALL,86846,1,0
ALL GONE,86696,1,0
ANIMAL,86567,0,0
ANOTHER,86850,0,0
APPLE,86675,0,0
ARM,86733,0,0
ASLEEP,86698,0,0
AUNT,86928,0,0
AWAY,86824,0,0
BAA BAA,86543,1,1
BABY,86929,1,0
BABYSITTER,86527,1,1
BACK (PLACE),86826,0,0
BAD,86700,0,0
BALL,86657,1,1
BALLOON,86659,0,0
BANANA,86677,1,0
BASKET,86889,0,0
BATH,86531,1,0
BATH (FURNITURE),86811,1,0
BATHROOM,86813,0,0
BEACH,86857,0,0
BEAR,86569,0,0
BED,86815,1,0
BEDROOM,86817,1,0
BEE,86571,0,0
BELLY BUTTON,86735,0,0
BIB,86773,1,0
BICYCLE,86639,0,0
BIG,86702,0,0
BIRD,86573,1,0
BISCUIT,86679,0,0
BITE,86560,0,0
BLANKET,86890,0,0
BLOCK,86661,1,0
BLOW,86562,0,0
BLUE,86704,0,0
BOAT,86641,0,0
BOOK,86663,1,0
BOOTS,86775,0,0
BOTTLE,86891,1,0
BOWL,86892,1,0
BOX,86893,0,0
BOY,86930,0,0
BREAD,86681,1,0
BREAK,86564,0,0
BREAKFAST,86532,1,0
BRING,86566,0,0
BROKEN,86706,0,0
BROOM,86894,0,0
BROTHER,86931,0,0
BRUSH (OBJECT),86895,1,0
BUBBLES,86665,1,0
BUCKET,86859,0,0
BUMP,86568,0,0
BUS,86647,1,0
BUTTER,86683,0,0
BUTTERFLY,86577,0,0
BUTTON,86777,0,0
BYE BYE,86533,1,1
CAKE,86685,1,0
CALL,86570,0,0
CAR,86649,1,0
CAREFUL,86708,1,0
CARROTS,86687,0,0
CARRY,86572,0,0
CAT,86579,1,0
CATCH,86574,0,0
CEREAL,86689,0,0
CHAIR,86819,0,0
CHASE,86864,0,0
CHEEK,86737,0,0
CHEESE,86691,1,0
CHICKEN,86693,1,0
CHICKEN (ANIMAL),86581,1,0
CHILD,86932,0,0
CHIPS,86695,1,0
CHOO CHOO,86545,0,0
CHURCH,86861,0,0
CLEAN,86710,0,0
CLEAN (ACTION),86576,0,0
CLOCK,86896,0,0
CLOSE,86662,0,0
COAT,86779,1,0
COCKADOODLEDOO,86547,0,0
