word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,32309,0,0
AGAIN,32520,0,0
ALL,32518,0,0
ALL GONE,32368,1,1
ANIMAL,32239,0,0
ANOTHER,32522,0,0
APPLE,32347,1,0
ARM,32405,0,0
ASLEEP,32370,0,0
AUNT,32600,0,0
AWAY,32496,0,0
BAA BAA,32215,1,1
BABY,32601,1,0
BABYSITTER,32199,1,0
BACK (PLACE),32498,0,0
BAD,32372,0,0
BALL,32329,1,1
BALLOON,32331,0,0
BANANA,32349,1,1
BASKET,32561,1,0
BATH,32203,0,0
BATH (FURNITURE),32483,1,0
BATHROOM,32485,0,0
BEACH,32529,0,0
BEAR,32241,0,0
BED,32487,0,0
BEDROOM,32489,1,0
BEE,32243,0,0
BELLY BUTTON,32407,0,0
BIB,32445,0,0
BICYCLE,32311,0,0
BIG,32374,0,0
BIRD,32245,0,0
BISCUIT,32351,1,0
BITE,32232,0,0
BLANKET,32562,0,0
BLOCK,32333,0,0
BLOW,32234,0,0
BLUE,32376,0,0
BOAT,32313,0,0
BOOK,32335,1,0
BOOTS,32447,1,0
BOTTLE,32563,1,0
BOWL,32564,1,0
BOX,32565,0,0
BOY,32602,0,0
BREAD,32353,1,0
BREAK,32236,0,0
BREAKFAST,32204,0,0
BRING,32238,0,0
BROKEN,32378,0,0
BROOM,32566,0,0
BROTHER,32603,0,0
BRUSH (OBJECT),32567,0,0
BUBBLES,32337,0,0
BUCKET,32531,0,0
BUMP,32240,0,0
BUS,32319,1,0
BUTTER,32355,0,0
BUTTERFLY,32249,0,0
BUTTON,32449,0,0
BYE BYE,32205,1,1
CAKE,32357,1,0
CALL,32242,0,0
CAR,32321,0,0
CAREFUL,32380,0,0
CARROTS,32359,0,0
CARRY,32244,0,0
CAT,32251,0,0
CATCH,32246,0,0
CEREAL,32361,1,0
CHAIR,32491,0,0
CHASE,32536,0,0
CHEEK,32409,0,0
CHEESE,32363,1,0
CHICKEN,32365,0,0
CHICKEN (ANIMAL),32253,0,0
CHILD,32604,0,0
CHIPS,32367,0,0
CHOO CHOO,32217,0,0
CHURCH,32533,0,0
CLEAN,32382,0,0
CLEAN (ACTION),32248,0,0
CLOCK,32568,0,0
CLOSE,32334,1,0
COAT,32451,1,0
COCKADOODLEDOO,32219,0,0
COFFEE,32369,0,0
COLD,32384,0,0
COMB (OBJECT),32569,0,0
COOKER,32493,1,0
COT,32495,1,0
COW,32255,0,0
CRY,32250,0,0
CUDDLE,32252,1,0
CUP,32570,1,0
CUT,32254,0,0
DADDY,32187,1,1
DANCE,32256,0,0
DARK,32386,0,0
DAY,32458,0,0
DEER,32257,0,0
DINNER,32206,1,0
DIRTY,32388,1,0
DISH,32571,0,0
DOCTOR,32188,0,0
DOG,32259,1,1
DOLL,32339,0,0
DON'T,32207,0,0
DONKEY,32261,0,0
DOOR,32497,1,0
DOWN,32500,0,0
DRAW,32258,0,0
DRAWER,32499,0,0
DRESS (OBJECT),32453,0,0
DRINK,32371,1,0
DRINK (ACTION),32260,0,0
DRIVE,32262,0,0
DROP,32264,0,0
DRY (DESCRIPTION),32390,1,0
DUCK,32263,0,0
DUMMY,32572,0,0
EAR,32411,0,0
EAT,32266,0,0
EGG,32373,0,0
ELEPHANT,32265,0,0
EMPTY,32392,0,0
EYE,32413,0,0
FACE,32415,0,0
FALL,32268,0,0
FAST,32394,0,0
FEED,32270,0,0
FIND,32272,0,0
FINE,32396,0,0
FINGER,32417,0,0
FINISH,32274,0,0
FIRE ENGINE,32323,0,0
FISH,32267,0,0
FISH (FOOD),32375,0,0
FLOWER,32535,0,0
FOOD,32377,1,1
FOOT,32419,0,0
FORK,32573,1,0
FRIDGE,32513,0,0
FRIEND,32189,0,0
FROG,32269,0,0
GARAGE,32501,0,0
GARDEN,32537,0,0
GENTLE,32398,0,0
GET,32276,0,0
GIRAFFE,32271,0,0
GIRL,32193,1,0
GIVE,32278,0,0
GLASS,32574,0,0
GLASSES,32455,1,0
GO,32280,0,0
GOOD,32400,0,0
GOODNIGHT,32212,1,0
GOOSE,32273,0,0
GRANDMA,32194,1,0
GRANDPA,32195,1,0
GREEN,32402,0,0
GRR,32221,0,0
HAIR,32425,1,0
HAMMER,32575,0,0
HAND,32427,0,0
HAPPY,32404,0,0
HARD,32406,0,0
HAT,32457,0,0
HAVE,32282,0,0
HEAD,32429,1,0
HEAR,32284,0,0
HELLO,32208,0,0
HELP,32286,0,0
HER,32474,0,0
HI,32209,1,0
HIGH CHAIR,32503,1,0
HIS,32476,0,0
HIT,32288,0,0
HOOVER,32576,0,0
HORSE,32275,0,0
HOT,32408,0,0
HOUSE,32539,0,0
HOW,32446,0,0
HUG,32290,1,0
HUNGRY,32410,1,0
HURRY,32292,0,0
HURT,32412,0,0
I,32478,0,0
ICE CREAM,32379,0,0
IN,32502,0,0
INSIDE,32504,0,0
IT,32480,0,0
JACKET,32459,1,0
JAM,32381,0,0
JEANS,32461,0,0
JUG,32577,0,0
JUICE,32383,1,0
JUMP,32294,0,0
JUMPER,32463,0,0
KEY,32578,0,0
KICK,32296,0,0
KISS,32298,1,0
KITCHEN,32505,0,0
KITTEN,32277,0,0
KNEE,32431,0,0
KNOW,32300,0,0
LADY,32196,1,0
LAMB,32279,0,0
LAMP,32579,0,0
LATER,32460,0,0
LEG,32433,0,0
LIGHT (OBJECT),32580,0,0
LIKE,32302,0,0
LION,32281,0,0
LITTLE (DESCRIPTION),32414,0,0
LIVING ROOM,32507,0,0
LOOK,32304,0,0
LORRY,32315,0,0
LOVE,32306,0,0
LUNCH,32210,1,0
MAKE,32308,0,0
MAN,32197,1,0
ME,32482,1,1
MEAT,32385,0,0
MEDICINE,32581,1,0
MEOW,32223,0,0
MILK,32387,1,0
MINE,32484,1,0
MONEY,32582,1,0
MONKEY,32283,1,0
MOO,32225,0,0
MOON,32540,0,0
MORE,32524,0,0
MORNING,32462,0,0
MOTORCYCLE,32317,0,0
MOUSE,32285,0,0
MOUTH,32443,0,0
MUG,32583,0,0
MUMMY,32198,1,1
MY,32486,1,0
NAIL (BODY PART),32435,0,0
NAP,32211,1,0
NAPPY,32465,1,0
NASTY,32416,0,0
NAUGHTY,32418,1,0
NECKLACE,32467,0,0
NICE,32420,0,0
NIGHT,32464,1,0
NO,32213,1,0
NONE,32526,0,0
NOSE,32437,0,0
NOT,32528,0,0
NOW,32466,0,0
OFF,32506,0,0
OLD,32422,0,0
ON,32508,0,0
OPEN,32310,1,0
ORANGE (FOOD),32389,0,0
OTHER,32530,0,0
OUCH,32227,0,0
OUT,32510,1,0
OUTSIDE,32548,0,0
OWL,32287,0,0
PAPER,32584,0,0
PARK,32549,1,0
PARTY,32550,0,0
PASTA,32391,0,0
PATTYCAKE,32214,0,0
PEAS,32393,0,0
PEEKABOO,32216,1,0
PEN,32341,0,0
PENGUIN,32289,0,0
PENNY,32585,0,0
PEOPLE,32200,0,0
PERSON,32190,0,0
PHONE,32596,1,0
PICTURE,32586,0,0
PIG,32291,0,0
PILLOW,32587,0,0
PIZZA,32395,0,0
PLANT,32588,0,0
PLATE,32589,0,0
PLAY,32312,1,1
PLAY PEN,32509,0,0
PLEASE,32218,0,0
POLICE,32191,0,0
PONY,32293,0,0
POOL,32551,0,0
POTTY,32511,0,0
PRETTY,32424,0,0
PULL,32314,0,0
PUPPY,32295,0,0
PURSE,32590,0,0
PUSH,32316,0,0
PUSHCHAIR,32325,1,0
PUT,32318,0,0
PYJAMAS,32469,1,0
QUACK,32229,0,0
RABBIT,32247,0,0
RADIO,32591,0,0
RAIN,32552,0,0
READ,32320,0,0
RED,32426,0,0
RIDE,32322,0,0
ROCKING CHAIR,32515,0,0
RUBBISH,32592,0,0
RUN,32324,0,0
SAD,32428,1,0
SAME,32532,0,0
SAY,32326,0,0
SCARED,32430,0,0
SCHOOL,32553,0,0
SCISSORS,32593,0,0
SCRATCH,32328,0,0
SEE,32330,0,0
SHEEP,32297,0,0
SHH,32220,1,0
SHIRT,32471,0,0
SHOES,32473,1,0
SHOP,32554,0,0
SHORTS,32475,0,0
SHOW,32332,0,0
SICK,32432,0,0
SING,32336,0,0
SINK,32519,0,0
SISTER,32192,1,0
SKY,32541,0,0
SLEEP,32338,1,0
SLEEPY,32434,1,0
SLIDE (OBJECT),32542,0,0
SMELL,32538,0,0
SMILE,32340,1,0
SNOW,32543,0,0
SOAP,32594,0,0
SOCK,32477,0,0
SOFA,32517,0,0
SOFT,32436,0,0
SOME,32534,0,0
SPADE,32544,0,0
SPIDER,32299,0,0
SPLASH,32342,0,0
SPOON,32595,1,0
SQUIRREL,32301,0,0
STAIRS,32521,0,0
STAR,32545,0,0
STONE,32546,0,0
STOP,32344,0,0
SUN,32547,0,0
SWEETS,32397,0,0
SWIM,32346,1,0
SWING (ACTION),32348,0,0
SWING (OBJECT),32555,0,0
TABLE,32523,0,0
TAKE,32350,0,0
TEA,32222,0,0
TEA (DRINK),32399,1,0
TEACHER,32201,0,0
TEDDY,32343,0,0
TELL,32352,0,0
THANK YOU,32224,1,1
THAT,32488,0,0
THERE,32512,0,0
THIRSTY,32438,0,0
THIS,32490,0,0
THROW,32354,0,0
TICKLE,32356,0,0
TIGER,32303,0,0
TIRED,32440,1,0
TOAST,32401,1,0
TODAY,32468,0,0
TOE,32439,0,0
TOMORROW,32470,0,0
TONGUE,32421,0,0
TONIGHT,32472,0,0
TOOTH,32423,0,0
TOOTHBRUSH,32597,0,0
TOWEL,32598,0,0
TOY (OBJECT),32345,1,0
TRAIN,32327,0,0
TREE,32556,0,0
TROUSERS,32479,0,0
TUMMY,32441,0,0
TURKEY,32305,0,0
TURTLE,32307,0,0
TV,32525,1,0
UHOH,32231,1,1
UNCLE,32202,1,0
UNDER,32514,0,0
UP,32516,0,0
VROOM,32233,1,0
WAIT,32226,0,0
WALK,32358,0,0
WALL,32557,0,0
WANT TO,32228,0,0
WASH,32360,0,0
WATCH (ACTION),32362,0,0
WATCH (OBJECT),32599,0,0
WATER,32403,0,0
WATER (OUTSIDE),32558,0,0
WET,32442,0,0
WHAT,32448,0,0
WHEN,32450,0,0
WHERE,32452,0,0
WHO,32454,0,0
WHY,32456,0,0
WINDOW,32527,0,0
WIPE,32364,0,0
WOOF,32235,0,0
WORK (PLACE),32559,0,0
WRITE,32366,0,0
YELLOW,32444,0,0
YES,32230,1,0
YOU,32492,0,0
YOUR,32494,0,0
YUM,32237,0,0
ZIP,32481,0,0
ZOO,32560,0,0
