word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,23175,0,0
AGAIN,23386,0,0
ALL,23384,0,0
ALL GONE,23234,1,0
ANIMAL,23105,0,0
ANOTHER,23388,0,0
APPLE,23213,1,1
ARM,23271,1,0
ASLEEP,23236,0,0
AUNT,23048,1,0
AWAY,23362,0,0
BAA BAA,23081,1,0
BABY,23049,1,0
BABYSITTER,23065,1,1
BACK (PLACE),23364,0,0
BAD,23238,0,0
BALL,23195,1,1
BALLOON,23197,1,0
BANANA,23215,1,1
BASKET,23009,1,0
BATH,23069,1,0
BATH (FURNITURE),23349,1,0
BATHROOM,23351,0,0
BEACH,23395,0,0
BEAR,23107,1,1
BED,23353,1,0
BEDROOM,23355,1,0
BEE,23109,0,0
BELLY BUTTON,23273,1,0
BIB,23311,0,0
BICYCLE,23177,1,1
BIG,23240,0,0
BIRD,23111,1,1
BISCUIT,23217,1,1
BITE,23098,0,0
BLANKET,23010,0,0
BLOCK,23199,0,0
BLOW,23100,1,0
BLUE,23242,0,0
BOAT,23179,1,0
BOOK,23201,1,1
BOOTS,23313,1,0
BOTTLE,23011,1,0
BOWL,23012,0,0
BOX,23013,0,0
BOY,23050,0,0
BREAD,23219,1,0
BREAK,23102,0,0
BREAKFAST,23070,1,0
BRING,23104,1,0
BROKEN,23244,1,1
BROOM,23014,0,0
BROTHER,23051,1,0
BRUSH (OBJECT),23015,0,0
BUBBLES,23203,1,0
BUCKET,23397,1,0
BUMP,23106,0,0
BUS,23185,1,0
BUTTER,23221,0,0
BUTTERFLY,23115,0,0
BUTTON,23315,1,0
BYE BYE,23071,1,1
CAKE,23223,0,0
CALL,23108,0,0
CAR,23187,1,0
CAREFUL,23246,1,0
CARROTS,23225,0,0
CARRY,23110,0,0
CAT,23117,1,1
CATCH,23112,1,0
CEREAL,23227,1,0
CHAIR,23357,1,0
CHASE,23402,0,0
CHEEK,23275,1,0
CHEESE,23229,1,0
CHICKEN,23231,0,0
CHICKEN (ANIMAL),23119,0,0
CHILD,23052,0,0
CHIPS,23233,0,0
CHOO CHOO,23083,1,0
CHURCH,23399,0,0
CLEAN,23248,1,0
CLEAN (ACTION),23114,1,0
CLOCK,23016,0,0
CLOSE,23200,1,0
COAT,23317,1,0
COCKADOODLEDOO,23085,0,0
COFFEE,23235,0,0
COLD,23250,1,0
COMB (OBJECT),23017,1,0
COOKER,23359,0,0
COT,23361,1,0
COW,23121,1,0
CRY,23116,0,0
CUDDLE,23118,1,0
CUP,23018,1,0
CUT,23120,0,0
DADDY,23053,1,1
DANCE,23122,1,0
DARK,23252,0,0
DAY,23324,0,0
DEER,23123,0,0
DINNER,23072,1,0
DIRTY,23254,1,0
DISH,23019,0,0
DOCTOR,23054,0,0
DOG,23125,1,1
DOLL,23205,1,1
DON'T,23073,1,0
DONKEY,23127,0,0
DOOR,23363,1,0
DOWN,23366,1,0
DRAW,23124,0,0
DRAWER,23365,0,0
DRESS (OBJECT),23319,0,0
DRINK,23237,1,1
DRINK (ACTION),23126,1,0
DRIVE,23128,0,0
DROP,23130,0,0
DRY (DESCRIPTION),23256,1,0
DUCK,23129,1,1
DUMMY,23020,1,0
EAR,23277,1,0
EAT,23132,1,1
EGG,23239,0,0
ELEPHANT,23131,0,0
EMPTY,23258,1,0
EYE,23279,1,0
FACE,23281,1,0
FALL,23134,0,0
FAST,23260,1,1
FEED,23136,0,0
FIND,23138,1,0
FINE,23262,0,0
FINGER,23283,1,0
FINISH,23140,1,0
FIRE ENGINE,23189,0,0
FISH,23133,1,1
FISH (FOOD),23241,1,1
FLOWER,23401,0,0
FOOD,23243,1,0
