word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,1497,0,0
AGAIN,1819,1,1
ALL,1820,0,0
ALL GONE,1753,1,0
ANIMAL,1463,1,0
ANOTHER,1821,0,0
APPLE,1518,1,0
ARM,1551,1,0
ASLEEP,1754,0,0
AUNT,1672,0,0
AWAY,202,0,0
BAA BAA,1450,0,0
BABY,1673,1,0
BABYSITTER,323,1,1
BACK (PLACE),1808,0,0
BAD,78,0,0
BALL,1508,1,0
BALLOON,1509,1,0
BANANA,1519,1,1
BASKET,267,1,0
BATH,327,1,0
BATH (FURNITURE),1593,1,0
BATHROOM,1594,0,0
BEACH,235,0,0
BEAR,1464,1,0
BED,1595,1,0
BEDROOM,1596,0,0
BEE,1465,0,0
BELLY BUTTON,1554,0,0
BIB,1575,0,0
BICYCLE,1498,0,0
BIG,1755,0,0
BIRD,1466,1,0
BISCUIT,1520,1,0
BITE,1694,1,0
BLANKET,268,1,0
BLOCK,1510,0,0
BLOW,1695,1,0
BLUE,1756,0,0
BOAT,1499,1,0
BOOK,1511,1,0
BOOTS,1576,0,0
BOTTLE,1618,1,0
BOWL,1619,1,0
BOX,1620,0,0
BOY,1674,0,0
BREAD,1521,0,0
BREAK,1696,0,0
BREAKFAST,328,1,0
BRING,1697,0,0
BROKEN,1757,0,0
BROOM,1621,0,0
BROTHER,1675,0,0
BRUSH (OBJECT),273,1,0
BUBBLES,1513,1,0
BUCKET,1623,0,0
BUMP,1698,1,0
BUS,1500,1,0
BUTTER,1522,0,0
BUTTERFLY,1469,0,0
BUTTON,1577,1,0
BYE BYE,329,1,1
CAKE,1523,0,0
CALL,366,0,0
CAR,1501,1,1
CAREFUL,1758,1,0
CARROTS,1524,1,0
CARRY,1699,0,0
CAT,1470,1,0
CATCH,1700,1,0
CEREAL,1525,1,0
CHAIR,1597,1,0
CHASE,242,0,0
CHEEK,1556,0,0
CHEESE,1526,1,0
CHICKEN,1527,0,0
CHICKEN (ANIMAL),1471,0,0
CHILD,310,0,0
CHIPS,1528,1,0
CHOO CHOO,1451,1,0
CHURCH,239,0,0
CLEAN,1759,1,0
CLEAN (ACTION),1701,1,0
CLOCK,1624,0,0
CLOSE,1738,1,0
COAT,1579,1,0
COCKADOODLEDOO,1452,0,0
COFFEE,1530,0,0
COLD,1760,1,0
COMB (OBJECT),275,1,0
COOKER,1598,0,0
COT,1599,1,0
COW,1472,1,0
CRY,1703,1,0
CUDDLE,1704,1,0
CUP,1627,1,0
CUT,378,0,0
DADDY,311,1,1
DANCE,1705,1,0
DARK,92,0,0
DAY,1787,0,0
DEER,381,0,0
DINNER,330,1,0
DIRTY,1761,1,0
DISH,277,1,0
DOCTOR,312,0,0
DOG,1473,1,1
DOLL,1514,0,0
DON'T,331,0,0
DONKEY,1474,0,0
DOOR,1600,1,1
DOWN,1809,1,0
DRAW,1706,0,0
DRAWER,1602,0,0
DRESS (OBJECT),1580,0,0
DRINK,1531,1,0
DRINK (ACTION),1707,1,0
DRIVE,386,1,0
DROP,1708,0,0
DRY (DESCRIPTION),96,0,0
DUCK,1475,1,0
DUMMY,1628,0,0
EAR,1558,1,0
EAT,1709,1,0
EGG,1532,0,0
ELEPHANT,1476,0,0
EMPTY,1762,1,0
EYE,1559,1,0
FACE,1560,1,0
FALL,1710,0,0
FAST,1763,1,0
FEED,1711,1,0
FIND,1712,1,0
FINE,102,0,0
FINGER,1562,1,0
FINISH,1713,0,0
FIRE ENGINE,1502,1,0
FISH,1477,1,1
FISH (FOOD),1533,1,1
FLOWER,1651,1,0
FOOD,1534,1,0
FOOT,1563,1,0
FORK,1629,1,0
FRIDGE,1607,0,0
FRIEND,313,1,0
FROG,1479,1,0
GARAGE,207,0,0
GARDEN,1652,0,0
GENTLE,1764,0,0
GET,1714,0,0
GIRAFFE,1480,0,0
GIRL,317,0,0
GIVE,1715,0,0
GLASS,1630,0,0
GLASSES,1581,0,0
GO,1716,1,0
GOOD,1765,1,0
GOODNIGHT,1676,1,0
GOOSE,1481,0,0
GRANDMA,318,1,0
GRANDPA,319,1,0
GREEN,108,0,0
GRR,1453,0,0
HAIR,1564,1,0
HAMMER,281,0,0
HAND,1565,1,0
HAPPY,1766,1,0
HARD,112,0,0
HAT,1582,1,0
HAVE,406,0,0
HEAD,1566,1,0
HEAR,408,0,0
HELLO,1677,1,1
HELP,1717,0,0
HER,1796,0,0
HI,333,1,1
HIGH CHAIR,1603,0,0
HIS,1797,0,0
HIT,1718,0,0
HOOVER,1631,0,0
HORSE,1482,1,0
HOT,1767,1,0
HOUSE,1654,1,0
HOW,1781,0,0
HUG,1719,0,0
HUNGRY,1768,1,0
HURRY,1720,0,0
HURT,1769,0,0
I,1798,0,0
ICE CREAM,1535,0,0
IN,1810,0,0
INSIDE,1811,1,0
IT,1799,0,0
JACKET,1583,0,0
JAM,1536,0,0
JEANS,167,1,0
JUG,283,0,0
JUICE,1537,1,0
JUMP,1721,1,0
JUMPER,1584,1,0
KEY,1632,1,1
KICK,1722,1,0
KISS,1723,1,0
KITCHEN,1604,1,0
KITTEN,1483,0,0
