word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,92543,1,0
AGAIN,92754,1,1
ALL,92752,1,0
ALL GONE,92602,1,1
ANIMAL,92473,1,1
ANOTHER,92756,1,0
APPLE,92581,1,1
ARM,92639,1,1
ASLEEP,92604,1,0
AUNT,92416,1,0
AWAY,92730,1,0
BAA BAA,92449,1,1
BABY,92417,1,1
BABYSITTER,92433,1,1
BACK (PLACE),92732,1,1
BAD,92606,0,0
BALL,92563,1,1
BALLOON,92565,1,1
BANANA,92583,1,1
BASKET,92795,1,1
BATH,92437,1,1
BATH (FURNITURE),92717,1,1
BATHROOM,92719,1,0
BEACH,92763,0,0
BEAR,92475,1,1
BED,92721,1,1
BEDROOM,92723,1,0
BEE,92477,1,1
BELLY BUTTON,92641,0,0
BIB,92679,0,0
BICYCLE,92545,1,0
BIG,92608,1,1
BIRD,92479,1,1
BISCUIT,92585,1,1
BITE,92466,1,0
BLANKET,92796,1,1
BLOCK,92567,1,0
BLOW,92468,1,1
BLUE,92610,1,1
BOAT,92547,1,1
BOOK,92569,1,1
BOOTS,92681,0,0
BOTTLE,92379,1,0
BOWL,92380,1,0
BOX,92381,1,0
BOY,92418,1,0
BREAD,92587,1,0
BREAK,92470,0,0
BREAKFAST,92438,1,1
BRING,92472,1,0
BROKEN,92612,1,0
BROOM,92382,1,0
BROTHER,92419,0,0
BRUSH (OBJECT),92383,1,1
BUBBLES,92571,1,1
BUCKET,92765,1,0
BUMP,92474,1,0
BUS,92553,1,1
BUTTER,92589,1,0
BUTTERFLY,92483,1,1
BUTTON,92683,1,1
BYE BYE,92439,1,1
CAKE,92591,1,1
CALL,92476,0,0
CAR,92555,1,1
CAREFUL,92614,1,0
CARROTS,92593,1,0
CARRY,92478,1,0
CAT,92485,1,1
CATCH,92480,1,1
CEREAL,92595,1,0
CHAIR,92725,1,1
CHASE,92770,1,1
CHEEK,92643,1,0
CHEESE,92597,1,1
CHICKEN,92599,0,0
CHICKEN (ANIMAL),92487,1,0
CHILD,92420,0,0
CHIPS,92601,1,1
CHOO CHOO,92451,1,1
CHURCH,92767,0,0
CLEAN,92616,1,1
CLEAN (ACTION),92482,1,1
CLOCK,92384,1,1
CLOSE,92568,1,1
COAT,92685,1,1
COCKADOODLEDOO,92453,0,0
COFFEE,92603,0,0
COLD,92618,1,1
COMB (OBJECT),92385,1,0
COOKER,92727,1,0
COT,92729,1,0
COW,92489,1,1
CRY,92484,1,0
CUDDLE,92486,1,1
CUP,92386,1,1
CUT,92488,0,0
DADDY,92421,1,1
DANCE,92490,1,0
DARK,92620,1,0
DAY,92692,1,0
DEER,92491,0,0
DINNER,92440,1,0
DIRTY,92622,1,1
DISH,92387,1,0
DOCTOR,92422,1,0
DOG,92493,1,1
DOLL,92573,1,0
DON'T,92441,1,0
DONKEY,92495,1,0
DOOR,92731,1,1
DOWN,92734,1,1
DRAW,92492,1,0
DRAWER,92733,1,0
DRESS (OBJECT),92687,0,0
DRINK,92605,1,1
DRINK (ACTION),92494,1,1
DRIVE,92496,1,1
DROP,92498,1,0
DRY (DESCRIPTION),92624,1,1
DUCK,92497,1,1
DUMMY,92388,0,0
EAR,92645,1,1
EAT,92500,1,0
EGG,92607,1,1
ELEPHANT,92499,1,1
EMPTY,92626,1,0
EYE,92647,1,1
FACE,92649,1,0
FALL,92502,1,1
