word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,61827,1,1
AGAIN,61620,1,1
ALL,61618,1,1
ALL GONE,61468,1,1
ANIMAL,61757,1,1
ANOTHER,61622,0,0
APPLE,61447,1,1
ARM,61505,1,1
ASLEEP,61470,1,1
AUNT,61700,1,1
AWAY,61596,1,1
BAA BAA,61733,1,1
BABY,61701,1,1
BABYSITTER,61717,0,0
BACK (PLACE),61598,1,1
BAD,61472,1,1
BALL,61847,1,1
BALLOON,61849,1,1
BANANA,61449,1,1
BASKET,61661,1,1
BATH,61721,1,1
BATH (FURNITURE),61583,1,1
BATHROOM,61585,1,1
BEACH,61629,1,1
BEAR,61759,1,1
BED,61587,1,1
BEDROOM,61589,1,1
BEE,61761,1,1
BELLY BUTTON,61507,1,1
BIB,61545,1,1
BICYCLE,61829,1,1
BIG,61474,1,1
BIRD,61763,1,1
BISCUIT,61451,1,1
BITE,61750,1,0
BLANKET,61662,1,1
BLOCK,61851,1,1
BLOW,61752,1,1
BLUE,61476,1,1
BOAT,61831,1,1
BOOK,61853,1,1
BOOTS,61547,1,1
BOTTLE,61663,1,1
BOWL,61664,1,1
BOX,61665,1,1
BOY,61702,1,1
BREAD,61453,1,1
BREAK,61754,1,0
BREAKFAST,61722,1,1
BRING,61756,1,0
BROKEN,61478,1,1
BROOM,61666,0,0
BROTHER,61703,0,0
BRUSH (OBJECT),61667,1,1
BUBBLES,61855,1,1
BUCKET,61631,1,1
BUMP,61758,0,0
BUS,61837,1,1
BUTTER,61455,1,1
BUTTERFLY,61767,1,1
BUTTON,61549,1,1
BYE BYE,61723,1,1
CAKE,61457,1,1
CALL,61760,1,0
CAR,61839,1,1
CAREFUL,61480,1,0
CARROTS,61459,1,1
CARRY,61762,1,1
CAT,61769,1,1
CATCH,61764,1,1
CEREAL,61461,1,1
CHAIR,61591,1,1
CHASE,61636,0,0
CHEEK,61509,1,1
CHEESE,61463,1,1
CHICKEN,61465,1,1
CHICKEN (ANIMAL),61771,1,1
CHILD,61704,0,0
CHIPS,61467,1,1
CHOO CHOO,61735,1,1
CHURCH,61633,0,0
CLEAN,61482,1,0
CLEAN (ACTION),61766,1,0
CLOCK,61668,0,0
CLOSE,61852,1,0
COAT,61551,1,1
COCKADOODLEDOO,61737,0,0
COFFEE,61469,0,0
COLD,61484,1,1
COMB (OBJECT),61669,0,0
COOKER,61593,1,1
COT,61595,1,1
COW,61773,1,1
CRY,61768,1,0
CUDDLE,61770,1,1
CUP,61670,1,1
CUT,61772,0,0
DADDY,61705,1,1
DANCE,61774,1,1
DARK,61486,1,1
DAY,61558,0,0
DEER,61775,1,1
DINNER,61724,1,1
DIRTY,61488,1,1
DISH,61671,1,0
DOCTOR,61706,0,0
DOG,61777,1,1
DOLL,61857,1,1
DON'T,61725,1,0
DONKEY,61779,1,1
DOOR,61597,1,1
DOWN,61600,1,1
DRAW,61776,1,1
DRAWER,61599,1,0
DRESS (OBJECT),61553,1,1
DRINK,61471,1,1
DRINK (ACTION),61778,1,1
DRIVE,61780,1,0
DROP,61782,1,0
DRY (DESCRIPTION),61490,1,0
DUCK,61781,1,1
DUMMY,61672,1,1
EAR,61511,1,1
EAT,61784,1,0
EGG,61473,1,1
ELEPHANT,61783,1,1
EMPTY,61492,1,0
EYE,61513,1,1
FACE,61515,1,1
FALL,61786,0,0
FAST,61494,1,1
FEED,61788,1,0
FIND,61790,1,0
FINE,61496,0,0
FINGER,61517,1,1
FINISH,61792,1,0
FIRE ENGINE,61841,1,0
FISH,61785,1,1
FISH (FOOD),61475,1,1
FLOWER,61635,1,1
FOOD,61477,1,1
FOOT,61519,1,1
FORK,61673,1,1
FRIDGE,61613,1,0
FRIEND,61707,1,0
FROG,61787,1,1
GARAGE,61601,0,0
GARDEN,61637,1,1
GENTLE,61498,1,1
GET,61794,1,1
GIRAFFE,61789,1,1
GIRL,61711,1,1
GIVE,61796,1,0
GLASS,61674,1,1
GLASSES,61555,1,1
GO,61798,1,1
GOOD,61500,1,1
GOODNIGHT,61730,1,1
GOOSE,61791,0,0
GRANDMA,61712,1,1
GRANDPA,61713,1,1
GREEN,61502,1,1
GRR,61739,1,1
HAIR,61525,1,1
HAMMER,61675,0,0
HAND,61527,1,1
HAPPY,61504,1,1
HARD,61506,0,0
HAT,61557,1,1
HAVE,61800,1,1
HEAD,61529,1,1
HEAR,61802,1,0
HELLO,61726,1,1
HELP,61804,1,1
HER,61574,0,0
HI,61727,1,1
HIGH CHAIR,61603,1,1
HIS,61576,0,0
HIT,61806,1,0
HOOVER,61676,1,1
HORSE,61793,1,1
HOT,61508,1,1
HOUSE,61639,1,1
HOW,61546,0,0
HUG,61808,1,0
HUNGRY,61510,1,0
HURRY,61810,1,1
HURT,61512,1,0
I,61578,0,0
ICE CREAM,61479,1,1
IN,61602,0,0
INSIDE,61604,0,0
IT,61580,0,0
JACKET,61559,1,1
JAM,61481,0,0
JEANS,61561,1,0
JUG,61677,0,0
JUICE,61483,1,1
JUMP,61812,1,0
JUMPER,61563,1,1
KEY,61678,1,1
KICK,61814,1,1
KISS,61816,1,1
KITCHEN,61605,1,1
KITTEN,61795,0,0
KNEE,61531,1,1
KNOW,61818,1,0
LADY,61714,1,0
LAMB,61797,1,1
LAMP,61679,0,0
LATER,61560,1,1
LEG,61533,1,1
LIGHT (OBJECT),61680,1,1
LIKE,61820,1,1
LION,61799,1,1
LITTLE (DESCRIPTION),61514,1,0
LIVING ROOM,61607,1,0
LOOK,61822,1,0
LORRY,61833,1,1
LOVE,61824,1,1
LUNCH,61728,1,1
MAKE,61826,0,0
MAN,61715,1,0
ME,61582,0,0
MEAT,61485,0,0
MEDICINE,61681,1,1
MEOW,61741,1,1
MILK,61487,1,1
MINE,61584,1,0
MONEY,61682,0,0
MONKEY,61801,1,1
MOO,61743,1,1
MOON,61640,1,1
MORE,61624,1,1
MORNING,61562,1,0
MOTORCYCLE,61835,1,1
MOUSE,61803,1,1
MOUTH,61543,1,1
MUG,61683,0,0
MUMMY,61716,1,1
MY,61586,1,0
NAIL (BODY PART),61535,0,0
NAP,61729,1,1
NAPPY,61565,1,1
NASTY,61516,0,0
NAUGHTY,61518,1,1
NECKLACE,61567,1,0
NICE,61520,1,1
NIGHT,61564,1,1
NO,61731,1,1
NONE,61626,0,0
NOSE,61537,1,1
NOT,61628,0,0
NOW,61566,1,0
OFF,61606,1,1
OLD,61522,0,0
ON,61608,1,1
OPEN,61828,1,1
ORANGE (FOOD),61489,1,1
OTHER,61630,0,0
OUCH,61745,1,1
OUT,61610,1,1
OUTSIDE,61648,1,1
OWL,61805,1,1
PAPER,61684,1,1
PARK,61649,1,1
PARTY,61650,0,0
PASTA,61491,1,1
PATTYCAKE,61732,1,1
PEAS,61493,1,1
PEEKABOO,61734,1,1
PEN,61859,1,1
PENGUIN,61807,1,1
PENNY,61685,0,0
PEOPLE,61718,1,0
PERSON,61708,1,0
PHONE,61696,1,1
PICTURE,61686,1,1
PIG,61809,1,1
PILLOW,61687,1,1
PIZZA,61495,1,1
PLANT,61688,1,1
PLATE,61689,1,1
PLAY,61830,1,1
PLAY PEN,61609,0,0
PLEASE,61736,1,1
POLICE,61709,0,0
PONY,61811,0,0
POOL,61651,1,1
POTTY,61611,1,1
PRETTY,61524,1,1
PULL,61832,1,0
PUPPY,61813,0,0
PURSE,61690,1,0
PUSH,61834,1,0
PUSHCHAIR,61843,1,1
PUT,61836,1,0
PYJAMAS,61569,1,1
QUACK,61747,1,1
RABBIT,61765,1,1
RADIO,61691,0,0
RAIN,61652,1,1
READ,61838,1,0
RED,61526,1,1
RIDE,61840,1,0
ROCKING CHAIR,61615,0,0
RUBBISH,61692,1,0
RUN,61842,1,0
SAD,61528,1,0
SAME,61632,0,0
SAY,61844,1,0
SCARED,61530,0,0
SCHOOL,61653,0,0
SCISSORS,61693,0,0
SCRATCH,61846,0,0
SEE,61848,1,0
SHEEP,61815,1,1
SHH,61738,1,1
SHIRT,61571,1,0
SHOES,61573,1,1
SHOP,61654,1,1
SHORTS,61575,1,1
SHOW,61850,1,0
SICK,61532,0,0
SING,61854,1,1
SINK,61619,1,0
SISTER,61710,0,0
SKY,61641,1,1
SLEEP,61856,1,1
SLEEPY,61534,1,0
SLIDE (OBJECT),61642,1,1
SMELL,61638,1,0
SMILE,61858,1,0
SNOW,61643,1,1
SOAP,61694,0,0
SOCK,61577,1,1
SOFA,61617,1,1
SOFT,61536,1,1
SOME,61634,1,1
SPADE,61644,1,0
SPIDER,61817,1,1
SPLASH,61860,1,1
SPOON,61695,1,1
SQUIRREL,61819,1,1
STAIRS,61621,1,1
STAR,61645,1,1
STONE,61646,1,1
STOP,61862,1,1
SUN,61647,1,1
SWEETS,61497,1,1
SWIM,61864,1,1
SWING (ACTION),61448,1,1
SWING (OBJECT),61655,1,1
TABLE,61623,1,1
TAKE,61450,1,0
TEA,61740,1,1
TEA (DRINK),61499,1,1
TEACHER,61719,0,0
TEDDY,61861,1,1
TELL,61452,1,0
THANK YOU,61742,1,1
THAT,61588,1,0
THERE,61612,1,1
THIRSTY,61538,1,0
THIS,61590,1,0
THROW,61454,1,0
TICKLE,61456,1,1
TIGER,61821,1,1
TIRED,61540,1,0
TOAST,61501,1,1
TODAY,61568,0,0
TOE,61539,1,1
TOMORROW,61570,0,0
TONGUE,61521,1,0
TONIGHT,61572,0,0
TOOTH,61523,1,1
TOOTHBRUSH,61697,1,1
TOWEL,61698,1,1
TOY (OBJECT),61863,1,1
TRAIN,61845,1,1
TREE,61656,1,1
TROUSERS,61579,1,1
TUMMY,61541,1,1
TURKEY,61823,0,0
TURTLE,61825,1,1
TV,61625,1,1
UHOH,61749,1,1
UNCLE,61720,0,0
UNDER,61614,1,0
UP,61616,1,1
VROOM,61751,1,1
WAIT,61744,1,0
WALK,61458,1,1
WALL,61657,1,0
WANT TO,61746,1,0
WASH,61460,1,1
WATCH (ACTION),61462,1,0
WATCH (OBJECT),61699,1,0
WATER,61503,1,1
WATER (OUTSIDE),61658,1,1
WET,61542,1,1
WHAT,61548,1,0
WHEN,61550,0,0
WHERE,61552,1,0
WHO,61554,1,0
WHY,61556,0,0
WINDOW,61627,1,1
WIPE,61464,1,0
WOOF,61753,1,1
WORK (PLACE),61659,1,1
WRITE,61466,0,0
YELLOW,61544,1,1
YES,61748,1,1
YOU,61592,1,0
YOUR,61594,1,0
YUM,61755,1,1
ZIP,61581,1,0
ZOO,61660,1,1
